iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	M_lnQCC(1)	M_lnBP_APAP(1)	M_lnPF_APAP(1)	M_lnPL_APAP(1)	M_lnPM_APAP(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Var_lnQCC(1)	Var_lnBP_APAP(1)	Var_lnPF_APAP(1)	Var_lnPL_APAP(1)	Var_lnPM_APAP(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnQCC(1.1)	lnBP_APAP(1.1)	lnPF_APAP(1.1)	lnPL_APAP(1.1)	lnPM_APAP(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnQCC(1.2)	lnBP_APAP(1.2)	lnPF_APAP(1.2)	lnPL_APAP(1.2)	lnPM_APAP(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnQCC(1.3)	lnBP_APAP(1.3)	lnPF_APAP(1.3)	lnPL_APAP(1.3)	lnPM_APAP(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnQCC(1.4)	lnBP_APAP(1.4)	lnPF_APAP(1.4)	lnPL_APAP(1.4)	lnPM_APAP(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnQCC(1.5)	lnBP_APAP(1.5)	lnPF_APAP(1.5)	lnPL_APAP(1.5)	lnPM_APAP(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnQCC(1.6)	lnBP_APAP(1.6)	lnPF_APAP(1.6)	lnPL_APAP(1.6)	lnPM_APAP(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnQCC(1.7)	lnBP_APAP(1.7)	lnPF_APAP(1.7)	lnPL_APAP(1.7)	lnPM_APAP(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	lnQCC(1.8)	lnBP_APAP(1.8)	lnPF_APAP(1.8)	lnPL_APAP(1.8)	lnPM_APAP(1.8)	LnPrior	LnData	LnPosterior
0	-1.04597	5.62438	7.53462	8.88598	4.38596	9.62367	11.1953	10.0338	12.9666	0.156974	12.2667	0.816196	-1.19739	-5.48359	2.68795	-0.0877177	-0.143702	-0.41415	-0.193436	0.117865	0.119879	0.151155	0.0835629	0.187719	0.1125	0.124092	0.120582	0.0930211	0.0663139	0.437499	0.170881	0.0550244	0.136377	0.113112	0.193558	0.067429	0.0502343	0.221038	0.127643	0.0114043	0.0817451	-0.99988	5.90097	8.1075	9.05599	4.65758	10.2319	10.8261	9.87205	12.9495	0.165694	12.2305	0.690839	-1.14549	-5.48597	2.90193	-0.207792	0.0294505	-0.394413	-1.29611	-1.31917	5.38798	7.49739	8.96224	4.26302	9.33131	10.923	9.63399	13.0674	0.100219	12.1634	0.837286	-1.45443	-4.94116	2.54143	-0.380569	-0.374598	-0.296485	-0.638674	-0.835874	5.5058	7.52391	8.52556	4.52504	9.77893	11.425	9.69871	12.7636	0.212464	12.5724	0.963125	-1.27513	-5.85537	2.76597	-0.198872	-0.253754	-0.708425	-0.11341	-0.489068	5.40309	7.16362	8.62745	4.64092	10.2233	11.2631	10.2988	13.335	0.278008	11.0507	0.565011	-0.960961	-5.39371	2.28477	-0.51926	-0.178715	-0.729893	-0.304257	-1.71482	5.51875	7.78086	8.96336	4.97277	8.88657	11.2715	9.82338	12.5576	0.289263	12.8758	0.842332	-0.902222	-5.02834	3.45796	-0.391167	-0.250235	-0.384126	0.223312	-1.30025	5.4696	7.30736	8.62667	4.10931	9.28866	11.5021	9.35737	12.8093	0.489889	11.7462	0.139829	-1.24322	-5.84483	3.30607	-0.309741	-0.0209266	-0.287763	0.130591	-1.50716	5.49178	7.43466	8.99316	4.85809	9.34023	11.4889	9.38755	13.104	0.0108552	11.5675	0.832049	-1.12093	-5.63813	2.74253	-0.661642	-0.0930468	-0.353298	-0.301123	-0.900714	5.3055	7.33291	9.27381	5.24125	9.73618	11.9762	9.96768	13.0063	0.0905799	11.9673	0.456507	-1.58751	-5.99882	2.66097	-0.398655	-0.111103	-0.500475	-1.28025	-2.016033e+01	-2.680884e+05	-2.681086e+05
160	-0.353779	7.11727	4.68196	7.68265	6.64601	10.1973	10.7266	9.50176	12.8997	8.07903	12.7262	-1.17077	-2.31561	-2.50021	2.13588	-1.0849	-0.451461	0.593528	0.374935	0.180716	0.240733	0.346816	0.0577992	0.0787424	0.285822	0.0793497	0.0730762	0.0963455	0.0928514	0.261897	0.0782201	0.129162	0.151324	0.157831	0.0685596	0.193906	0.0922632	0.0765998	0.0655225	0.0185344	0.01228	-0.11907	6.80936	4.62775	8.12256	6.72284	10.3265	10.6231	9.43002	12.9975	7.67255	12.176	-1.10252	-2.18512	-2.41458	2.60687	-1.06977	-0.24824	0.574643	0.266186	-0.421153	7.09352	4.81082	7.91153	6.70757	10.3057	10.7187	9.04907	12.7867	7.90524	12.6389	-1.1611	-2.25389	-2.38249	2.1202	-0.802242	-0.193581	0.541428	0.233818	-0.526351	7.7343	5.11909	7.71447	6.70794	9.82193	10.6491	9.9353	13.0094	7.42664	12.966	-1.57873	-1.74391	-2.12536	1.90656	-0.84585	-0.430647	0.613491	0.55148	-0.020035	6.68388	4.36664	7.63393	6.40612	9.98066	10.7501	9.47917	12.6966	8.16442	12.9091	-1.40773	-2.1897	-2.39521	3.51575	-0.546593	-0.541195	0.53766	0.354278	-0.767934	7.57427	5.54325	7.77262	6.6695	9.85874	10.7112	9.41187	12.8573	8.26267	12.1252	-1.48863	-2.11682	-2.22188	2.23195	-0.593539	-0.00270412	0.560466	0.381516	-0.158032	7.36946	4.62061	8.14112	6.30237	10.4971	11.2669	9.21463	13.0522	8.14874	12.7097	-1.08562	-2.19379	-2.39433	1.90363	-1.06661	0.0232544	0.512663	0.499464	-0.349619	7.92285	5.37315	7.88459	6.20597	10.0919	10.5765	9.53185	12.9778	8.36882	12.7914	-1.20708	-2.23593	-2.46949	1.82387	-0.876346	-0.44419	0.134427	0.191654	-0.175265	7.47911	4.89766	7.70287	6.88862	9.7514	10.3107	9.28037	12.8661	8.2046	12.6739	-1.09579	-2.22721	-2.88871	2.63093	-0.917282	-0.0932813	0.261178	0.61559	-1.284072e+01	1.032412e+02	9.040047e+01
320	-0.152142	6.94829	5.08794	7.61443	6.71039	9.67724	10.4804	9.76241	13.4923	9.63995	12.6071	-1.68901	-1.9295	-2.10874	2.94691	-0.558104	-0.29595	0.520417	0.565859	0.15193	0.389813	0.0575421	0.0717422	0.0494868	0.153864	0.0577247	0.424915	0.132807	0.20267	0.214379	0.122335	0.0613779	0.0590577	0.363916	0.183754	0.166919	0.143182	0.153416	0.0202127	0.0249558	0.0108929	-0.113572	6.12375	4.59944	7.60475	6.69543	9.7843	10.2934	9.98228	13.7745	9.82619	12.8124	-1.94421	-1.58907	-1.90245	3.37583	-0.909935	-0.769672	0.618632	0.490621	-0.397434	6.66208	5.01412	7.60803	6.93931	9.79816	10.5602	10.5097	13.7477	9.45084	12.2306	-2.19716	-1.92939	-2.02556	2.25049	-0.523409	-0.744545	0.508283	0.404881	-0.576594	7.23867	5.27732	7.67725	6.83987	9.26091	10.1516	10.0197	14.0623	9.32553	11.7491	-1.90328	-1.76286	-1.79899	2.60425	-0.741261	-0.306436	0.39766	0.611349	-0.0067614	6.07644	4.38795	7.65661	6.99868	9.55406	10.4736	9.2781	13.1695	9.47368	12.9931	-2.34377	-1.91185	-2.11529	3.71256	-0.245884	-0.269192	0.352565	0.368588	-0.590544	7.17005	5.48225	7.64102	6.74503	9.74098	10.5493	9.30295	13.4362	9.05956	11.3385	-1.88087	-1.94008	-1.8882	2.43872	-0.593851	-0.124355	0.522845	0.537014	-0.494733	7.23348	5.11004	7.86633	6.58703	9.34655	10.6283	9.88965	13.3617	10.2162	12.7092	-1.56565	-1.98032	-2.11999	2.47734	-0.69091	-0.0248333	0.593953	0.334224	-0.374055	7.75479	5.44405	7.85304	6.38493	9.73015	10.3321	9.35417	13.5057	9.70943	11.9961	-1.3775	-1.98496	-2.20494	2.45106	-0.702091	0.0957811	0.604172	0.486693	-0.0437356	6.91932	4.84233	7.73496	7.03191	10.0565	10.3319	9.80755	13.4579	9.35969	12.7316	-1.99826	-1.92789	-2.29377	2.6591	-0.635677	-0.0503155	0.524559	0.406733	-1.555395e+01	1.466913e+02	1.311373e+02
480	-0.543738	7.39131	5.20308	7.63417	6.91714	9.89913	10.8067	9.80234	14.4828	10.1648	11.0263	-2.6255	-1.99914	-2.02987	2.94991	-0.296614	-1.06466	0.46996	0.527294	0.105833	0.439693	0.184291	0.102709	0.114702	0.0711863	0.113671	0.108127	0.130447	0.114614	0.0635503	0.123347	0.0679955	0.0984986	0.368456	0.126655	0.204407	0.0506045	0.203312	0.0159469	0.0176265	0.0124944	-0.345285	5.80097	4.47354	7.72323	7.00679	10.2508	10.82	9.64283	14.1046	10.0057	11.038	-2.57782	-1.62355	-1.76965	3.6627	-0.802179	-1.0275	0.477556	0.455777	-0.316763	6.89812	5.37887	7.81591	7.18558	10.1628	10.7116	9.79949	14.1218	10.5785	11.0937	-3.11579	-1.94293	-2.03093	1.96032	-0.308764	-0.674893	0.516168	-0.0966234	-0.732458	6.94708	5.04521	7.67713	6.63014	9.79637	10.9578	9.86282	14.5929	10.4243	10.9202	-2.32542	-1.92751	-1.75517	2.44755	-0.528674	-0.786834	0.598112	0.311756	-0.0165167	6.44163	4.79037	7.93211	7.0844	9.75515	11.0114	9.54481	14.3101	9.60479	11.0068	-3.1033	-2.04325	-2.07733	3.73312	-0.0342282	-0.757614	0.494436	0.237573	-0.773397	7.23634	5.80465	7.69194	6.98824	9.38133	10.666	10.1548	14.5361	9.95968	10.5808	-2.33379	-1.87392	-1.71087	2.9627	-0.497261	-1.56074	0.476173	0.552153	-0.862537	6.39041	4.96113	7.64097	6.97175	9.77967	10.4674	9.80589	14.6176	10.655	11.0351	-3.02202	-1.74927	-1.96454	2.33166	-0.325337	-1.47973	0.347709	0.234331	-0.804737	7.20526	5.21501	7.82773	6.71311	9.76724	10.3404	9.94571	14.8974	10.1116	11.2122	-1.65936	-1.8999	-2.27161	2.70148	-0.503719	-1.50517	0.430585	0.497715	-0.312397	6.90635	4.89009	7.83978	6.78391	10.1659	11.1175	10.0547	13.94	10.2084	10.8506	-1.98585	-2.19325	-2.32195	3.09876	-0.532023	-1.40552	0.559959	0.621383	-1.298125e+01	1.591242e+02	1.461429e+02
640	-0.886386	6.34607	5.01583	8.02492	7.13314	10.2023	10.8341	10.1134	13.64	11.0929	11.6554	-2.83438	-1.65083	-1.89508	2.98125	-0.157559	-1.15815	0.515457	0.423914	0.176875	0.338858	0.159618	0.0480556	0.185004	0.121942	0.0853984	0.696037	0.129635	0.115359	0.619445	0.342369	0.0525098	0.118981	0.339292	0.122025	0.296639	0.0942459	0.135826	0.0155845	0.016538	0.0107376	-0.155027	5.6534	4.54186	7.93648	7.45071	10.3801	10.9151	10.0792	14.3635	11.0801	11.6527	-3.23208	-1.55702	-1.79002	3.69953	-0.781285	-1.50159	0.412367	0.471587	-0.283197	7.36836	5.666	7.83705	7.15649	10.4469	11.0246	9.71085	13.9987	11.1229	12.2112	-2.46566	-1.89139	-2.07843	2.17595	-0.472632	-1.43843	0.558394	0.318001	-0.626168	7.11056	4.93841	7.7541	6.88299	10.3124	10.6935	10.3097	13.5334	10.589	12.1305	-2.86659	-1.46736	-1.85674	1.91075	-0.59256	-1.0349	0.561133	0.253429	-0.00588565	6.76311	5.13513	7.91025	6.96767	9.89584	11.039	9.81256	13.4711	10.8143	11.1379	-3.73813	-1.97881	-1.83647	3.6961	-0.034906	-1.05458	0.537258	0.173438	-1.01354	6.8119	5.73268	8.06044	7.38581	9.75446	11.1171	9.88104	13.1242	11.2819	12.2194	-3.83949	-1.75255	-1.59662	2.88763	-0.241075	-1.38844	0.392146	0.0962592	-0.800332	5.74638	4.70473	7.74052	7.02312	10.308	10.9166	9.75696	13.2107	10.6146	11.6992	-3.42752	-1.72345	-1.66663	2.60634	-0.345629	-1.52151	0.389236	0.286275	-1.03707	6.90198	5.14149	7.72173	6.74202	10.3858	10.677	9.43931	13.3897	11.2201	11.6823	-2.22135	-1.75782	-2.02847	2.75962	-0.418003	-1.27669	0.474066	0.405962	-0.561959	6.67149	4.91194	7.8307	7.18785	10.3405	10.5656	9.04789	13.5483	10.9541	11.4781	-2.7274	-1.79792	-2.28247	2.89874	-0.432885	-0.870158	0.415639	0.463143	-3.719793e+01	1.680013e+02	1.308033e+02
800	-0.502521	6.25459	5.1041	7.84529	7.29119	10.0836	10.7719	9.80256	12.8411	11.5963	12.3433	-2.90927	-1.36982	-1.91186	3.26444	-0.487031	-0.286726	0.165945	0.497006	0.163582	0.107505	0.210703	0.144672	0.047007	0.171572	0.058474	0.17222	0.181598	0.702605	0.271934	0.0899152	0.189679	0.0927006	1.04737	0.176994	0.159394	0.0909055	0.289748	0.0148484	0.0183193	0.0119813	-0.27633	6.21563	5.15453	7.67329	7.30899	10.4874	10.7075	10.4644	12.8452	11.2786	11.558	-2.91567	-1.57107	-1.80011	3.44489	-0.787147	-0.034927	0.338471	0.287303	-0.428614	7.09951	5.60385	7.71227	7.0789	10.1388	10.3974	10.1783	12.8027	11.5819	11.9628	-2.68883	-1.91648	-1.98188	2.3483	-0.363401	-0.146756	0.491306	-0.252677	-0.539146	6.67301	5.04559	8.32299	7.72716	9.8864	10.641	9.75506	12.9665	10.7614	12.0433	-2.81686	-1.48693	-1.51739	2.3103	-0.657744	-0.335725	0.37257	0.370344	-0.00118422	6.29752	4.95219	7.67994	7.24496	9.58827	11.0102	10.2332	13.5841	9.557	12.6417	-2.66192	-2.02838	-2.15823	3.76548	-0.1327	-0.686298	0.0524554	0.460756	-1.194	6.4943	5.46313	7.82223	7.26068	10.0047	11.1459	9.78905	12.9406	11.653	12.668	-3.3932	-1.86893	-1.65128	3.10536	-0.313904	-0.154937	0.334018	0.165463	-1.00888	5.77399	4.83938	7.87658	7.50437	9.84772	10.449	9.64249	13.3095	11.0746	12.4798	-3.00664	-1.67069	-1.66979	2.86613	-0.455396	-0.230925	0.0881985	0.210041	-0.522604	6.65418	5.28432	7.73443	7.11518	10.3778	10.4884	9.59704	12.2062	10.9171	12.693	-2.90291	-1.85516	-2.08112	1.90391	-0.16103	-0.508699	0.103538	-0.287713	-0.374679	5.98367	4.58935	7.60402	7.25177	10.4874	10.7039	9.96059	13.2975	12.0063	12.7103	-2.83142	-1.59742	-2.00677	3.06098	-0.654624	0.135185	0.364118	0.594336	-4.111411e+01	1.654465e+02	1.243324e+02
960	-0.577274	6.37943	4.91654	7.63559	7.28456	9.94552	10.3249	9.83636	13.5121	11.6479	12.0941	-3.974	-1.58469	-1.63421	3.11562	-0.352619	-0.563093	0.407017	0.483768	0.267081	0.190655	0.0846715	0.0637073	0.0881074	0.14753	0.181281	0.372588	0.0727041	0.108071	0.322615	0.0823753	0.0745381	0.111927	0.114082	0.112181	0.170873	0.0762171	0.215754	0.0139133	0.0215587	0.0100919	-0.0136522	5.84888	4.69428	7.81023	7.461	10.1168	10.4504	9.16496	13.536	11.4893	11.8562	-3.81274	-1.42858	-1.74113	3.57776	-0.817379	-0.529757	0.547669	0.518964	-0.912248	6.8963	5.66927	7.66014	7.2124	9.60747	10.4668	10.3432	13.896	11.465	11.9238	-4.48001	-1.82153	-1.80853	3.18405	-0.312324	-0.554	0.476478	0.457376	-0.879305	6.29766	5.13913	7.68072	7.36335	10.2035	11.1329	10.175	13.4615	11.7586	12.2249	-3.8212	-1.65489	-1.5318	2.71233	-0.535294	-0.444559	0.0563832	0.390441	-0.0152265	6.86291	5.14228	7.74062	7.20309	10.2764	10.8643	10.1613	13.5061	12.0359	12.7088	-4.21766	-1.77796	-2.03291	3.63898	-0.189559	-0.21436	0.404541	0.327174	-0.883565	6.23905	5.31942	7.60944	7.38414	9.54272	10.5336	9.51346	13.6979	11.6749	12.3103	-3.78278	-1.59451	-1.69166	2.88222	-0.383168	-0.0393486	0.097512	0.0703522	-0.779844	5.36907	4.64332	7.78879	7.40927	10.2027	10.3888	10.1172	13.6538	12.3867	11.5626	-4.12074	-1.53531	-1.48745	2.4735	-0.489129	-0.0418384	0.276917	0.39965	-1.34031	6.22107	5.34518	7.77101	7.3643	9.88097	10.5384	9.23583	13.5926	12.2714	11.7492	-4.21347	-1.6697	-1.68021	3.05889	-0.160545	-0.50763	-0.037753	0.0165472	-0.705669	5.80497	4.76335	7.82726	7.40273	10.3084	10.3148	9.85229	13.7436	12.3278	12.3031	-3.55942	-1.66843	-1.97149	3.19381	-0.454404	-1.02763	0.370569	0.498764	-1.540250e+01	1.540481e+02	1.386456e+02
1120	-0.622496	6.30145	5.13619	7.7297	7.20202	10.4547	11.0162	9.91859	13.2346	11.3422	10.5582	-3.95822	-1.6289	-1.50181	2.96062	-0.0107499	-0.316963	0.158555	0.398853	0.101725	0.154115	0.11497	0.119132	0.0797545	0.0871139	0.293096	0.256014	0.356406	0.0822552	0.18389	0.0919266	0.103258	0.0936252	0.0941577	0.235207	0.123372	0.0432984	0.132622	0.0160593	0.0233007	0.0107264	-0.123908	5.9106	4.90461	7.70423	7.45285	10.4879	10.7485	9.24324	12.1012	11.3476	10.9353	-4.30389	-1.4238	-1.66491	3.2404	-0.812474	-0.294083	0.330417	0.401144	-0.48156	6.46429	5.34564	7.73681	7.28007	10.3717	11.6338	9.97147	13.2823	10.9692	11.084	-3.93445	-1.88214	-1.76477	2.74977	-0.322245	-0.280121	0.344812	0.238177	-0.876076	6.55819	5.26182	7.72024	7.48668	10.4651	11.0831	10.252	12.5852	10.9066	10.9443	-3.82408	-1.38239	-1.49186	2.66446	-0.53325	-0.358815	0.186826	0.000620821	-0.0232351	6.38011	5.204	7.81709	7.39343	10.3443	11.3135	10.0341	13.5422	11.6525	10.0313	-3.88993	-1.9012	-1.80783	3.66517	-0.0728881	-0.297306	0.144062	0.30766	-0.68324	6.05633	5.08843	7.69985	7.30092	10.2017	11.2252	9.14451	13.3991	11.5031	10.916	-4.11722	-1.65823	-1.66473	2.63446	-0.306868	-0.329623	0.32719	0.0578836	-0.842705	6.07891	5.13116	7.78347	7.35877	10.3218	10.8906	9.09102	12.5771	11.0961	10.4052	-3.42785	-1.90349	-1.71402	2.54208	-0.310869	-0.388783	0.0359892	-0.143026	-0.791256	5.66862	4.96911	7.88849	7.20564	10.3494	10.7147	10.1719	12.3086	11.4259	9.22724	-3.60449	-1.81115	-1.44832	2.69659	-0.215749	-0.444911	0.215997	0.271555	-0.697867	5.73818	5.07809	7.98889	7.20522	10.4041	11.3179	9.41275	13.3592	11.056	11.0998	-3.97378	-2.02253	-1.52805	3.54559	-0.308389	-0.258517	0.498713	0.480922	-1.149657e+01	1.516508e+02	1.401542e+02
1280	-0.721598	6.18469	5.24059	7.62539	7.32795	10.1808	10.8428	9.97573	12.9667	12.9413	9.17376	-5.97388	-1.78779	-1.72659	2.543	-0.180568	-1.23875	0.416459	0.216657	0.305539	0.139752	0.0587008	0.0561799	0.0436472	0.0902887	0.103567	0.587947	0.112503	0.155721	0.452124	0.603436	0.0616666	0.0476457	0.520181	0.144325	0.0925581	0.125998	0.103673	0.0204761	0.0204401	0.0119927	-0.0659944	6.08844	4.99687	7.81909	7.2747	9.92378	10.6302	9.2344	13.2973	12.9311	8.49835	-5.88268	-1.70807	-1.61123	3.42111	-0.685069	-1.45383	0.522508	0.519496	-0.619783	6.02835	5.33312	7.74873	7.52464	10.1519	11.0159	9.38416	12.6142	12.7393	9.22477	-5.22826	-1.86713	-1.60518	3.22717	-0.375184	-1.11672	0.254905	0.379851	-0.721114	6.7904	5.1783	7.68937	7.14227	10.4206	10.9395	9.67262	12.39	12.5369	10.157	-5.06787	-1.69509	-1.80631	1.97566	-0.337269	-1.2307	0.342687	-0.0244448	-0.00297589	6.82023	5.14852	7.93219	7.13568	10.163	11.1126	9.27617	12.5769	12.983	8.75726	-5.87439	-1.87691	-1.87726	3.71026	-0.0313317	-0.878921	0.614568	0.138331	-1.12106	6.27381	5.46569	7.668	7.25775	10.0415	11.1361	10.3141	13.0082	12.9802	8.93298	-5.20833	-1.83453	-1.56936	2.83441	-0.213363	-1.72391	0.209786	0.274498	-1.62528	6.44531	5.11751	7.91105	7.18787	10.2737	10.318	10.042	12.3513	12.9509	8.93693	-5.91336	-1.57467	-1.7037	2.59618	-0.369136	-1.08472	0.618575	0.315454	-0.824442	6.12109	5.06834	7.79373	7.18524	10.4869	11.1307	10.1239	13.4795	12.6038	9.26934	-4.87113	-1.58173	-1.6434	2.77331	-0.198324	-1.12594	0.326291	0.294286	-0.718324	6.11063	5.24984	8.00333	7.39319	9.97891	10.5741	10.1375	12.9764	12.4853	9.15612	-5.46377	-1.8727	-1.78514	3.43456	-0.222153	-1.01302	0.410295	0.300377	-4.860787e+00	1.563244e+02	1.514636e+02
1440	-0.973674	6.62297	5.16443	7.62498	6.9741	9.84499	10.1043	10.2433	13.4373	12.3145	11.5879	-4.24293	-1.68803	-1.80589	2.96946	-0.579551	-0.358044	0.593039	0.199646	0.368329	0.0990155	0.0549227	0.0616428	0.0466054	0.581683	0.065144	0.0924156	0.0526636	0.158197	0.12259	0.0952748	0.0273946	0.0698051	0.648986	0.22106	0.213159	0.0694016	0.422442	0.014283	0.024876	0.0192655	-0.100194	6.15036	4.97165	7.76848	7.22649	9.79703	10.5005	10.0632	13.9001	11.5225	10.931	-3.70178	-1.67279	-1.89668	3.09835	-0.623923	-0.412938	0.423371	-0.0130872	-0.714166	6.47114	5.15231	7.63508	7.19979	9.38056	10.1557	10.1613	13.4095	11.9466	11.3533	-4.19478	-1.76887	-1.9032	2.60732	-0.24175	-0.0357922	0.401918	-0.241908	-1.07966	6.68636	5.15369	7.75172	7.07355	9.44554	10.1695	10.1787	13.4623	11.9697	11.5466	-4.40807	-1.71041	-1.54596	2.54461	-0.439692	0.0365625	0.396969	-0.115643	-0.0212971	6.99084	5.4789	7.7372	7.18298	8.92348	9.7446	10.1072	13.2672	12.7866	11.4708	-4.29073	-1.8719	-1.91095	3.66713	-0.0877661	-0.529587	0.442467	0.285084	-1.23681	6.25614	5.21307	7.7419	7.43062	9.56137	10.3817	10.2057	13.736	11.3106	11.0791	-4.25937	-1.5629	-1.62705	3.10787	-0.440272	-1.17284	0.339908	0.535064	-1.01327	6.58259	5.36601	7.79214	6.85832	8.45684	9.57733	10.3915	12.7517	12.6694	11.7432	-4.13221	-1.76298	-1.57954	2.79979	-0.295772	-0.172215	0.542171	-0.10177	-1.33855	6.46163	5.23158	7.63417	7.0448	10.06	10.0911	10.3194	13.4156	12.5618	12.1699	-3.81249	-1.50159	-1.68084	2.93376	-0.29585	-0.253233	0.324615	0.0661072	-1.25264	6.23884	5.02323	7.6909	6.93089	10.0635	10.316	10.2971	13.3723	12.3349	11.7465	-3.74367	-1.88491	-1.87596	3.37338	-0.386524	-0.231639	0.599206	0.364437	-1.930636e+01	1.470925e+02	1.277862e+02
