iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	M_lnQCC(1)	M_lnBP_APAP(1)	M_lnPF_APAP(1)	M_lnPL_APAP(1)	M_lnPM_APAP(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Var_lnQCC(1)	Var_lnBP_APAP(1)	Var_lnPF_APAP(1)	Var_lnPL_APAP(1)	Var_lnPM_APAP(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnQCC(1.1)	lnBP_APAP(1.1)	lnPF_APAP(1.1)	lnPL_APAP(1.1)	lnPM_APAP(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnQCC(1.2)	lnBP_APAP(1.2)	lnPF_APAP(1.2)	lnPL_APAP(1.2)	lnPM_APAP(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnQCC(1.3)	lnBP_APAP(1.3)	lnPF_APAP(1.3)	lnPL_APAP(1.3)	lnPM_APAP(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnQCC(1.4)	lnBP_APAP(1.4)	lnPF_APAP(1.4)	lnPL_APAP(1.4)	lnPM_APAP(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnQCC(1.5)	lnBP_APAP(1.5)	lnPF_APAP(1.5)	lnPL_APAP(1.5)	lnPM_APAP(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnQCC(1.6)	lnBP_APAP(1.6)	lnPF_APAP(1.6)	lnPL_APAP(1.6)	lnPM_APAP(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnQCC(1.7)	lnBP_APAP(1.7)	lnPF_APAP(1.7)	lnPL_APAP(1.7)	lnPM_APAP(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	lnQCC(1.8)	lnBP_APAP(1.8)	lnPF_APAP(1.8)	lnPL_APAP(1.8)	lnPM_APAP(1.8)	LnPrior	LnData	LnPosterior
0	-0.934372	6.10902	6.35369	8.88659	12.4047	9.9332	10.489	9.76402	7.10545	6.8673	4.78089	0.663186	-3.83916	-4.73631	3.15261	-0.10509	-0.920713	0.062353	-0.15317	0.0446744	0.0772836	0.0914966	0.155518	0.125901	0.595647	0.116553	0.0915352	0.296892	0.102818	0.316154	0.0886344	0.276073	0.162328	0.151135	0.207546	0.100015	0.107896	0.248154	0.135838	0.0410434	0.0687064	-0.467628	6.88839	6.4065	9.12902	12.5326	9.43107	10.7597	9.90456	7.1019	6.57627	5.08927	0.669868	-2.27193	-5.23345	3.14958	-0.598363	-1.20849	-0.0446975	-0.890791	-0.830433	6.05413	6.21772	8.79277	12.0892	10.3241	11.0503	9.87636	8.0869	7.44787	4.93273	0.619651	-3.94459	-4.98437	3.04168	-0.0942387	-1.19854	0.24808	-0.187594	-0.75824	5.68659	5.95897	8.49569	12.4276	10.2625	10.3781	9.25204	7.34668	7.19811	5.00905	0.828977	-3.83067	-3.85538	3.06154	-0.803251	-0.494637	-0.362109	-0.338801	-1.07328	6.35983	6.57748	8.8649	12.3276	9.18481	10.3461	9.68089	7.39067	6.65588	5.72095	0.570166	-3.91207	-4.71479	2.92379	-0.275689	-0.71779	-0.304178	0.0158432	-0.811579	5.92759	6.39818	8.80397	11.9646	9.69212	10.5275	10.1015	7.25215	6.19381	4.68695	0.367069	-3.93928	-5.43884	2.39025	-0.356729	-0.91325	0.0822619	-0.313668	-0.87303	5.37966	6.43976	8.12531	12.8057	10.2912	10.3016	9.65694	7.21197	7.06547	4.10851	0.611653	-3.19853	-4.40455	3.05519	-0.395022	-0.890313	0.612393	0.0279945	-1.07229	5.71673	6.39533	9.01345	12.5253	10.4402	10.7289	9.89993	7.36476	7.01774	4.72513	0.706148	-3.88623	-4.8716	2.90406	-0.850775	-0.430003	0.600883	0.180086	-1.43796	6.64581	6.08899	9.0859	12.3327	10.3328	10.3582	9.82297	7.37801	6.52394	3.92878	0.662243	-3.77098	-5.2446	3.64201	-0.773811	-1.21093	-0.110414	0.602465	-4.810261e+01	-1.870830e+04	-1.875640e+04
160	-0.914392	7.506	6.13108	9.13355	9.83396	9.86821	10.5705	10.1183	11.9919	6.26888	5.69333	-0.892175	-1.85183	-2.95113	2.30307	-1.32897	-0.0484345	-1.1109	0.327716	0.357898	0.116024	0.129466	0.0793604	0.098942	0.0808533	0.328254	0.160569	0.725088	0.409356	0.228839	0.161485	0.154817	0.157514	0.160369	0.0786408	0.117841	0.314734	0.123504	0.488245	0.0269833	0.0105462	-0.764904	7.2344	6.11034	8.85226	10.0318	9.76135	9.10759	10.3347	11.3631	5.27867	5.58193	-1.04766	-1.37629	-2.55245	2.5856	-1.4565	-0.276187	-0.791469	0.314991	-1.67305	7.52443	5.43928	9.06653	10.3587	9.82276	10.0597	9.57632	10.427	5.88141	6.5424	-0.325143	-1.86207	-2.90797	2.0136	-1.89958	0.126248	-1.10003	0.580119	-1.24074	7.40101	6.27022	9.14282	9.9377	9.97907	10.2751	10.399	12.6074	6.8485	5.67755	-0.669852	-1.79131	-2.38799	2.3453	-1.39904	0.141237	-1.2672	0.178259	-0.309255	7.59504	6.50645	9.20681	10.0631	10.137	9.52692	9.44702	10.8291	6.43788	5.05687	-1.20522	-1.97012	-2.77961	2.28269	-0.844186	0.0432055	-1.10781	0.0107627	-1.96185	7.42028	5.88466	9.23595	10.02	9.55521	10.8208	9.012	10.8697	5.76092	5.52835	-0.791029	-2.00781	-2.68885	1.89544	-1.8083	-0.0375579	-1.18086	0.560089	-1.31779	7.4292	7.188	9.12911	9.64331	9.67194	10.56	9.71421	13.2519	6.56652	5.39378	-1.02275	-1.93748	-2.00281	2.4031	-1.33966	0.107193	-1.1232	0.587758	-0.480377	7.51243	5.73057	8.99966	9.07246	9.79937	11.5047	10.0664	13.2332	5.74069	5.83017	-0.782179	-2.28872	-2.70453	1.89391	-1.23494	0.121899	-0.882518	0.297572	-2.13589	7.54277	6.47795	8.69464	9.63832	9.92604	10.5535	9.55356	10.9654	6.88694	5.52678	-0.565446	-2.30003	-3.06172	2.37953	-1.76141	-0.10877	-1.24385	0.614452	-6.667923e+01	2.734686e+01	-3.933237e+01
320	-1.54449	7.28773	6.26903	9.12962	9.95454	9.94038	10.5542	9.85766	11.9276	6.63091	5.81949	-0.778153	-2.19848	-2.65554	2.721	-1.19128	-0.00150207	-1.16309	0.622763	1.01099	0.206932	0.137565	0.0947895	0.101993	0.152003	0.157937	0.601556	0.232267	0.782825	0.136343	0.074493	0.0667837	0.115544	0.194111	0.0830748	0.135145	0.0803982	0.0447162	0.389039	0.0285036	0.0105774	-0.0974637	6.98607	5.81931	8.97949	9.82311	10.165	10.5334	9.39977	11.0231	4.25059	5.78217	-0.635055	-2.03217	-2.64512	2.30773	-1.42603	0.0355948	-0.848448	0.364242	-1.89098	7.48934	6.22846	8.90377	9.39961	9.98283	10.6688	9.35801	12.0966	5.79056	5.40832	-0.716718	-2.21294	-2.62827	2.67868	-1.6775	-0.426008	-1.16783	0.246383	-0.80912	7.41669	6.67394	9.04063	9.8744	10.1587	10.9203	9.53242	12.1423	6.65991	6.19038	-0.662884	-2.32777	-2.41435	1.99271	-0.970974	-0.0716373	-1.25583	0.598493	-0.144577	7.0751	7.12714	8.89371	9.80453	9.72375	10.4592	9.54628	11.679	5.82514	4.96412	-1.05244	-2.35107	-2.29966	3.01468	-0.614728	-0.06403	-0.992916	0.306683	-1.21917	7.21615	5.85839	9.31446	10.3361	10.1125	11.0542	9.92274	12.3047	6.51869	6.29173	-0.92103	-1.89121	-2.67157	1.92893	-1.24976	0.163371	-1.14105	0.256628	-0.970897	7.1574	6.52119	9.35898	9.31094	9.62039	10.6679	10.4514	12.1298	7.59083	6.95805	-1.02096	-2.34804	-2.24117	2.7221	-1.12103	-0.32974	-1.34853	0.44067	-0.387984	7.72107	6.74509	9.06114	9.82829	10.3093	10.613	9.36316	12.48	6.29557	5.65766	-0.617295	-1.91339	-2.56691	2.10362	-1.22052	-0.127842	-1.21241	0.57431	-2.1741	7.07801	5.97088	9.36219	9.96159	10.1209	10.594	9.43543	11.9579	7.35618	5.44571	-0.786038	-2.2556	-3.03322	2.77737	-1.52268	0.141322	-1.01895	0.288673	-4.899491e+01	3.132937e+01	-1.766553e+01
480	-0.416134	7.21767	6.18721	9.3174	9.64478	10.2612	10.6145	9.67349	13.5434	6.87396	5.835	-0.738189	-1.8549	-2.45351	2.00222	-1.13702	-0.258611	-1.12941	0.548248	0.261734	0.0586582	0.0648004	0.207021	0.14684	0.109098	0.158753	0.240878	0.0559636	0.867627	0.139281	0.169048	0.0839748	0.0544706	1.58677	0.0780455	0.194542	0.0745101	0.0388733	0.194596	0.0267899	0.010999	-0.113093	7.0868	6.17478	9.33029	9.6676	10.0319	9.69944	10.0458	13.3568	6.52579	6.21411	-1.03062	-1.72991	-2.41013	2.83378	-1.32011	-0.0681052	-0.796035	0.422888	-0.103676	7.07564	5.9707	9.08582	10.4918	10.4206	10.3415	9.72295	14.0014	6.62428	5.91104	-0.83986	-1.51207	-2.60038	2.09322	-1.30847	-0.144669	-1.12884	0.474002	-0.820398	6.83983	5.72584	9.07719	9.91787	10.1805	10.7745	10.1828	13.1662	6.82757	5.55366	-1.16914	-1.83996	-2.45403	1.80767	-1.10155	-0.516154	-1.22152	0.46069	-0.040618	7.12677	6.60836	9.27569	9.87963	10.4761	10.9042	10.2429	12.8765	6.93793	5.46899	-1.7344	-1.77179	-2.24716	3.69412	-0.443264	-0.404608	-0.678822	0.393489	-1.06012	7.12642	6.18888	9.06676	9.58898	10.0525	10.001	9.69371	13.1177	7.72445	6.09116	-0.94759	-1.8901	-2.55655	1.98338	-1.08159	-0.603259	-1.10172	0.586191	-0.509543	6.80163	6.27531	9.23276	9.61125	10.491	10.8857	9.53637	13.6926	7.12419	5.91201	-1.02956	-2.11653	-2.34269	1.99502	-1.00161	0.065326	-1.23313	0.55569	-0.712233	7.16007	5.60993	9.12803	9.5866	10.2682	10.4475	10.2401	13.5351	5.99801	5.37655	-0.559993	-1.91115	-2.75869	1.92616	-1.63476	0.0248039	-1.34465	0.569063	-0.0988517	7.32637	6.31402	9.32275	9.87781	9.86517	10.2465	9.5399	13.1792	8.28069	6.04695	-0.849263	-2.29498	-2.871	3.30195	-1.17642	0.00898738	-1.16287	0.45366	-3.974661e+01	6.543950e+01	2.569290e+01
640	-0.54906	6.92061	6.31698	9.07466	9.44992	10.1696	10.6836	9.87471	14.4045	7.04265	6.56517	-1.16006	-1.9626	-2.68809	2.77144	-0.912483	0.0615712	-1.26721	0.206855	0.161394	0.0613167	0.253133	0.044753	0.0893923	0.0931516	0.0661413	0.27792	0.290921	0.453512	0.176115	0.0628245	0.0691476	0.0655665	1.01747	0.107188	0.221694	0.199431	0.148078	0.196815	0.0223736	0.0100975	-0.370455	6.8373	6.31548	9.02334	9.43431	10.3071	10.3933	9.71614	14.5632	6.22386	6.0916	-1.00403	-1.91417	-2.34591	3.48469	-1.32245	-0.0825886	-1.09221	0.163828	-0.765204	7.13303	6.34835	8.93804	10.012	10.1376	10.7911	9.80702	14.8248	6.89836	7.08679	-1.19118	-2.06329	-2.54929	2.69461	-0.797615	-0.239376	-0.929767	0.455411	-0.497058	6.69209	5.44231	9.20399	9.38331	9.99411	10.8521	9.98419	14.7512	7.88579	7.00953	-0.999207	-1.69795	-2.18015	2.39382	-1.15297	-0.582788	-1.01736	0.403236	-0.0780384	7.07882	6.05487	9.09309	9.46664	10.1222	10.6719	9.9888	14.5913	6.94708	6.00344	-1.39945	-2.06429	-2.49824	3.72441	-0.633396	-0.511008	-0.896747	0.171855	-0.947806	6.90232	6.20675	8.95613	9.6772	10.1121	10.7113	9.44472	14.9148	7.55386	7.35824	-0.986745	-2.05098	-2.49494	2.44177	-0.852387	-0.393048	-1.21635	0.494437	-0.379339	7.10975	6.2155	8.98582	9.23085	9.84148	10.5543	9.01854	14.9069	7.50349	6.58501	-1.27205	-2.26687	-2.52988	1.96572	-0.785834	-0.116674	-1.28175	0.157307	-0.515347	6.82736	5.31501	8.96707	9.60148	10.1328	10.8415	10.4746	13.7895	5.89315	6.87011	-0.836214	-1.91313	-2.67565	2.12979	-1.33941	0.0541188	-1.28115	0.488798	-0.256268	7.08022	6.17423	9.05748	9.62559	9.86777	10.1815	9.86121	14.7246	8.15295	6.02173	-1.23663	-2.19686	-2.91357	2.28186	-0.997118	0.0711703	-1.33091	0.421757	-2.571137e+01	7.268297e+01	4.697160e+01
800	-0.0258443	6.65151	6.03179	9.22562	9.41407	9.69117	10.6262	10.1233	13.7436	8.23341	7.56237	-1.76202	-1.87369	-2.11369	3.01498	-0.355901	-0.44325	-0.807982	0.182324	0.0589615	0.0774509	0.0530739	0.158822	0.0933517	0.0676478	0.119714	0.446329	0.162069	0.131529	0.206449	0.172747	0.0776807	0.107113	0.598887	0.175599	0.135468	0.177269	0.24993	0.0254865	0.0215181	0.0117279	-0.0205512	6.53098	6.18985	9.00081	9.35433	9.79484	10.0931	9.06764	13.7643	8.16473	7.46795	-1.51886	-1.86811	-2.11904	3.09614	-1.01916	-0.239637	-0.769878	0.58668	-0.181791	6.5265	5.93213	8.75031	9.3026	10.1009	10.6336	9.8559	13.959	8.05777	7.42602	-1.75076	-2.05101	-2.31601	2.14608	-0.545919	-0.0872151	-0.885731	0.310628	-0.22758	7.01884	6.13397	8.55105	9.43239	10.34	10.639	10.3811	13.5914	8.43681	8.16385	-2.50127	-1.45458	-2.01826	2.01553	-0.752826	-0.265288	-0.940242	0.600228	-0.0917931	6.70996	6.09832	9.3144	9.44218	9.90627	11.0829	9.12014	14.1236	7.98507	6.92888	-2.6387	-2.18049	-2.14771	3.71626	-0.00399421	-0.540846	-0.70212	0.0679473	-0.28457	6.46303	6.13877	9.3307	9.88356	9.68026	10.6253	9.10871	13.5257	8.31278	7.77009	-1.98127	-2.10454	-1.94432	2.18053	-0.51964	-0.214413	-1.04965	0.184728	-0.183348	6.74861	5.75821	9.08708	9.12649	9.69925	10.2557	9.26277	13.7069	8.61504	7.17479	-1.20982	-2.12425	-2.42578	2.06543	-0.891608	-0.318786	-1.12542	0.533024	-0.0960405	6.92197	6.19299	9.37671	9.42519	9.49978	10.4622	9.64911	14.3554	8.58055	8.16219	-1.4681	-1.92042	-2.12463	2.38861	-0.680543	-0.209176	-1.00413	0.451589	-0.0333841	7.09544	6.04133	9.11854	10.1197	9.64443	10.082	10.3429	13.9843	8.38448	7.01495	-1.72242	-1.92678	-2.84396	2.80823	-0.709206	-0.476315	-1.28182	0.536475	-2.496378e+01	1.412791e+02	1.163154e+02
960	-0.0802089	6.81521	6.38469	9.34506	9.60965	9.86345	10.4757	10.0192	13.1868	8.31836	6.92196	-2.39679	-2.02594	-1.95208	3.36045	-0.285981	-0.688393	-0.785474	0.508635	0.175808	0.216383	0.09029	0.239604	0.28385	0.0822759	0.0637405	0.505572	0.13281	0.201914	0.323483	0.462454	0.080752	0.0914778	0.870797	0.0949738	0.646004	0.0816348	0.126865	0.014653	0.0245811	0.0144018	-0.0779812	6.67745	6.64195	9.06253	9.82765	10.0073	10.2401	10.3516	13.4923	8.54165	7.89054	-2.85238	-1.56079	-1.74998	3.57479	-0.849555	-1.05195	-0.767447	0.36895	-0.337743	6.59348	6.40692	8.9061	9.50203	9.55523	10.3996	10.5137	13.147	8.54278	7.10694	-1.77536	-2.00442	-2.01247	2.55119	-0.567643	-0.40938	-0.951075	0.406072	-0.359826	7.18073	6.01541	9.16683	9.4223	9.73782	10.4428	9.50436	12.92	8.25177	7.7361	-2.59229	-1.8029	-1.8975	1.9326	-0.491207	-1.61538	-0.595837	0.24233	-0.0454124	6.65606	6.23237	9.2368	9.80722	9.69649	10.4754	10.2843	13.2989	7.77799	6.92928	-2.6627	-2.0435	-2.07802	3.7483	-0.137937	-1.0103	-0.790418	0.604425	-0.364963	6.21236	6.28031	9.17085	10.019	9.33871	10.2029	9.36423	13.5058	8.35677	7.0412	-2.59481	-1.71453	-1.90791	2.26509	-0.476815	-0.94944	-1.01355	0.504415	-0.341252	7.3078	6.77803	8.85603	9.31048	9.71019	10.8477	9.97772	13.8572	7.79275	7.02816	-1.60672	-1.66413	-1.91288	2.93427	-0.7587	-0.606107	-0.807476	0.593108	-0.284961	6.62666	5.94059	9.23258	9.40879	10.1139	10.1911	9.60576	13.41	7.9056	6.91784	-2.03758	-1.7096	-2.05945	2.06896	-0.487657	-0.362125	-0.695093	0.235037	-0.0585693	7.10441	6.22017	9.04801	9.47541	9.976	10.2651	9.92658	13.2173	8.8332	6.76707	-2.40889	-1.89363	-2.4867	2.15567	-0.463621	-1.58143	-0.671545	0.59368	-3.628642e+01	1.477729e+02	1.114865e+02
1120	-0.702327	7.02942	6.36753	9.0131	9.65568	9.98935	10.4371	9.7161	13.2577	9.97856	7.39524	-2.46011	-1.61945	-2.09638	2.87161	-0.509313	-0.372538	-0.662594	0.526371	0.492174	0.265989	0.0468693	0.115745	0.0678448	0.6302	0.0698909	0.139517	0.0956343	0.0665049	0.128306	0.246927	0.166927	0.13702	0.125429	0.174112	0.100831	0.162267	0.0683624	0.0220102	0.0220242	0.010368	-0.189215	6.42295	6.74766	8.55308	9.64682	10.2671	10.6369	9.11928	13.2723	10.5276	7.58448	-2.72972	-1.61319	-1.78174	3.46572	-0.838773	0.0457211	-1.16899	0.435129	-0.610883	6.52047	6.28712	8.84081	9.66006	9.9693	10.5692	10.0243	13.2897	10.0528	7.02963	-2.08153	-1.84152	-2.11197	2.90462	-0.552274	-0.0483398	-0.960491	0.256235	-0.406494	7.17864	6.24859	9.27205	9.50275	10.0193	10.7148	9.60426	13.0718	10.197	7.06046	-2.19287	-1.28198	-1.48093	2.74462	-0.904653	-0.516284	-0.352076	0.610116	-0.0263727	6.94493	6.20155	9.29037	9.48544	9.23716	10.298	9.47917	13.7278	10.1682	7.54377	-3.3557	-2.00326	-2.09565	3.72549	-0.0192717	-0.308049	-0.475351	0.384006	-0.205826	5.92184	6.00053	8.67187	9.50487	9.65815	10.0953	10.0402	12.894	9.80549	7.03558	-2.13391	-1.50267	-1.83631	2.27245	-0.634016	-0.205935	-1.01295	0.572879	-0.821039	6.92931	6.62545	9.20134	9.52871	9.61177	10.3014	9.86489	12.8706	10.2714	7.47591	-2.35859	-2.09707	-1.93204	2.70433	-0.426178	-0.391488	-0.913902	0.560525	-1.21102	6.66947	6.4509	8.96925	9.50948	10.1578	10.2103	9.13516	13.2515	9.8898	7.09253	-2.37206	-1.65862	-1.91456	2.8187	-0.417854	-0.710586	-1.04513	0.411626	-0.727708	7.12117	6.44447	8.85785	9.67333	9.77704	10.1988	10.1812	13.5865	9.5428	7.1337	-2.97807	-1.88832	-2.55393	3.11284	-0.334078	-0.503237	-1.14172	0.294533	-2.698027e+01	1.474364e+02	1.204561e+02
1280	-0.471261	6.51621	6.36835	9.24421	9.675	9.66063	10.0791	10.0919	13.3915	9.82723	7.34839	-2.7857	-1.89629	-1.72941	2.36789	-0.380576	-0.485009	-1.05177	0.0492021	0.0753194	0.0871412	0.114526	0.156548	0.0485566	0.0758661	0.200833	0.0943859	0.153519	0.116804	0.0618401	0.113657	0.147038	0.209847	0.260891	0.0956641	0.188915	0.0605931	0.0807839	0.0166939	0.0262684	0.0101021	-0.156181	6.32694	6.62526	8.28817	9.34549	9.92991	10.1001	9.94672	12.8881	9.65969	7.31206	-3.46662	-1.5336	-1.82543	3.26405	-0.732044	-0.173511	-1.05814	0.307299	-0.420151	6.73795	6.57631	9.21224	9.70082	9.87609	10.2866	9.97689	13.3651	10.0733	7.02907	-2.42482	-2.05674	-1.90979	2.50871	-0.370017	0.0325523	-0.654336	0.251022	-0.346883	6.67105	6.33662	8.77308	9.48818	9.54831	10.1483	10.0274	13.0623	9.6725	7.21484	-2.54773	-1.75033	-1.79855	2.09733	-0.555854	-0.196429	-1.14366	0.277067	-0.00935151	6.74642	6.38093	9.38538	9.80099	9.75573	10.6827	9.77807	13.3497	9.9965	7.17051	-2.77001	-2.01728	-2.08821	3.70883	-0.093985	-0.634213	-0.971918	0.151022	-0.606186	6.70361	6.73218	9.22053	9.84727	9.02693	10.2759	10.1056	13.1879	9.91776	7.66076	-3.7767	-1.56293	-1.57482	2.76882	-0.399355	-0.724821	-0.773514	0.201679	-0.259733	6.738	6.23897	8.90783	9.44116	9.56142	9.98416	9.71023	13.6619	9.98837	7.41498	-2.41778	-1.62269	-2.04246	2.10122	-0.458676	-0.760749	-0.997961	-0.20384	-0.658482	6.59575	6.71623	9.19498	9.85558	9.55808	10.2635	9.91294	14.0627	10.0381	7.79122	-2.78062	-1.92323	-1.91962	2.54552	-0.18677	-1.2057	-1.33156	0.129565	-0.20991	7.0065	6.18376	9.007	10.0057	9.77528	10.0824	9.91304	14.0258	9.29962	7.32151	-2.65004	-1.93704	-2.85979	2.44427	-0.332447	-0.873746	-1.311	0.24004	-1.515775e+01	1.505307e+02	1.353729e+02
1440	-0.563001	6.74017	6.18738	9.04402	9.59604	10.0882	10.4732	10.1316	13.2191	10.1696	9.11066	-2.79362	-1.77319	-1.98054	3.0454	-0.172534	-0.907731	-0.728758	0.475742	0.146982	0.084609	0.0752911	0.0809436	0.100319	0.109404	0.0893086	0.152497	0.486138	0.0802759	0.0840545	0.20289	0.0927966	0.0736194	0.127014	0.113233	0.0581491	0.0420988	0.0644868	0.0223574	0.0238457	0.0109232	-0.273416	6.56617	6.54099	8.53465	9.4932	10.0667	9.95454	9.54201	12.8503	10.3299	9.07241	-3.09713	-1.56438	-1.85749	3.35347	-0.771559	-1.39591	-0.885565	0.596749	-0.758183	6.79829	6.05085	9.20478	9.70772	10.075	10.2995	9.90031	12.2091	10.1974	9.08233	-2.48648	-1.80166	-2.18673	2.65137	-0.490126	-1.18016	-0.548791	0.431062	-0.393934	7.02273	6.47489	8.99546	9.55164	9.79619	10.2576	9.65231	12.1923	9.65965	8.95324	-2.84484	-1.55353	-1.64379	2.21482	-0.661501	-0.702743	-0.985361	0.363026	-0.0161274	6.98684	6.49547	8.79277	9.39425	10.2038	10.691	10.1231	13.0193	10.1552	9.25063	-2.95737	-2.04469	-2.21003	3.46815	-0.0487643	-0.775274	-0.836296	0.366771	-0.583165	7.00741	6.4686	9.08019	9.8628	9.98748	10.3985	9.5712	12.95	9.88907	9.61815	-2.28058	-1.51399	-1.98206	2.62428	-0.620811	-0.772491	-0.823069	0.531405	-0.727371	6.69361	6.38908	8.91016	9.6491	10.3558	10.7016	10.1849	13.3361	10.2968	8.99614	-2.63068	-1.71232	-2.07625	2.66991	-0.383401	-0.585494	-1.03096	0.210508	-0.758296	6.40288	6.13167	8.87484	9.33531	10.0182	10.5529	10.5174	13.3442	9.86354	9.38042	-2.39488	-1.86334	-1.99485	2.89255	-0.290239	-1.16165	-1.03513	0.509289	-0.462118	7.23066	5.9436	8.78593	9.44403	10.0862	10.2773	10.1141	14.5074	10.2676	9.46234	-3.28823	-1.78739	-2.60319	3.37542	-0.427835	-0.987317	-0.808984	0.457357	-3.367997e+00	1.448911e+02	1.415231e+02
