iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.37834	6.26247	1.13881	8.08027	8.75814	9.91626	8.66358	9.81524	11.6805	1.72889	2.51751	-0.724468	-2.13135	-1.52389	0.320241	0.333523	0.089151	0.127999	0.0616008	0.0760882	0.052861	0.438045	0.0751653	0.122609	0.0591551	0.076506	0.0815945	4.73502	0.448658	0.0754943	0.176704	-1.28953	7.05485	0.967771	7.81368	9.19378	9.5007	8.62891	10.3057	11.3152	1.61036	2.83638	-0.162997	-2.36369	-1.95591	-2.17349	5.82628	1.02938	7.78804	8.85801	10.1411	8.47587	10.3707	11.8602	1.58281	2.78064	-1.06771	-2.02414	-1.76912	-0.891191	6.37951	1.23024	8.20762	8.63893	10.4218	8.51633	10.5006	11.7971	2.06255	2.44628	-0.960282	-2.38889	-0.296592	-2.00875	7.04471	1.34366	7.96807	8.78766	9.90353	8.39738	9.71529	11.5285	2.24236	2.25774	-1.38488	-1.88945	-3.54636	-2.47286	5.4583	1.77443	8.0544	8.94347	10.3366	9.01552	10.2413	11.3017	1.09557	2.34311	-0.717948	-2.10676	-1.72137	-1.84639	5.69169	0.842781	7.678	8.4458	10.2171	8.98825	9.74418	12.0927	1.08511	2.78061	-0.464766	-2.04183	-1.86335	-1.38572	6.06414	0.909392	8.35837	9.34177	10.0621	8.58894	9.7371	11.7234	2.08051	2.95435	-0.959696	-1.89192	-2.45655	-1.16743	6.30884	0.748986	7.9913	8.55937	9.99628	8.72637	10.3446	11.7671	1.49365	1.98239	-0.541702	-1.93858	0.14366	-5.649638e+01	-2.720896e+04	-2.726545e+04
80	-1.36845	5.07505	5.05295	9.0248	8.17503	9.92676	11.9824	9.42916	13.6797	8.54535	9.11351	-3.06946	-2.72322	-1.96912	0.430679	0.30416	0.352834	0.17324	0.129398	0.507098	0.189401	0.0780466	0.0804028	0.938484	0.573646	0.188099	0.224654	0.0958188	0.0495802	0.142108	0.0204477	-0.857589	5.50999	4.94918	8.80351	8.17975	9.77804	12.4513	9.0648	13.8784	5.4437	8.77757	-3.55648	-2.67008	-1.97163	-2.11703	4.78187	4.52194	9.00145	8.48932	8.77148	11.6874	9.51885	13.5177	8.85339	9.23375	-2.83955	-2.43406	-1.73691	-2.36381	4.83752	4.48159	9.25092	9.106	10.0496	12.2259	8.99272	13.9213	8.12373	9.86227	-3.82055	-2.30953	-1.48837	-0.0579106	5.62499	4.43962	8.49517	8.02793	9.83791	11.5411	9.3399	13.9386	9.31023	9.17393	-2.24532	-2.77927	-2.36448	-1.90353	6.5464	5.95611	8.85153	8.16296	9.36924	11.9554	9.77986	14.0838	8.89224	8.71221	-2.78357	-2.33008	-1.7794	-2.07157	5.21451	4.78352	8.78711	8.2586	8.72429	13.0413	9.76716	13.7018	7.28428	8.78275	-2.86928	-2.48321	-1.71902	-1.29356	4.88642	4.53268	8.30881	8.09862	9.51938	11.5466	9.60144	13.6064	8.90978	9.52065	-3.56471	-1.80562	-1.71069	-0.576798	5.26465	4.94921	8.98741	8.72904	9.7879	12.0763	9.56992	13.4949	9.72073	8.8657	-3.26287	-2.30252	-2.19964	-8.304886e+01	3.297899e+01	-5.006987e+01
160	-1.39007	5.64331	4.97185	8.61916	8.27095	10.4551	11.7101	9.80676	14.1104	9.35718	10.9046	-5.36475	-2.2911	-1.9617	0.418034	0.135004	0.129683	0.0945739	0.0989027	0.0731843	0.156824	0.0914198	0.509237	0.395523	0.114329	1.40601	0.0945954	0.106052	0.0431115	0.0361918	0.0122392	-0.588677	5.54657	5.09347	8.66967	8.644	10.238	11.2084	9.07256	14.0739	9.58615	10.6484	-5.7688	-2.27957	-2.12515	-1.83772	5.29641	4.85161	8.65968	8.64601	10.2468	11.3535	10.1407	13.9682	9.82542	11.0068	-5.03169	-2.16352	-1.80162	-1.83333	5.09251	4.77843	8.63014	8.48001	10.3855	11.9093	9.57718	14.2697	9.12089	11.2642	-5.45015	-2.03177	-1.34876	-0.0096621	5.34152	4.30714	8.42811	7.89547	10.5096	12.1745	9.35971	13.6067	9.01079	10.9759	-2.5566	-2.29893	-2.07496	-2.04692	6.53166	6.04013	8.53383	8.60564	10.4574	12.0591	10.1657	14.331	8.97873	10.939	-5.24789	-1.8702	-1.81179	-1.47997	5.21431	4.84885	8.39137	8.26845	10.4659	12.124	9.73998	14.323	8.83949	10.9302	-4.72384	-1.93676	-1.61242	-1.666	5.48817	5.00179	8.55162	8.2172	10.4133	11.74	9.7525	14.5708	9.41051	10.9778	-4.21153	-1.87706	-1.59649	-0.941607	5.40534	4.9766	8.45431	8.46982	10.4524	11.1354	10.1905	14.6008	9.12625	10.8291	-5.66737	-1.94914	-2.044	-4.289533e+01	8.779212e+01	4.489678e+01
240	-1.27234	5.57808	5.04645	8.43481	8.3709	10.0605	10.9807	10.0525	13.6664	9.69472	11.3183	-5.57745	-2.23129	-1.83203	0.822194	0.113763	0.189255	0.0932918	0.148195	0.112645	0.232512	0.133085	0.283808	0.11065	0.200149	1.09857	0.138827	0.0937634	0.0339104	0.0316231	0.0129736	-0.867648	5.9426	5.5903	8.45516	8.27022	9.96684	10.9861	10.1917	14.1091	9.92852	11.4084	-5.39282	-2.49294	-2.0871	-1.4527	5.18424	4.82714	8.44474	8.61873	10.1277	10.9595	9.9772	13.7366	10.103	10.9585	-5.89754	-2.08542	-1.92725	-2.15096	5.10489	4.75369	8.81136	8.57691	9.90553	11.6511	9.8767	13.776	9.7859	11.4035	-5.63384	-2.3677	-1.38269	-0.0542189	5.57527	4.61922	8.80831	8.53457	10.4626	11.7762	10.1321	13.4323	9.29699	11.3649	-2.5492	-2.17898	-2.04281	-2.14583	6.28024	5.73183	8.52394	8.47811	9.94047	11.3441	10.2234	14.5541	9.55184	10.1451	-3.57459	-2.02519	-1.78238	-1.72468	5.6542	5.16697	8.70534	8.45447	9.41163	10.9837	9.86324	13.6049	9.45511	11.6255	-4.08606	-2.07116	-1.64574	-2.09989	5.69463	5.33227	8.44516	8.035	10.0008	11.0441	9.69707	13.9951	9.60011	11.2448	-4.59066	-2.00114	-1.44111	-0.881444	5.27634	4.88436	8.42196	8.35585	10.2727	10.9607	9.27139	13.1589	10.1754	10.8983	-5.45832	-2.02783	-1.99107	-4.604200e+01	9.196881e+01	4.592681e+01
320	-1.5604	5.7002	5.1282	8.3639	8.38147	9.72148	11.0513	9.89891	13.9139	9.7593	11.8071	-5.90328	-1.92847	-1.86632	0.433798	0.063385	0.148245	0.149107	0.0662324	0.0979917	0.0878015	0.363252	0.0693079	0.13102	0.1519	1.26977	0.0608004	0.0796157	0.0494373	0.0285057	0.0128081	-1.00985	5.77533	5.30324	8.20232	8.13661	10.0627	10.9367	9.85486	13.6483	10.0761	12.7417	-5.93209	-2.20378	-2.12114	-1.64397	5.6127	5.21126	8.6736	8.6578	9.80366	11.0638	9.56411	13.6482	9.78984	11.8533	-4.72056	-2.1429	-1.7656	-1.63621	5.43964	5.14586	8.40194	8.37751	9.53811	11.5649	9.36833	13.9734	9.88519	11.6736	-5.97999	-2.11228	-1.26915	-0.0269354	5.53246	4.46482	8.85018	8.41688	9.74878	11.2764	9.87769	14.0076	9.42625	12.1361	-2.54099	-2.252	-2.12058	-1.43879	6.1448	5.80256	8.49063	8.40596	9.24878	11.148	9.8481	14.4965	9.90085	11.9718	-4.51263	-1.96539	-1.57273	-1.63187	5.67625	5.34897	8.14177	7.82769	9.4887	10.8852	10.1556	13.5185	10.1938	12.2075	-5.99638	-2.05096	-1.52959	-1.92194	5.7442	5.23402	8.39993	8.27871	10.1145	10.8168	9.66439	14.226	9.6858	11.2067	-5.98345	-1.76752	-1.67311	-0.611688	5.55709	4.86828	8.20832	8.1851	9.67828	10.9819	9.5703	13.8861	10.0955	11.7238	-5.22415	-1.96829	-2.23709	-3.104737e+01	9.340868e+01	6.236131e+01
400	-1.84526	6.05001	5.24785	8.57733	8.2359	10.2716	11.2095	10.3133	14.0757	10.3641	11.9747	-4.93442	-2.20083	-2.08711	0.382189	0.111024	0.0830794	0.220445	0.194247	0.0383327	0.227102	0.159897	0.185785	0.0598714	0.0996988	0.903714	0.0829667	0.113329	0.0385773	0.0409661	0.0125009	-0.871511	6.16704	5.69793	8.64555	8.54035	10.1937	11.2733	10.1645	14.4291	10.3048	12.0862	-5.91929	-2.24838	-2.00429	-1.64749	5.78592	5.33743	8.47043	8.4876	10.1355	11.0964	10.3933	13.4433	10.6698	11.6055	-4.53796	-2.08527	-1.87744	-1.98447	6.21393	5.67538	9.00226	8.98912	10.1288	11.8107	9.99606	13.5415	10.4864	12.1323	-5.77181	-1.97545	-1.50819	-0.00378586	6.08153	4.93775	8.53554	8.48307	10.4796	11.6535	10.1503	13.969	10.1579	12.0112	-2.71998	-1.85169	-2.24278	-2.17352	6.28822	5.71857	8.29298	8.28299	10.1654	11.1882	9.59726	14.7427	10.2723	11.9622	-4.58916	-2.0523	-1.75847	-1.59555	5.81858	5.41932	8.49923	8.20596	10.0673	11.729	10.0654	14.4357	10.4017	12.5189	-5.01292	-2.01302	-1.57869	-1.70543	5.41066	4.99926	8.75347	8.50517	10.3325	11.5727	9.88501	13.985	10.5887	12.2228	-5.91926	-1.83649	-1.5689	-1.59287	5.89781	5.1491	8.66033	8.64935	10.4933	10.9084	9.55401	13.9287	10.4574	12.3775	-5.43897	-1.96272	-2.20807	-3.591493e+01	9.504330e+01	5.912838e+01
480	-1.16988	5.9433	5.39249	8.6195	8.56114	10.0017	10.9859	10.0652	14.7563	10.5916	12.2912	-4.75286	-1.97569	-1.94524	0.58469	0.0588305	0.0733435	0.0352809	0.0341855	0.155159	0.0717174	0.105043	0.554463	0.0932514	0.191451	0.0719975	0.0725085	0.157199	0.0450473	0.0479397	0.0130256	-0.711291	6.02982	5.53823	8.76247	8.52862	10.4635	11.6184	9.34518	14.4415	10.5335	12.9711	-4.95026	-2.17779	-2.0529	-1.62664	5.93117	5.41209	8.41622	8.5167	9.86472	11.0398	9.81762	14.7823	10.0621	12.1259	-5.02327	-2.17527	-1.90092	-1.83755	6.11929	5.54994	8.66948	8.4816	9.76395	11.5984	9.34174	13.3486	10.7606	12.4733	-4.73836	-2.12114	-1.36751	-0.0491308	5.91748	4.88398	8.51989	8.67942	10.0102	10.5589	9.68331	13.9901	10.55	11.7886	-5.38352	-1.76458	-2.11148	-2.39292	6.33723	5.84394	8.45012	8.44519	10.2552	11.1907	10.3499	14.5552	11.0933	11.8501	-5.18771	-1.95092	-1.79311	-1.54394	5.73814	5.19073	8.64071	8.43591	9.87673	11.2767	10.0902	14.8531	10.5786	12.6034	-4.51044	-2.00538	-1.68069	-1.95557	5.78368	5.1911	8.65773	8.44356	10.324	11.3276	9.43815	14.8186	11.1841	12.3628	-4.31452	-1.74617	-1.73146	-1.13552	5.56694	5.04439	8.72755	8.35095	10.2597	11.1922	9.75379	13.1427	10.2246	12.3184	-4.98084	-2.03337	-1.82253	-2.884176e+01	9.248529e+01	6.364353e+01
560	-1.22988	5.96226	5.43321	8.59182	8.5408	9.89722	10.9492	9.74269	14.3995	10.7859	12.3939	-5.40216	-1.87285	-1.57903	0.680315	0.0509289	0.125187	0.114093	0.10585	0.121218	0.110152	0.147599	0.0837263	0.200223	0.134445	0.0818953	0.0729869	0.430248	0.0372576	0.0397603	0.013866	-0.693292	5.71043	5.24803	8.90679	8.79893	9.66223	10.8426	9.99041	14.4552	10.9031	12.1837	-5.74237	-2.21836	-1.99378	-1.85683	5.91077	5.26152	8.50169	8.62611	9.71774	10.9413	9.84516	14.2247	10.7517	12.4494	-5.20687	-1.99111	-2.05687	-1.85135	5.851	5.25982	8.6913	8.69226	9.91869	11.4315	9.29598	14.5921	10.1521	12.2095	-5.56403	-1.95782	-1.51268	-0.00701556	6.00503	5.0659	8.63652	8.75036	10.3472	11.2291	9.6298	14.3206	10.5097	11.7569	-5.3039	-1.87596	-2.02983	-2.07234	6.52609	5.83606	8.66302	8.74644	9.76027	11.3362	9.77217	14.5226	11.2239	12.3832	-5.53002	-1.95658	-1.93296	-1.32511	5.87387	5.42899	8.76563	8.55648	9.4081	 11.2	9.68107	14.3348	10.5492	12.9947	-5.48611	-1.90647	-1.63766	-1.74169	5.656	4.99059	8.50647	8.60174	10.4154	10.953	9.38856	14.3691	10.8171	12.0569	-5.83504	-1.71879	-1.9207	-1.0242	6.09628	5.13383	8.57142	8.49512	10.0783	10.7862	9.6277	14.6731	10.3645	12.9487	-5.06229	-2.08496	-2.17242	-1.623132e+01	9.186415e+01	7.563283e+01
640	-1.51209	5.77003	5.33246	8.78591	8.40283	9.36708	11.0874	9.68433	14.0094	10.1546	12.7323	-5.85754	-2.09965	-1.76869	0.624183	0.163131	0.114342	0.134928	0.0897068	0.369016	0.122861	0.281	0.16819	0.265084	0.0982353	0.255522	0.0767652	0.114062	0.0307674	0.0425595	0.0123406	-0.936083	5.77125	5.38273	8.46732	8.11059	9.84091	11.3899	10.0681	13.8051	10.7883	12.6348	-5.78771	-2.30976	-1.90533	-1.76141	6.05967	5.40321	8.39969	8.5856	10.2766	10.9083	9.22819	14.0216	10.2236	12.755	-5.47193	-1.95315	-2.04831	-2.16607	5.82853	5.29543	8.47942	8.18681	9.78447	11.3553	9.72002	13.5062	10.3655	12.0948	-5.52314	-2.20209	-1.38977	-0.0494168	6.02595	4.98388	8.28294	8.53263	10.3452	10.9146	9.02471	13.5287	10.3634	12.4721	-4.97913	-1.79303	-2.14621	-2.32324	6.15498	5.66026	8.7215	8.63333	9.71578	10.8814	9.3899	14.9127	9.69396	12.9102	-4.83764	-2.20674	-1.7131	-1.98645	5.58075	5.28811	8.83054	8.60192	9.10593	10.7254	10.2459	13.8537	10.1907	12.3697	-5.3397	-2.04392	-1.49491	-1.75774	5.75509	5.15647	8.53837	8.45897	9.99342	10.6389	9.69228	13.6698	10.9347	12.1339	-4.7351	-1.64832	-1.80333	-1.05612	5.69321	4.92191	8.66316	8.58655	9.92257	10.835	10.5115	14.3557	10.8177	12.6492	-5.89718	-2.02522	-2.18916	-3.971240e+01	1.009890e+02	6.127660e+01
720	-1.55595	6.08677	5.56038	8.55225	8.42899	10.1136	10.7367	10.2468	14.7349	10.5095	12.7908	-4.91504	-1.92968	-1.99233	0.333682	0.170843	0.200354	0.0670573	0.182217	0.198476	0.216891	0.0599696	0.319974	0.212505	0.255515	0.0967091	0.122503	0.0809212	0.0223351	0.0559719	0.016094	-1.05082	5.99495	5.53282	8.78821	8.41584	9.41292	10.4006	10.1827	14.3512	10.0076	12.6366	-4.76405	-2.44564	-2.02012	-2.39252	6.10829	5.48335	8.23845	8.34455	9.82692	11.3458	10.4663	14.9779	11.0759	12.5884	-4.68921	-2.08975	-2.00063	-2.05483	5.89695	5.24544	8.31713	8.14303	9.84271	11.6212	10.3319	14.9018	10.8214	12.0038	-4.88956	-2.48495	-1.61361	-0.00975235	6.24389	5.15305	8.38308	8.61592	9.75643	10.1141	10.4196	14.8589	11.0892	12.7751	-5.06216	-1.7108	-2.25725	-2.34419	6.46029	5.83946	8.74903	8.75528	10.342	11.8683	10.4119	14.1279	10.5954	12.8973	-5.0047	-1.9622	-1.83731	-2.31423	5.80194	5.1652	8.8919	8.74457	9.81971	10.9251	10.1625	14.0864	10.6003	12.7621	-5.50246	-1.93166	-1.81919	-1.69708	5.84651	5.16711	8.43635	8.4106	10.0593	10.5818	9.99039	14.7038	10.3007	12.9619	-5.20527	-1.77685	-1.84885	-0.542002	6.05892	5.19518	8.98331	8.80431	9.8153	11.1681	10.1617	14.6116	11.2412	12.5765	-4.85563	-2.12619	-2.0821	-2.903843e+01	8.983393e+01	6.079550e+01
