iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.37834	6.26247	1.13881	8.08027	8.75814	9.91626	8.66358	9.81524	11.6805	1.72889	2.51751	-0.724468	-2.13135	-1.52389	0.320241	0.333523	0.089151	0.127999	0.0616008	0.0760882	0.052861	0.438045	0.0751653	0.122609	0.0591551	0.076506	0.0815945	4.73502	0.448658	0.0754943	0.176704	-1.28953	7.05485	0.967771	7.81368	9.19378	9.5007	8.62891	10.3057	11.3152	1.61036	2.83638	-0.162997	-2.36369	-1.95591	-2.17349	5.82628	1.02938	7.78804	8.85801	10.1411	8.47587	10.3707	11.8602	1.58281	2.78064	-1.06771	-2.02414	-1.76912	-0.891191	6.37951	1.23024	8.20762	8.63893	10.4218	8.51633	10.5006	11.7971	2.06255	2.44628	-0.960282	-2.38889	-0.296592	-2.00875	7.04471	1.34366	7.96807	8.78766	9.90353	8.39738	9.71529	11.5285	2.24236	2.25774	-1.38488	-1.88945	-3.54636	-2.47286	5.4583	1.77443	8.0544	8.94347	10.3366	9.01552	10.2413	11.3017	1.09557	2.34311	-0.717948	-2.10676	-1.72137	-1.84639	5.69169	0.842781	7.678	8.4458	10.2171	8.98825	9.74418	12.0927	1.08511	2.78061	-0.464766	-2.04183	-1.86335	-1.38572	6.06414	0.909392	8.35837	9.34177	10.0621	8.58894	9.7371	11.7234	2.08051	2.95435	-0.959696	-1.89192	-2.45655	-1.16743	6.30884	0.748986	7.9913	8.55937	9.99628	8.72637	10.3446	11.7671	1.49365	1.98239	-0.541702	-1.93858	0.14366	-5.656509e+01	-2.730672e+04	-2.736329e+04
100	-1.24416	5.46139	5.37816	9.34498	8.0067	9.07197	13.6184	9.54137	14.8299	8.90009	8.07158	-2.36215	-5.71437	-1.91311	0.267471	0.635492	0.68819	0.152168	0.0700453	0.187567	0.196012	1.47747	0.155678	0.0920816	0.262075	0.121417	0.238769	0.192287	0.0529151	0.493806	0.0200809	-0.73318	4.68688	4.15595	9.3174	8.27535	9.29173	13.0613	9.47656	14.6389	9.17877	7.96361	-2.5991	-5.48469	-2.13819	-1.09748	5.18958	4.65024	8.99108	7.96381	8.63791	13.6915	10.3847	14.4887	8.99377	8.57962	-2.02283	-5.86297	-2.0537	-1.48775	5.39141	4.8377	9.15878	7.71687	8.87501	13.5217	9.33852	14.6644	9.13184	8.08071	-2.39721	-5.25826	-1.48698	-0.0151395	7.30977	5.71787	9.11346	7.66366	9.11962	13.722	9.60408	14.1215	9.00034	7.64962	-1.86948	-4.97418	-2.44642	-1.65934	6.25979	5.53454	9.17154	7.95995	8.96888	13.5143	10.2927	14.9127	8.41465	8.62776	-2.01517	-5.86018	-1.91152	-1.55426	5.26304	4.72178	9.35741	7.88829	9.29868	13.8524	10.2414	14.9045	8.50378	9.70325	-2.37389	-5.55	-1.69491	-2.02864	5.0964	4.51021	9.20071	7.68166	9.50905	13.4276	9.11177	14.1845	8.71892	7.286	-2.13082	-5.80326	-1.86977	-1.17088	5.34978	5.38785	9.29508	7.72072	8.46552	13.2813	9.50652	14.9527	9.02375	7.3477	-2.36713	-5.53776	-1.97513	-6.039504e+01	-3.453754e+01	-9.493258e+01
200	-0.867681	5.92314	4.76656	8.64691	7.91193	9.6375	13.4173	9.8656	14.3516	8.96275	8.9671	-2.63957	-2.61123	-1.82337	0.181583	0.671821	0.133436	0.065929	0.209189	0.114518	0.302399	0.144681	0.532098	0.0988387	0.110687	0.131175	0.0737357	0.196335	0.0542588	0.189151	0.0216036	-0.521273	4.92161	4.37008	8.48563	7.81724	10.4087	13.4849	10.2528	14.5705	8.49731	9.10399	-2.93219	-2.9153	-2.09862	-1.14447	5.22833	4.73092	8.65157	8.20283	8.89478	13.4678	9.52073	13.6107	9.02851	8.86965	-2.52831	-2.42917	-1.93412	-1.65624	5.2335	4.84875	8.80445	7.80282	10.275	13.0513	9.59631	14.2911	9.17188	8.56597	-2.73037	-2.36363	-1.43529	-0.00907114	7.13868	5.45599	8.33022	7.38622	9.37751	13.9878	9.75741	13.335	8.55891	9.30343	-2.07552	-2.68573	-2.57341	-1.04695	5.53599	5.24206	8.53721	8.04605	9.92593	12.7473	9.4967	13.4154	9.32442	9.8039	-3.00526	-2.34825	-1.5222	-1.10173	5.07843	4.8508	8.56366	7.75612	9.25772	12.2549	9.89537	14.1231	8.8497	9.1442	-2.80633	-2.61734	-1.60378	-1.14443	5.81307	5.02995	8.44409	7.54417	9.57436	13.0518	9.50126	13.6295	9.17786	8.91922	-2.35341	-2.52824	-1.93386	-0.477818	6.06476	5.05033	8.38352	7.64385	10.3181	14.0501	9.85912	13.969	9.16264	9.37446	-2.46227	-2.7224	-2.37033	-5.250148e+01	1.208371e+01	-4.041778e+01
300	-0.825327	5.54025	5.14786	8.49836	7.87041	10.2817	13.1467	9.85916	12.8583	9.37188	9.30167	-2.95176	-2.41448	-1.62668	0.154653	0.380185	0.166783	0.0998548	0.091603	0.262509	0.0766016	0.210669	0.107007	0.445443	0.143136	0.711411	0.0718924	0.151248	0.0382074	0.0933382	0.0145301	-0.449207	4.87548	4.4706	8.57288	7.95616	10.3432	13.3616	10.0213	13.0349	10.5671	9.41474	-4.02166	-2.48865	-1.90099	-0.655902	5.04733	4.85911	8.3813	8.29521	10.1194	13.2027	10.5125	12.7641	10.0016	9.38117	-3.36409	-2.42816	-1.81111	-1.197	5.82253	5.31666	8.5018	8.03034	10.4432	12.9615	9.55586	12.588	8.65075	9.31884	-3.67869	-2.27242	-1.32662	-0.000235242	6.57744	5.3014	8.64004	7.55513	10.1987	13.2345	10.3528	12.2815	9.027	9.30861	-1.84647	-2.93426	-2.25758	-1.03205	5.5336	5.41591	8.33683	7.86928	10.0969	12.7243	9.64613	12.5522	9.7129	9.7646	-3.77436	-2.66334	-1.41923	-1.51957	5.63395	5.1377	8.2064	7.78676	10.18	12.6143	9.73533	13.4462	9.15132	9.6101	-3.32342	-2.36084	-1.74155	-1.18307	5.4637	4.8576	8.31307	7.89943	10.293	12.848	9.67923	12.7019	9.2142	10.1163	-2.94955	-2.1364	-1.76991	-0.78331	5.88434	4.91917	8.69811	8.20638	10.0122	13.0241	9.35246	13.1107	9.05451	9.39612	-2.75634	-2.44276	-2.43411	-4.264375e+01	3.652845e+01	-6.115299e+00
400	-0.705659	5.27337	5.09719	8.39331	8.1918	10.3075	11.2686	9.97192	13.0721	9.36493	8.20667	-3.92879	-2.09224	-1.63726	0.788014	0.209166	0.177772	0.193968	0.103014	0.107753	0.169908	0.0631616	0.281488	0.0727558	0.49515	0.602588	0.13848	0.0634594	0.0446486	0.0597293	0.0174788	-0.526312	4.90803	4.56667	8.23169	7.7663	10.1562	11.5343	9.92346	12.3989	9.0091	8.77019	-4.46507	-2.48917	-1.89398	-1.31989	5.28098	4.72156	8.08706	7.99832	10.2001	11.1627	9.7434	13.2079	9.47844	9.03548	-3.52361	-2.25232	-2.01404	-1.27006	5.60611	5.38592	8.45141	8.10668	9.85948	11.4349	9.94246	12.9129	9.54529	7.77018	-5.29959	-2.10303	-1.22218	-0.017252	6.6791	5.30246	8.97185	8.55748	10.3996	10.9259	10.1874	13.3848	9.61217	7.61334	-2.16282	-2.32174	-2.34631	-1.23821	5.97117	5.8844	8.37914	8.1242	10.3647	11.6335	9.72011	13.5241	9.50308	7.41079	-4.34759	-2.16007	-1.50454	-2.09313	5.77309	5.33168	8.42863	8.26219	10.1659	11.3317	9.97594	13.4269	9.11522	8.55828	-5.14679	-1.99724	-1.6384	-1.46531	5.89125	5.24038	8.79755	8.36967	10.4672	11.0964	10.5127	14.3223	9.48752	9.07829	-3.40039	-1.94961	-1.7902	-0.371556	5.37871	5.08956	8.52149	8.33374	9.95593	11.0843	9.84371	12.8347	9.37614	8.26168	-4.59023	-2.22247	-1.84896	-5.452320e+01	6.664779e+01	1.212459e+01
500	-0.556794	5.7662	5.22085	8.34743	8.11622	10.4093	10.8271	10.3458	13.5204	10.2541	8.07073	-5.309	-2.11883	-1.86232	0.59551	0.205281	0.065866	0.0834805	0.0619677	0.0918662	0.242273	0.898758	0.210078	0.0779003	0.0683215	1.29976	0.0795237	0.082907	0.055199	0.0421313	0.0128444	-0.3924	5.33504	4.98444	8.54228	8.16955	10.4586	11.6908	9.15798	13.3752	10.1769	7.96339	-5.70951	-2.42603	-1.90015	-0.859857	5.1544	5.01077	8.21474	8.29956	10.2141	11.1492	9.49228	13.4589	10.4519	8.20777	-4.97136	-2.20622	-1.75227	-1.35194	5.96968	5.43724	8.22851	8.00754	10.1618	11.4432	10.2886	13.3734	10.3648	8.37166	-4.43408	-2.1382	-1.50631	-0.00173251	6.65131	5.49722	8.44603	8.40367	10.5044	10.6848	10.3332	12.3171	10.4235	8.02029	-2.61984	-2.10861	-2.30913	-1.40906	5.78993	5.52572	8.20505	7.94434	10.051	11.3233	9.31922	14.2121	10.5086	7.92792	-3.88216	-2.30004	-1.63257	-1.0858	5.67599	5.31855	8.4246	8.33182	10.2554	11.2374	9.81979	14.3601	10.4466	8.18647	-5.51941	-1.91257	-1.70907	-0.981711	5.98867	5.32794	8.66504	8.48364	10.1484	10.6256	9.95471	13.7766	10.3847	8.0573	-3.23744	-1.89871	-1.87049	-0.457471	5.12597	4.99307	8.10522	8.06772	10.48	11.1518	10.0853	14.0954	10.4876	8.12974	-5.92054	-2.04481	-1.98556	-3.478284e+01	7.980773e+01	4.502489e+01
600	-0.475807	5.60818	5.22652	8.17391	8.17565	10.3308	10.4865	10.1173	12.9467	11.7925	8.81837	-4.19341	-2.22574	-1.73559	0.385165	0.184896	0.18723	0.143749	0.0896229	0.413022	0.128617	0.0823942	0.0740203	0.124321	0.248535	0.681531	0.0616192	0.0986007	0.0536375	0.0494591	0.0157965	-0.749514	5.73383	5.15812	8.49127	8.32703	9.97991	10.3079	10.0576	12.987	11.4534	8.49728	-4.05918	-2.29808	-2.1439	-1.10454	5.32031	4.9924	8.25419	8.31545	9.5451	10.351	9.60853	12.9986	11.6079	8.85804	-4.1379	-2.20214	-1.89965	-1.34222	5.97844	5.46171	8.23892	8.12776	9.71974	10.9893	10.1932	12.9353	11.994	8.22193	-5.48715	-2.21839	-1.37941	-0.0180305	6.66419	5.37223	8.44803	8.57585	10.1649	10.272	10.2674	12.7363	11.9555	8.29032	-3.53843	-1.82755	-2.38117	-1.12429	5.82223	5.58056	8.10492	7.88214	9.45691	10.8948	10.2614	13.4002	11.7188	8.90254	-4.19494	-2.1237	-1.54445	-1.21667	5.22672	4.92981	8.43409	8.04751	9.51761	10.4829	9.56952	13.1507	12.1267	8.6757	-4.04953	-2.35765	-1.67937	-1.47742	5.92359	5.15461	8.65551	8.26978	9.7582	10.4018	10.0994	12.5095	11.6026	8.92607	-2.74353	-2.09139	-2.02122	-0.418085	5.00693	4.90586	8.01121	7.95769	9.94246	10.5741	9.53747	13.063	11.6094	8.92628	-5.67015	-2.13422	-1.93546	-3.758803e+01	7.319433e+01	3.560630e+01
700	-1.14394	6.09834	5.38626	8.27023	8.2673	9.8943	10.6918	9.62896	13.311	12.1358	9.0786	-3.92582	-1.98516	-1.85836	0.485844	0.154202	0.152717	0.0563065	0.0633771	0.258963	0.0440148	0.3098	0.651167	0.200072	0.225386	0.222287	0.101254	0.0557144	0.0310845	0.0500829	0.0122806	-0.766565	5.63636	5.15457	8.47252	8.21411	9.6076	10.4199	9.71033	11.7165	12.965	9.51495	-4.39813	-2.41865	-2.0784	-0.966979	5.8415	5.37831	8.31657	8.34708	9.59343	10.8346	9.70153	12.3557	12.1393	9.56257	-3.95565	-2.09254	-1.96799	-1.57437	6.22067	5.56394	8.39476	8.21456	9.63902	10.9345	9.9607	12.2212	12.4771	9.29359	-4.77413	-2.13864	-1.58816	-0.0349589	6.48103	5.3927	8.15313	8.23366	10.3413	10.3349	9.96276	11.7676	12.2668	8.71664	-3.57038	-2.06023	-2.13268	-1.10172	5.95807	5.46487	7.91864	7.77875	9.20825	10.7353	9.7261	13.2911	11.7415	9.99095	-4.21164	-2.1221	-1.67775	-1.12624	5.54454	5.04874	8.44973	8.13429	9.76014	10.6729	9.79073	12.9606	12.7067	9.76436	-4.41156	-1.9337	-1.67097	-1.35026	5.88443	5.2511	8.45544	8.37118	10.0326	10.4921	10.137	13.3325	11.6449	9.09864	-4.41951	-1.72802	-1.80297	-0.583407	6.00635	5.21377	8.25253	8.00799	10.0564	10.7353	9.06502	12.852	12.9583	8.85686	-4.71443	-2.02862	-2.0841	-4.051280e+01	7.964076e+01	3.912796e+01
800	-0.824072	5.92798	5.23749	8.28203	8.17443	9.77452	10.1437	10.2844	12.7263	10.9399	9.37162	-4.95072	-2.03412	-1.82481	0.147648	0.110418	0.332872	0.0956978	0.0602495	0.0867185	0.271497	0.0694651	0.111327	0.143612	0.12816	0.0734766	0.114681	0.0817571	0.032262	0.0312691	0.0175753	-0.781899	5.99254	5.49128	8.53546	8.34509	9.6319	10.3676	10.179	11.9567	11.1941	9.94329	-5.40451	-2.27713	-2.11436	-1.23811	5.7444	5.12042	8.10086	8.32244	9.70993	10.161	10.0902	12.3674	10.3796	9.78959	-4.50204	-1.95945	-2.13554	-1.13561	6.40291	5.71069	8.29079	8.30682	9.58494	10.7905	10.4054	13.2548	10.8345	9.89082	-5.09246	-1.92622	-1.67112	-0.0400547	6.26565	5.13801	8.24549	8.51963	9.91397	9.74225	10.1114	12.4247	10.9034	9.26824	-4.82691	-1.77442	-2.27426	-1.18842	6.01964	5.62414	8.24979	8.25527	9.68273	10.7223	9.36101	12.9482	10.9337	9.28159	-5.46082	-1.90936	-1.80028	-1.06749	5.74958	5.17668	8.44361	8.41943	9.59949	10.7149	10.2944	13.5857	10.6069	9.29204	-5.03845	-1.92072	-1.85041	-1.15127	5.81909	5.03506	7.97187	7.97838	10.025	10.3035	10.4524	13.1812	10.7542	9.64347	-4.84762	-1.64604	-1.91906	-0.616533	5.93867	5.20497	8.28831	8.11884	9.62776	10.2589	9.81129	12.3232	11.532	9.47526	-4.72491	-2.0408	-2.0611	-2.057070e+01	8.352274e+01	6.295203e+01
900	-0.890972	5.80804	5.08966	8.60702	8.65624	9.80661	10.6212	10.1193	13.4117	12.0322	9.52763	-5.99218	-1.84424	-1.97509	0.245077	0.154551	0.0652979	0.071537	0.0583952	0.244183	0.252278	0.0453481	0.211605	0.245816	0.301973	0.05227	0.102638	0.0790772	0.0338941	0.0384912	0.0162355	-0.543627	5.62289	5.13998	8.84507	8.65791	9.69925	10.7396	9.94853	13.818	12.1997	9.96984	-5.68336	-2.27768	-2.1115	-0.790297	5.67803	5.0732	8.62561	8.89286	9.93635	10.5722	10.2904	13.1163	12.723	9.41804	-5.94917	-1.95575	-1.9932	-1.60262	6.17499	5.48472	8.40145	8.41858	9.73163	10.6467	10.2996	12.9166	12.5768	8.90756	-5.85922	-1.91981	-1.56403	-0.0149126	5.74153	4.59449	8.30748	8.52783	9.51963	9.60529	10.1518	12.7006	12.5442	9.51101	-5.90415	-1.64864	-2.15006	-1.20901	5.76573	5.46814	8.49955	8.54989	9.15197	10.2949	10.0906	14.3283	12.4729	9.02101	-5.94767	-1.94005	-1.72667	-1.45518	5.84455	5.14276	8.56457	8.43105	10.3445	10.9913	10.339	14.1091	12.0701	10.0731	-5.84768	-1.87602	-1.82973	-1.38452	5.43902	4.87218	8.47378	8.37721	10.2692	10.8103	10.3679	13.6174	11.4637	9.63852	-5.95122	-1.67925	-1.75843	-0.631933	6.16887	5.14976	8.42027	8.2467	9.42194	9.8726	9.85414	13.1882	12.5996	10.0587	-5.57482	-2.01922	-2.15282	-1.944589e+01	8.090031e+01	6.145442e+01
