iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.41475	5.70042	3.237	7.73433	12.8276	9.99853	14.3508	10.0067	7.74235	7.61076	7.07497	-0.0843216	-2.19267	-3.18366	0.138563	0.0591551	3.36691	0.515217	0.882841	0.207968	0.101129	0.191836	1.14622	0.0922688	0.149233	0.0860714	0.179427	1.01835	0.0935858	0.131471	0.451458	-1.22875	5.721	6.84637	8.90786	12.101	10.059	14.8219	9.36144	8.03809	7.96051	6.75607	0.552011	-2.58145	-3.15451	-1.66877	5.97874	1.86089	8.45251	12.981	9.65512	14.508	9.87724	8.72229	7.27281	7.57791	-0.241744	-1.51969	-3.73563	-1.40236	6.22362	2.35209	8.48455	12.5521	10.0922	14.0054	9.61022	7.37142	7.5888	6.89806	-0.0380429	-1.74531	-4.88995	-1.88925	5.75777	4.85516	8.30415	11.5305	10.2763	14.1961	10.0985	8.10923	7.36525	7.03781	-0.47517	-1.92732	-1.5742	-0.730055	5.58686	4.71099	7.91917	13.0154	9.79132	14.6272	10.3673	8.84807	7.16492	7.95145	0.314706	-2.14335	-0.993145	-1.27952	6.09684	3.13961	7.86248	13.9918	10.3747	14.7864	9.2841	7.63188	7.572	7.27404	-0.378493	-2.48541	-3.75311	-1.64744	5.69509	5.72602	8.01622	14.5257	10.0528	14.871	9.73322	8.37088	7.26155	7.96205	-0.332392	-1.7933	-2.70484	-1.14634	5.22169	2.51785	8.20219	12.4038	9.66539	14.6934	9.98075	8.10658	7.52104	6.70642	0.307578	-1.93852	-4.12107	-9.804116e+01	-1.912854e+04	-1.922658e+04
100	-0.591518	5.16883	4.48662	8.92869	8.75696	9.83204	13.2853	10.3002	13.3179	8.10623	8.48559	-4.06791	-2.19467	-2.00642	0.359422	0.340989	0.451148	0.135612	0.48144	0.501748	1.00842	0.606962	0.835146	0.989532	0.114625	0.309019	0.110669	0.105008	0.0478163	0.131354	0.0233062	-0.482493	5.09465	4.69949	8.72212	8.3346	10.1813	12.9907	9.44007	13.6126	6.63769	8.69153	-4.37013	-2.45933	-2.00738	-0.564277	4.63174	4.54995	8.52346	8.34697	8.99607	12.384	9.7627	13.8667	8.78466	8.03249	-3.9337	-2.35477	-1.6353	-1.00832	4.42574	4.47499	9.12318	8.85253	10.145	12.5538	9.95378	13.6649	8.01135	9.01793	-4.93261	-2.45435	-1.2745	-0.0149298	5.33999	4.23327	9.23799	8.59515	9.52832	10.7962	9.85937	11.9683	7.41703	7.96049	-2.08269	-2.54546	-2.25519	-1.04781	5.00994	4.95217	9.03514	8.99284	10.3627	12.815	10.4139	14.187	7.62852	8.41871	-3.95856	-2.10151	-1.58559	-1.32056	5.06069	4.85816	8.80956	8.67266	9.75116	12.9977	9.51532	13.9877	8.06252	9.28096	-4.09567	-1.62077	-1.67041	-0.963475	6.58905	5.56396	9.14119	9.58182	9.3652	13.8858	9.83681	13.8963	7.2036	8.60928	-3.96684	-1.5475	-2.05736	-0.14247	4.9067	5.08144	8.93325	8.52984	9.08011	11.1651	10.3516	13.9518	9.00781	8.36525	-3.48726	-2.62158	-1.74896	-1.067642e+02	2.693069e+01	-7.983355e+01
200	-0.718331	5.06727	4.96969	8.76275	8.78887	9.75012	10.7301	9.82699	12.8162	8.65562	9.58521	-4.65933	-2.18232	-1.72512	0.535337	0.137077	0.0561677	0.0719734	0.0761176	0.12108	0.172155	0.0936726	0.126227	0.227542	0.295152	0.343265	0.102159	0.0949346	0.0641371	0.0348449	0.0144722	-0.490481	5.20087	4.75685	8.80718	8.80665	9.89579	10.5385	9.66106	12.5287	9.26809	9.49412	-4.70421	-2.17686	-2.17522	-2.16295	4.96889	 4.86	8.68728	8.54241	9.73316	10.4297	10.3894	12.6578	8.44177	9.48985	-4.34046	-2.15855	-1.61391	-1.0841	5.18484	4.92384	9.17803	8.96609	9.53317	11.286	10.118	13.1051	8.39365	9.22789	-5.0713	-2.17004	-1.16101	-0.0111677	 5.19	4.24854	8.75672	8.54436	10.0688	10.4618	10.0875	12.0997	9.00667	8.75153	-3.28345	-1.94559	-1.9817	-1.07639	5.23819	5.11791	9.05369	8.90295	10.0068	11.5075	9.67307	13.165	8.81529	10.7857	-4.95589	-2.18638	-1.51386	-1.50258	5.27596	4.93848	8.7593	8.54311	9.57692	10.5402	10.1722	12.8026	8.96409	9.84026	-5.19951	-1.90977	-1.52849	-0.789116	5.55292	5.06736	9.147	9.33598	9.71586	10.4696	9.86334	12.7054	7.96142	9.43491	-5.06908	-1.60939	-1.74915	-0.334742	5.09045	5.06845	8.47049	8.43666	9.65348	10.912	9.14249	13.3866	8.99551	8.71572	-4.75081	-2.13589	-1.89059	-3.938242e+01	5.653703e+01	1.715462e+01
300	-0.823202	5.27816	4.91541	8.8636	8.97205	10.2945	10.5622	10.1479	13.2218	9.53147	8.28438	-5.48331	-1.91093	-1.6128	0.35946	0.0797983	0.137877	0.223484	0.102883	0.224089	0.138098	0.0909245	0.532797	0.500284	0.205613	0.131892	0.0645618	0.107381	0.0399053	0.0340339	0.0154102	-0.531309	5.64252	5.29845	8.99717	9.04532	9.9747	10.3916	9.82066	13.2923	9.07622	8.24519	-5.71172	-2.21816	-2.11762	-0.959107	5.24445	4.86391	8.84621	9.08474	9.75201	10.5462	10.1713	13.3122	9.24608	8.37072	-5.80229	-2.00609	-1.95349	-1.60439	5.769	5.2407	9.19382	9.22857	9.32909	10.5069	10.2531	13.5568	8.00629	8.18382	-5.12947	-2.1379	-1.48109	-0.0314285	5.67865	4.70789	8.20235	8.43705	10.4893	10.6167	10.1365	11.9895	10.4614	8.93162	-5.62598	-1.61648	-2.12361	-1.17999	5.49378	5.26326	8.82901	8.91572	10.0496	11.0983	10.4412	13.962	9.33374	9.3084	-5.52533	-2.05774	-1.75477	-1.44298	5.00168	4.84752	8.75709	8.65474	10.0635	10.8899	10.1156	13.2514	9.18371	7.9243	-5.22146	-1.80778	-1.62422	-1.20563	5.53701	5.12033	9.20397	9.10701	10.0436	10.7577	10.1273	13.9327	8.28751	8.64018	-5.37997	-1.78202	-1.63702	-0.605942	5.66202	5.07096	8.29821	8.31099	10.1271	10.558	10.3858	14.1467	9.70419	8.59663	-5.61526	-2.00374	-2.07366	-3.894632e+01	7.288338e+01	3.393706e+01
400	-1.42316	5.72837	5.46259	8.80661	8.70181	9.99044	10.3261	9.88226	14.27	10.8292	8.89437	-5.83887	-1.79025	-1.78997	0.682088	0.0785849	0.121912	0.0951978	0.0760006	0.209461	0.120637	0.312074	0.599591	0.456256	0.168151	0.212861	0.147336	0.0934325	0.0409607	0.0406677	0.0240476	-0.712731	5.87956	5.29775	8.96317	8.74252	9.92155	10.7157	10.2623	14.0094	10.3858	8.66387	-5.98933	-2.31219	-2.16052	-0.685254	5.70332	5.26646	8.72941	8.85953	9.30936	10.0938	9.49377	13.3181	11.8012	8.93719	-5.58923	-2.03147	-1.92348	-1.34092	6.03727	5.37405	8.77795	8.73262	9.36409	10.4895	9.70676	14.9726	9.70111	8.22748	-5.93038	-2.00519	-1.61068	-0.0139859	6.43244	4.97753	8.52193	8.64415	10.2996	10.2971	10.3109	13.2511	10.0813	8.64313	-4.90509	-1.66897	-2.30455	-0.892226	5.83357	5.82497	8.90964	8.75176	9.51525	10.7188	9.96917	14.8499	11.8475	8.02125	-5.77273	-2.18192	-1.38705	-1.62032	5.32142	4.9674	8.66432	8.48587	9.81331	10.59	9.46167	14.6337	11.0996	8.26188	-5.79645	-1.99395	-1.70227	-1.8228	5.96563	5.30629	9.01017	8.92563	10.0897	10.3618	10.4007	14.4957	10.8627	8.49425	-5.52294	-1.58725	-1.83066	-0.574988	5.91499	5.20839	8.72588	8.4043	9.60191	10.2327	10.4559	14.8435	10.7171	8.73326	-5.63301	-2.16371	-1.94611	-4.214665e+01	7.081119e+01	2.866454e+01
500	-0.827333	5.58248	5.18528	8.7878	8.77265	10.2584	10.3773	9.71521	12.7872	11.6059	8.47629	-5.79497	-1.81334	-1.8326	0.159667	0.0750217	0.0938559	0.0606066	0.056357	0.293382	0.104436	0.261217	0.050567	0.322094	0.149526	0.0757964	0.0706299	0.146936	0.040752	0.038669	0.0154471	-0.601341	6.18524	5.74344	8.80622	8.58199	9.59829	10.506	10.4056	12.6878	12.6321	8.10202	-5.86371	-2.25505	-2.04645	-1.10651	5.59854	5.11572	8.8143	8.9387	9.93203	10.6484	9.35563	13.3212	12.1759	8.3505	-5.82236	-1.90175	-1.97596	-1.32231	5.88182	5.25753	8.79078	8.60769	8.92486	10.2178	9.78161	12.7419	12.2917	8.73516	-5.51742	-2.14441	-1.44906	-0.0171235	6.12276	4.87735	8.36405	8.79652	10.3488	9.93043	10.1459	12.6612	12.7972	8.35724	-5.44065	-1.81164	-2.39632	-0.88678	5.67734	5.43255	8.6509	8.562	8.78172	10.4268	8.99071	12.9158	11.4993	8.12103	-5.78726	-2.01377	-1.55508	-1.22088	5.62765	5.24974	8.66468	8.5563	9.85623	10.3748	10.0475	12.4252	11.4517	8.61579	-5.7545	-2.24659	-1.68216	-0.790605	5.81505	5.33705	8.78363	8.77571	9.94487	10.2159	9.83209	13.0624	12.2914	8.69178	-5.86566	-1.65879	-1.74217	-0.68357	5.59072	5.04524	9.02846	8.8705	9.76258	10.2831	9.23605	12.6312	11.3103	8.72244	-5.63156	-2.11483	-2.04373	-2.131510e+01	7.686529e+01	5.555019e+01
600	-0.669942	5.8641	5.34426	8.87272	8.90475	9.59256	9.99864	10.2138	12.4285	11.0857	8.33415	-5.18045	-1.94734	-1.89729	0.215893	0.238763	0.0837529	0.0876457	0.135851	0.139988	0.0595444	0.121435	0.152189	0.122108	0.0543106	0.113023	0.0851558	0.160869	0.0401221	0.0443469	0.0123935	-0.57218	6.13701	5.76101	8.45649	8.26149	9.27262	10.0229	9.82512	12.4968	11.1591	8.50487	-4.756	-2.31764	-2.04016	-1.18041	6.19679	5.77844	8.88412	8.85617	9.02063	10.0719	9.66966	12.4859	11.2551	8.47161	-5.21419	-2.23799	-1.82989	-1.07563	6.06438	5.41783	8.63635	8.68803	8.96045	10.2079	9.5066	12.6068	10.8151	8.53189	-5.65026	-1.93158	-1.55592	-0.00670785	6.13409	4.99921	8.612	8.92586	9.50779	9.4951	10.0579	12.3636	11.3133	7.99492	-5.27894	-1.61588	-2.23352	-1.32147	5.23469	5.1799	8.81307	8.69057	9.47066	10.3474	9.73536	12.7882	10.8154	7.99498	-5.71605	-1.97	-1.52555	-1.52756	5.69186	5.20515	8.91226	8.84126	9.66082	10.2814	10.2438	12.8836	11.2943	8.27922	-5.6055	-1.96933	-1.76794	-1.55621	6.25267	5.61673	8.95661	8.83491	10.2868	10.4137	9.69473	12.3392	11.0642	8.04585	-5.01127	-1.64814	-1.73337	-0.318046	5.12202	5.11046	8.93115	8.66428	8.86567	9.97359	9.91113	13.0324	11.1739	8.35241	-5.45656	-2.18422	-1.74963	-2.411025e+01	7.976920e+01	5.565895e+01
700	-0.732058	5.87054	5.29932	8.83052	8.94394	9.86395	10.1741	9.74516	12.347	11.0514	8.72619	-5.88202	-1.90927	-1.67544	0.272345	0.0555138	0.150472	0.0529725	0.107875	0.460097	0.121015	0.181863	0.106745	0.117301	0.139335	0.132517	0.0786756	0.0791655	0.0562269	0.043285	0.0121066	-0.620523	5.8663	5.47692	8.83549	8.73655	9.39108	9.89174	9.157	11.9674	11.4245	9.0669	-5.85274	-2.40237	-2.09318	-0.975632	5.93988	5.30642	8.94119	9.01639	9.31505	10.0877	9.06185	12.3682	10.8054	9.10822	-5.64342	-2.04261	-1.94	-1.24502	6.07895	5.43135	8.98524	8.79154	8.98592	10.3288	9.00047	12.3137	11.1896	8.99995	-5.82436	-1.9815	-1.45382	-0.0601075	5.86791	4.90243	8.70852	8.98879	9.80237	9.7027	10.1706	11.725	10.6661	9.00108	-5.94453	-1.69086	-2.04443	-1.23358	5.50003	5.29636	8.66143	8.61893	9.48984	10.3295	9.65237	12.7847	11.2655	8.91384	-5.41267	-1.90364	-1.60064	-1.30476	5.80321	5.38127	8.828	8.61285	9.69062	10.9624	9.3334	12.5116	11.0617	8.81443	-5.64875	-2.02686	-1.65007	-1.14467	5.95841	5.56072	8.95446	8.72404	9.80334	10.4367	9.82567	12.3647	10.8334	8.43221	-5.91197	-1.82211	-1.5509	-0.427342	5.66383	5.08839	8.39799	8.33678	9.30583	9.74801	9.44558	12.8728	10.8221	8.85001	-5.8441	-2.01995	-2.03252	-1.400295e+01	8.055339e+01	6.655045e+01
800	-1.46044	5.83949	5.14298	8.82419	8.77981	9.37625	10.1117	9.42083	11.8556	12.9042	12.1325	-5.6417	-1.875	-1.86253	1.00417	0.0834465	0.102991	0.313229	0.0598178	0.209872	0.27919	0.17392	0.226037	0.393458	0.141173	0.155573	0.316349	0.0820614	0.04241	0.0400359	0.0139397	-0.610427	5.42612	5.06736	8.58918	8.40662	8.99977	9.82696	9.67533	11.8925	12.4134	12.4141	-5.52223	-2.23755	-2.04845	-0.99816	5.94486	5.38974	8.75039	8.89786	9.39401	10.2319	10.0156	12.694	12.3851	11.9474	-5.93507	-1.95423	-1.93391	-1.80661	6.00682	5.4627	8.67031	8.50619	8.96975	9.94245	9.49376	11.4366	12.0065	12.4099	-5.35356	-2.03197	-1.44645	-0.0498655	5.51199	4.62829	8.74836	8.9473	9.71916	9.60366	9.75883	11.2369	12.6526	11.9218	-5.86566	-1.66976	-2.0669	-1.85884	5.96144	5.42599	8.92796	8.93064	9.5852	10.1953	9.60118	12.3478	12.0856	12.0809	-5.95655	-1.81305	-1.79848	-2.00354	5.40108	5.00853	8.83257	8.65166	9.17187	9.85444	9.73922	12.3073	12.7868	12.029	-5.60512	-1.95162	-1.67347	-1.16959	6.01702	5.27734	8.67917	8.62868	9.63641	10.0778	9.87385	11.8583	12.7427	11.7416	-5.51922	-1.70368	-1.84881	-0.615006	6.01812	5.20486	8.67095	8.58999	9.35943	10.0336	9.40596	12.2099	12.2904	11.9325	-5.43644	-1.95635	-2.17997	-3.375049e+01	8.828506e+01	5.453458e+01
900	-1.55201	6.34096	5.23278	8.6996	8.87812	10.4591	10.6734	10.0464	12.2338	12.0582	12.3348	-4.86629	-2.09531	-1.88077	0.46629	0.13972	0.153418	0.112578	0.0586561	0.172016	0.13607	0.332884	0.0572635	0.058534	0.555623	0.292017	0.186801	0.0754692	0.0332707	0.0363721	0.0144168	-0.75035	6.09522	5.51948	9.01804	8.81411	9.93971	10.6883	10.2455	12.2441	11.9038	12.9937	-4.77333	-2.26049	-2.19838	-1.16852	5.53786	5.17297	8.82003	8.81725	10.2986	11.0001	9.47311	12.065	12.2221	12.3304	-4.9196	-2.0484	-1.81444	-1.39694	6.07982	5.38794	9.07259	8.9641	10.3597	11.4404	9.52632	12.3087	12.228	12.8689	-4.7497	-2.32036	-1.56991	-0.0123163	5.89862	4.87056	8.4216	8.76732	9.90347	9.79218	10.0901	11.9545	11.7075	11.891	-5.16701	-1.65666	-2.18269	-1.63466	6.13057	5.69763	8.67131	8.79572	9.86377	10.4305	9.82203	12.2631	12.0213	10.4783	-4.9609	-1.90495	-1.83845	-1.14332	5.53304	5.11867	9.29553	8.99575	9.94334	11.3282	10.0796	12.3225	11.5617	12.2958	-4.72656	-1.97142	-1.57339	-1.99937	6.30647	5.49711	9.00905	8.98123	10.441	10.4486	9.55895	12.1408	11.6698	12.7649	-5.18224	-1.72178	-1.89152	-0.489613	6.22919	5.2236	8.81446	8.73073	9.94923	10.5865	9.75659	12.096	12.4999	10.8995	-4.85778	-2.02556	-2.21633	-3.702030e+01	8.392743e+01	4.690713e+01
