iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.44452	5.43303	12.494	8.11371	4.7153	9.74166	9.72311	10.1403	10.9552	4.91804	3.46426	-0.745261	-1.59536	-2.28229	0.347948	0.151067	0.098066	0.212545	0.10789	0.125644	0.124127	0.13662	0.063906	0.222604	0.121785	0.107214	0.155972	0.131875	0.0201238	0.0546194	0.0201499	-1.20881	5.10913	12.1783	8.14733	4.91006	9.78731	9.98858	9.97823	10.8299	4.71936	3.26434	-0.80743	-2.16371	-2.29519	-0.665905	5.10221	12.9828	8.4928	4.77116	9.75605	9.88092	10.1541	11.0215	5.54926	3.25107	-0.962303	-1.21192	-2.27524	-1.69466	5.43302	12.236	8.69436	4.48596	10.1661	9.8153	10.1761	11.0711	5.14276	3.11012	-0.520979	-1.32182	-3.00623	-1.54978	5.95906	12.6948	8.35647	5.00351	10.1667	9.62531	10.1333	10.8182	4.97118	3.5095	-0.53447	-1.82382	-2.79317	-0.345237	5.21094	12.2211	7.89341	4.40042	9.66858	9.04897	9.93537	11.1986	4.17353	3.31912	-0.598339	-2.00748	-2.39544	-1.7338	5.25647	12.0969	8.42898	4.37805	10.3176	9.98687	10.1744	11.0105	5.06958	4.42133	-0.99896	-2.01115	-2.18492	-1.78624	5.38673	12.5134	7.63427	4.58003	9.58895	10.0004	9.90652	10.9099	4.85015	3.32395	-1.27105	-1.57483	-2.37136	-2.02218	5.60158	12.194	8.19333	4.11252	9.7691	9.6957	9.76995	10.6228	4.91525	3.21195	-1.08218	-1.63814	-1.72492	-2.190631e+01	-3.391380e+04	-3.393570e+04
100	-0.584188	5.34462	11.3998	7.66715	7.25554	10.3433	11.7348	10.2758	13.5325	9.22616	5.45682	-3.02158	-2.33747	-1.84281	0.138147	0.0982861	0.0807168	0.0806334	0.150839	0.0984961	1.79945	0.575237	0.11723	0.281451	0.394687	0.23461	0.0616809	0.0774051	0.0979432	0.0612285	0.464716	-0.59592	5.45866	11.1768	7.67904	7.17126	10.1924	11.6565	9.98154	13.8407	9.91932	4.00153	-3.65637	-2.50275	-1.59785	-0.683155	4.94103	11.2449	7.68044	7.64716	10.5088	11.6608	9.9379	13.6186	9.30423	5.01162	-3.26391	-2.09588	-1.92411	-0.851653	5.70278	11.2014	7.88673	7.43851	9.81657	11.6856	9.75689	12.4502	9.48261	5.6162	-3.56435	-2.31009	-1.9914	-0.125493	4.97314	11.6997	8.04937	7.33547	9.62097	10.8276	9.645	13.1988	8.69926	5.38329	-2.75274	-2.47122	-1.37802	-0.83817	5.89584	12.0464	7.72923	7.34578	10.4303	12.4813	10.3177	13.6027	10.0274	5.81554	-3.64858	-2.16143	-2.09579	-0.751703	5.52323	11.478	7.63646	7.18594	9.96121	12.4858	10.4069	13.9658	9.40939	5.73604	-3.46058	-2.03692	-1.6428	-0.76285	5.48603	11.8338	7.93886	7.33578	10.2324	11.4588	10.4378	13.2725	9.35831	5.61879	-2.73055	-2.2679	-1.73698	-0.230447	5.61821	11.3348	7.6944	7.64774	10.115	11.4142	9.15609	13.6904	9.72486	6.18979	-2.50538	-2.45622	-2.18701	-4.772223e+01	-1.046797e+02	-1.524019e+02
200	-0.47896	5.23854	12.265	7.62447	7.58348	10.1501	11.1611	10.1339	14.8899	10.0999	5.43679	-4.414	-1.91589	-1.90599	0.199841	0.204492	0.0501182	0.0729892	0.126007	0.0459116	0.0994179	0.124112	0.0473384	0.141246	0.194475	0.124349	0.104714	0.0466789	0.0851758	0.0428886	0.46142	-0.452523	4.92671	12.2433	7.88427	7.62065	10.3359	11.3067	9.90462	14.9358	10.2653	4.03654	-5.01625	-2.43338	-2.02923	-0.901192	5.28938	12.0688	7.74242	7.76105	10.2709	11.2522	10.1518	14.7451	10.4856	5.25675	-4.31553	-1.94698	-1.66075	-1.02318	4.55574	12.278	8.11587	7.96427	10.0645	11.5776	9.89698	14.8305	9.56731	5.44736	-4.46893	-1.91137	-2.18874	-0.0259104	5.57674	12.4383	7.82861	7.85351	10.4161	10.6667	9.28984	14.9044	10.2512	5.37299	-5.14637	-1.82761	-1.64491	-1.19622	5.39346	12.4838	7.74114	7.43623	9.69805	11.3223	9.88442	14.676	9.47667	5.8473	-4.45195	-1.96197	-2.15663	-1.10659	5.02853	12.0091	7.61491	7.46585	10.1471	11.0813	10.2914	14.9771	10.0633	5.44388	-3.83111	-1.87535	-1.93828	-1.26013	5.71727	12.2905	7.89039	7.51211	10.4308	11.4229	9.55373	14.9841	9.91848	5.88546	-4.54392	-1.91328	-1.48846	-0.138882	5.31355	12.2909	7.6663	7.70639	10.1844	10.9933	9.98814	14.8716	9.73466	6.62996	-4.518	-2.12335	-1.68292	-1.579830e+01	-8.019506e+01	-9.599336e+01
300	-0.417786	5.95434	11.362	7.87496	7.84889	10.219	11.3195	10.1289	14.1557	10.3343	5.38938	-4.96541	-1.94959	-1.61669	0.163919	0.1129	0.0829987	0.0629506	0.0482464	0.125345	0.336061	0.0978808	0.31948	0.116176	0.392951	0.107847	0.25489	0.0865645	0.0711585	0.0479328	0.389464	-0.383425	6.02202	11.5808	7.93527	7.66394	10.4962	11.3465	9.66852	13.5325	10.2646	3.92184	-5.30679	-2.2918	-1.71702	-0.397404	5.67854	11.2942	7.82074	7.88338	10.3233	11.8181	9.60935	14.6211	10.5179	5.33461	-4.75064	-2.20786	-1.5593	-0.687531	5.76862	11.356	8.05207	8.11967	9.88113	11.2708	10.2668	14.2801	10.1311	5.4631	-5.62787	-1.76769	-1.47295	-0.0243351	5.66099	11.5953	7.81024	7.89073	10.3934	10.2945	10.3162	13.6553	10.7175	5.04129	-4.60174	-1.66039	-2.06356	-0.542766	5.89545	11.152	7.9119	7.57862	10.1035	12.5654	10.1822	13.9922	10.2241	6.00598	-4.74441	-1.92999	-1.78093	-0.992517	6.36247	11.2214	8.15215	7.95662	9.47476	10.7715	10.0162	14.1752	9.95587	5.66868	-4.16089	-1.80631	-1.50553	-0.627847	6.56576	10.9532	8.02559	7.99355	10.4302	10.9313	10.1468	13.7407	10.3991	5.5156	-5.48055	-1.60335	-1.47483	-0.917133	5.96109	11.125	7.77605	7.69634	10.1338	10.5942	9.74683	14.2618	9.68462	6.6661	-4.64414	-2.08604	-1.69313	-3.299767e+01	-8.210920e+01	-1.151069e+02
400	-0.539881	6.95292	10.4472	8.05688	7.76365	9.84568	10.9636	9.99136	13.3329	9.26991	5.63518	-4.98163	-2.17978	-1.75746	0.17062	0.40597	0.0723159	0.132626	0.07954	0.252469	0.242446	0.0988988	0.0445718	0.121866	0.413308	0.444641	0.0304017	0.100267	0.100318	0.0500493	0.404554	-0.359989	6.73355	10.6266	8.22835	8.0365	9.90796	10.8695	10.1404	13.2915	9.17723	3.86668	-5.12379	-2.34782	-1.93495	-0.562617	6.85175	10.3836	7.83529	8.00836	9.14871	10.8929	9.8574	13.3463	9.10321	5.44705	-5.98253	-2.03592	-1.58741	-0.882303	5.86633	10.4998	7.97207	7.79003	9.55764	11.1299	10.0469	13.2974	8.83368	5.89094	-5.63024	-2.23506	-2.0134	-0.0803985	7.39217	9.90731	8.18547	7.73192	10.1411	10.6454	9.99944	13.2419	9.51224	5.59903	-4.15089	-2.2384	-1.75281	-0.437853	6.43145	10.6393	7.79884	7.56149	9.78698	12.0974	10.1151	13.5276	9.63329	6.03365	-5.09681	-2.04605	-1.38815	-1.23782	7.77333	9.83338	8.00562	7.65922	9.6265	11.3002	10.1375	13.3562	9.50744	5.86199	-5.14651	-1.99732	-1.7626	-0.251914	5.7699	9.99156	8.20456	7.98462	9.23628	10.6447	10.3685	13.2344	9.36117	5.77828	-4.16662	-1.94967	-1.59347	-0.434473	7.5732	10.2611	7.97118	7.93983	10.1122	11.019	10.2591	13.4771	9.58699	6.72301	-5.36349	-2.18172	-1.49148	-3.687846e+01	-9.050480e+01	-1.273833e+02
500	-0.997993	7.98441	7.47249	7.72928	7.87851	10.2019	10.6135	9.79042	14.7974	10.5107	7.02197	-5.69135	-2.17707	-1.98474	0.279138	0.0367245	0.0559236	0.13117	0.0571385	0.188515	0.100656	0.19849	0.237781	0.0437036	0.412652	0.348222	0.0671504	0.0898704	0.0589502	0.0455109	0.031128	-0.571539	7.67686	7.33596	8.23664	8.05659	9.91942	10.6984	9.80285	14.7209	10.4514	5.68817	-5.62311	-2.38422	-2.09402	-1.34438	7.88014	7.62944	8.03874	8.13245	9.89414	10.7315	9.44272	14.5084	10.839	6.69988	-5.15931	-2.08162	-1.91293	-1.58518	7.90356	7.3253	7.66628	7.72679	9.78889	10.6512	10.0995	14.3316	10.6441	7.70081	-5.92758	-1.97674	-1.55105	-0.00864834	7.8631	7.42195	7.62974	7.9897	10.4239	10.4654	10.0316	13.365	10.3442	5.48399	-5.98743	-1.76863	-2.03439	-1.31121	7.93453	7.54535	7.99173	7.92674	9.40019	10.4508	9.90011	14.9808	10.2148	7.46381	-5.06334	-2.05734	-1.70664	-1.2429	7.91559	7.17334	7.95263	7.85582	10.3384	10.9345	10.1552	14.4195	10.5289	7.3984	-4.69479	-1.96718	-1.82513	-1.43891	7.73283	7.32193	8.25089	8.03518	10.5106	10.9329	9.47197	14.3557	10.5744	7.121	-5.65954	-1.87999	-1.57583	-0.573328	7.55776	7.62971	8.02587	7.9393	9.83629	10.2724	10.3501	14.5913	10.5974	6.92294	-4.65654	-2.06211	-2.10551	-1.892270e+01	5.813109e+01	3.920839e+01
600	-0.894878	7.83612	7.43319	7.90816	8.1595	10.2842	10.6891	10.0807	13.1837	9.70007	6.86337	-5.98273	-2.03209	-1.8817	0.130871	0.0752677	0.124503	0.0771455	0.0897206	0.223768	0.173634	1.10217	0.462101	0.0999131	0.237745	0.150769	0.0931925	0.142902	0.0421356	0.0466805	0.0152574	-0.433615	7.59556	7.27195	8.60252	8.33351	10.3718	11.2405	10.0829	12.7752	9.78276	7.37074	-5.33198	-2.55919	-1.95116	-1.23593	7.82881	7.38878	8.00044	8.18911	9.85352	10.8278	10.325	14.1892	9.53808	6.91353	-5.98206	-2.06733	-1.91671	-1.19019	7.87984	7.27573	7.91149	7.93021	9.71239	11.0358	10.5314	13.2413	9.36952	7.51062	-5.92026	-1.97411	-1.4388	-0.0218467	7.5998	7.0609	7.9641	8.17648	9.90989	9.80481	9.70145	11.8323	9.40129	5.83811	-5.65341	-1.7465	-1.91619	-1.00789	7.89247	7.46538	8.18398	8.13271	9.75601	11.282	9.43316	13.4152	10.0335	7.48575	-5.3226	-2.02453	-1.64926	-1.50389	7.59545	7.13421	7.9569	7.86575	10.4128	10.9122	10.0088	13.4596	9.31145	7.0237	-5.77479	-1.88189	-1.71531	-1.12408	7.651	7.40014	8.39286	8.26779	9.81665	10.3605	9.88012	12.6738	9.49257	6.92385	-5.8975	-1.7313	-1.56475	-0.695044	7.77422	7.68168	7.85411	7.75715	10.2913	10.8202	9.70485	12.7151	9.76449	7.02519	-5.98039	-1.86966	-1.86423	-2.726080e+01	8.173074e+01	5.446994e+01
700	-1.51473	7.94571	7.29887	7.71384	8.042	10.1533	10.8268	9.6667	12.6744	10.0921	7.41704	-5.90849	-2.02712	-1.89009	0.846101	0.0443785	0.0458353	0.363496	0.159997	0.159739	0.191232	0.21685	0.39769	0.151295	0.412451	0.0817744	0.216736	0.0702626	0.0304557	0.036334	0.016682	-0.577209	7.66958	7.28434	8.39999	8.14159	10.052	11.277	9.91601	12.187	10.6871	7.33945	-5.56465	-2.36715	-1.98147	-0.974264	7.99719	7.3425	8.12246	8.20903	10.2192	10.9803	9.55986	13.2756	10.1355	7.82639	-5.97634	-1.99347	-1.90988	-1.63525	7.70486	7.34233	8.38322	8.22005	10.0985	11.1604	9.54868	12.7874	10.7885	6.93862	-5.89852	-2.12845	-1.40818	-0.00299566	7.90158	6.81483	8.1773	8.48784	10.1495	10.265	9.97787	11.9434	10.011	7.52336	-5.45454	-1.69293	-2.1793	-1.05554	7.76496	7.22818	8.29717	8.22376	10.105	11.3311	9.49139	13.3094	10.1663	7.75622	-5.87651	-2.01851	-1.74582	-2.48402	7.99808	7.16608	8.11448	8.01411	9.64901	10.3246	9.91641	12.6232	10.4023	7.92515	-5.63301	-1.84917	-1.89417	-0.761692	7.82049	7.41348	8.68332	8.52311	10.2052	11.0947	10.0479	12.1548	10.3871	7.35627	-5.57496	-1.83849	-1.58828	-0.532031	7.86408	7.20634	7.70874	7.58996	9.91049	10.9462	9.94028	12.4536	10.3333	7.20989	-5.86914	-2.08921	-1.99816	-2.919873e+01	8.307269e+01	5.387396e+01
800	-0.953942	7.9275	7.1644	8.16321	8.17216	9.76324	10.7181	9.85347	13.0284	11.2067	7.45148	-5.74289	-2.15804	-1.97539	0.296866	0.071788	0.0983619	0.153027	0.0857385	0.102718	0.134181	0.45708	0.409626	0.165641	0.151019	0.0699158	0.336983	0.118079	0.0519305	0.0364519	0.011057	-0.578655	7.638	7.23121	8.00365	7.78521	9.50435	10.403	9.68534	11.9805	10.8494	7.71186	-5.5208	-2.35318	-1.96211	-1.36555	7.838	7.38022	7.82263	7.93438	9.73704	10.5078	9.95658	12.7555	11.0749	7.16332	-5.74491	-1.99398	-1.87561	-1.82385	7.84514	7.07504	8.20026	8.09504	9.94556	10.9953	10.4118	12.5702	11.4002	7.84982	-5.34681	-2.07463	-1.5268	-0.0215155	7.87613	6.69034	8.07147	8.29535	10.4549	10.2625	9.20653	11.3413	11.2266	7.03211	-5.95565	-1.63255	-2.24311	-1.18837	7.89811	7.23052	8.28037	8.29506	9.68802	10.8021	9.22421	13.2544	11.0347	8.08893	-5.41811	-1.92959	-1.79778	-1.0862	7.99612	7.18745	8.28633	8.2876	9.78134	10.7136	9.50781	13.2071	11.5293	7.68558	-5.52112	-1.79942	-1.93731	-0.612998	7.64775	6.99181	8.38873	8.20348	9.70152	10.6043	9.48259	13.6841	11.3717	7.56985	-5.61658	-1.74279	-1.74239	-0.825643	7.52452	7.66546	7.82272	7.78964	10.1312	10.7211	9.10578	12.8579	10.429	6.9389	-5.85135	-1.99336	-1.84028	-2.694627e+01	9.020395e+01	6.325768e+01
900	-0.69728	7.89576	6.90312	7.91867	8.19333	10.1112	10.7913	10.0523	12.8253	11.0333	7.53567	-5.15008	-1.95599	-2.11374	0.253691	0.108539	0.123752	0.129071	0.0786045	0.117782	0.16047	0.06364	0.184593	0.110533	0.197621	0.0547907	0.0885351	0.101863	0.0530124	0.0406882	0.0170128	-0.64042	7.47145	7.07912	8.30999	8.37943	10.232	10.7805	10.2803	13.3069	10.7483	7.59762	-5.08256	-2.23702	-2.1633	-0.979335	7.69268	7.27962	7.94423	8.003	10.0049	10.6432	10.1055	12.5381	11.3783	8.26166	-4.96931	-1.98831	-1.83194	-1.06393	7.87067	7.17764	8.22013	8.12242	10.0374	11.2991	9.75899	12.3239	11.4575	7.97751	-5.03941	-2.22597	-1.51902	-0.0113425	7.91412	6.62758	7.80069	8.1468	10.3194	10.1221	10.0462	12.6589	10.8881	8.04554	-5.03452	-1.57798	-2.41922	-1.23729	7.54758	7.17532	8.31114	8.27483	9.99049	 11.1	10.2245	12.5388	10.5091	7.87534	-5.49534	-1.99098	-1.69011	-1.05055	7.9247	7.09736	8.28504	8.14313	9.85256	11.1128	10.1728	13.5527	11.1006	8.03627	-4.71381	-1.88363	-1.90114	-0.74936	7.38839	6.62593	8.33216	8.34019	9.47362	10.0132	10.2917	12.9716	10.4158	8.16979	-5.10253	-1.61157	-1.79644	-0.356109	7.81356	7.3715	7.72124	7.65737	9.99087	10.6568	9.70802	11.9923	11.1051	7.07377	-4.72348	-2.03906	-2.06692	-1.979383e+01	7.811751e+01	5.832367e+01
