iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.4358	5.46679	1.12665	7.85372	5.604	10.2374	8.50135	10.138	8.25847	11.4761	10.5006	-1.11785	-5.73385	-5.89015	0.376889	0.151067	0.154011	0.363838	0.188312	0.189662	0.378186	0.202596	0.32768	0.227466	0.124127	0.188674	0.300167	0.092487	0.204891	0.0219673	0.0107307	-2.00314	5.33392	0.678815	7.92208	5.56666	9.80935	8.41962	9.91846	8.25533	11.9515	10.7259	-0.823491	-5.91664	-5.88883	-1.50368	5.3866	0.561439	8.0308	5.33095	10.1445	8.41631	10.1401	8.67236	11.7592	10.7764	-1.39214	-5.91068	-5.37352	-1.34244	5.15257	1.23307	8.46635	6.43013	10.0223	9.59721	9.74173	7.18751	11.5224	10.5471	-1.0229	-5.98707	-5.50989	-1.29678	5.61201	1.54335	8.41894	5.67287	9.58791	9.25792	10.1851	7.86412	11.5036	10.2836	-0.963949	-5.70209	-5.77569	-1.58891	5.58461	1.4594	8.58943	5.82691	10.1412	9.33369	10.4018	8.77037	11.552	10.9675	-0.376066	-5.41132	-5.62112	-1.73186	5.76037	1.17603	8.73237	5.46327	9.9396	8.76366	9.89902	8.4681	11.8576	10.3457	-1.17379	-4.50294	-5.55678	-1.20136	5.45944	1.18518	7.60257	5.93976	9.91657	8.98008	9.76869	8.14026	11.2323	10.0191	-1.83069	-5.44331	-5.98822	-1.15692	5.87299	1.03889	7.75285	5.15722	10.4779	8.14341	9.98235	8.52833	12.0999	10.7585	-0.651001	-5.29063	-5.65244	-3.955221e+01	-1.001992e+05	-1.002387e+05
80	-0.541933	4.61216	4.12382	7.79766	7.84526	9.86354	10.2279	9.5943	13.6457	11.5796	9.76025	-2.67882	-2.24527	-2.13962	3.57076	0.169555	0.398211	0.0833841	0.0829405	2.21389	0.147651	0.126469	0.394187	0.339653	0.122072	0.956006	0.147703	0.226683	0.0367564	0.0500895	0.133881	-0.852795	4.26428	3.44711	8.01464	7.93112	8.60232	9.60257	9.82398	13.6566	11.7002	10.5161	-5.41177	-2.24901	-2.35814	-1.37228	5.32802	4.69097	7.74901	7.84406	9.12467	10.4642	9.46877	14.6223	10.8456	9.25668	-3.92032	-2.14488	-2.02421	-2.47303	4.2564	3.77688	7.92042	7.64115	8.40891	9.97644	9.13084	12.6967	10.9081	9.64509	-3.72581	-2.15445	-1.79923	-0.0254249	4.35775	3.50943	7.74263	7.54567	9.1288	10.1456	9.87293	13.8881	11.7129	9.51477	-2.2687	-2.28222	-2.24512	-2.46339	4.71758	4.58622	7.97646	7.66637	8.25806	10.0322	9.72588	13.1833	11.708	9.24891	-4.08286	-2.23331	-1.46869	-1.55162	4.4788	4.02257	7.99667	7.58471	8.72089	10.5299	9.45336	13.944	12.0556	9.06352	-2.89777	-2.2959	-2.19298	-2.13633	5.19183	4.24031	7.75031	7.2938	8.6046	9.62388	9.67889	13.9342	10.3582	9.4456	-2.71786	-1.996	-1.98914	-0.739158	5.43145	4.66673	8.10934	7.69268	8.17605	9.77327	9.5372	12.9209	12.2224	10.1928	-2.93293	-2.35878	-2.5657	-8.791115e+01	1.728980e+01	-7.062134e+01
160	-1.91322	4.86686	4.68453	7.68243	7.59449	8.9524	10.3902	9.98124	14.3648	12.6259	9.3104	-4.89199	-2.15796	-1.76666	0.489091	0.111218	0.116958	0.09846	0.116726	0.108173	0.142012	0.402863	0.158331	0.295374	0.301028	1.58826	0.0497175	0.0732284	0.0381347	0.0649363	0.0193372	-0.864267	4.27705	3.81507	8.02372	7.75045	9.65577	10.9445	9.10878	14.4553	12.8422	10.0798	-4.84933	-2.35046	-2.06813	-1.34898	5.11584	4.92088	7.83629	7.78529	8.49233	10.6577	9.307	14.4472	12.593	8.84085	-4.9251	-2.3118	-1.66778	-2.17342	5.12585	4.667	7.84292	7.65025	8.87437	10.1963	9.05433	14.2628	12.6448	9.95775	-4.05271	-2.3168	-1.55044	-0.00449244	4.87926	3.93123	7.75031	7.33152	9.02352	11.0334	9.02244	14.3499	12.1611	8.77694	-2.43393	-2.05428	-2.13814	-1.91845	4.85393	5.04774	7.94604	7.47691	8.74005	10.7679	9.84791	14.5696	12.6185	9.86154	-5.66521	-2.16565	-1.22856	-1.67456	4.53598	4.49275	7.85365	7.75108	8.60929	10.2148	9.34155	14.3359	12.4543	9.25597	-5.17301	-2.06955	-1.57347	-2.12238	5.11005	4.59983	7.67585	7.49647	9.24166	10.0489	10.2415	14.2814	12.8749	8.90089	-3.37868	-1.91697	-1.82881	-1.00224	4.99147	4.84651	7.89143	7.87735	9.19331	9.78587	9.24307	13.9326	12.7908	9.35572	-5.95371	-2.13264	-2.01172	-5.035364e+01	7.400295e+01	2.364932e+01
240	-1.22079	4.95169	4.58081	7.61243	7.84035	9.08905	9.98304	9.952	14.9816	12.5843	9.26372	-5.60849	-2.09083	-1.91822	0.797913	0.0701637	0.725397	0.157289	0.0488609	0.0923429	0.0661836	0.141997	0.180407	0.259688	0.0836337	1.07888	0.107311	0.144932	0.0279001	0.0468665	0.010859	-1.15724	4.75807	4.36076	7.99703	7.69531	9.10694	10.2674	9.95111	14.9912	12.4668	9.37014	-5.42304	-2.4859	-2.01187	-1.20117	5.25965	4.94559	7.60621	7.80453	8.89621	10.053	9.83529	14.5664	12.943	8.99178	-5.96347	-2.06623	-1.90476	-2.15531	5.27665	4.92562	7.74178	7.62617	9.02314	10.3912	10.4985	14.5825	12.7297	9.50543	-5.71989	-2.23524	-1.37103	-0.00956668	4.83792	3.95478	7.734	7.49213	8.26336	9.71866	9.72437	14.6252	12.5325	9.1346	-2.15835	-2.21711	-2.158	-2.10169	5.4139	5.24659	7.86383	7.66208	8.58363	10.0104	9.99218	14.9345	12.7677	9.42406	-5.55181	-1.96414	-1.52098	-1.5674	5.30926	4.99702	7.88643	7.75393	8.58716	9.9939	9.96578	 14.8	11.7153	9.6328	-5.08875	-1.92192	-1.66239	-1.87757	5.38372	4.83989	7.79973	7.50874	9.51766	9.94164	10.3817	14.3004	12.2728	9.94409	-3.37709	-1.8473	-1.77757	-1.33846	5.21834	4.91093	7.70884	7.71884	9.28842	9.96472	9.70724	14.5542	11.7695	9.02656	-5.21059	-2.03352	-2.10386	-4.225098e+01	9.342406e+01	5.117308e+01
320	-2.11918	5.19323	5.01746	7.84644	7.58403	9.342	10.07	10.1946	14.5598	12.9242	9.11235	-4.22716	-2.20004	-1.88643	0.59908	0.168243	0.118986	0.0868535	0.117885	0.168871	0.230596	0.189041	0.0949095	0.0909829	0.127428	0.287224	0.110488	0.106337	0.036086	0.0460099	0.0153015	-0.95143	4.99505	4.45258	7.95941	7.75315	8.53046	9.83603	10.0057	14.6461	12.4014	9.12849	-3.84029	-2.36841	-2.15787	-2.32059	5.03124	4.78505	7.75377	7.76359	9.16085	10.3911	10.3692	14.9124	12.8061	9.28453	-4.82959	-2.25588	-1.84837	-2.36081	5.34058	4.92402	7.86048	7.71265	8.70953	10.2981	10.2649	14.73	12.9354	9.13331	-4.78193	-2.05292	-1.48523	-0.00484616	5.14706	4.42008	7.93123	7.98335	8.77927	9.70715	10.1855	13.9656	12.8522	8.69504	-3.0121	-2.05606	-2.0328	-2.19444	5.22395	5.12378	7.96426	7.85262	9.40066	10.6935	10.434	14.4618	12.9069	9.07386	-4.71448	-2.0987	-1.57792	-2.00169	5.62267	5.17274	7.66644	 7.34	8.92367	10.7118	10.0638	14.7053	12.7574	9.11495	-4.479	-2.10359	-1.63587	-2.0172	5.37529	4.86492	7.86892	7.60668	9.15599	9.76643	10.4057	14.751	12.7951	9.05519	-4.143	-1.79709	-1.76306	-1.13437	5.36724	4.88799	7.82246	7.57913	8.88666	10.1371	10.4272	14.6984	12.0064	9.96265	-3.79565	-2.13473	-2.0618	-2.447297e+01	8.400665e+01	5.953368e+01
400	-1.48264	5.19414	4.79294	7.85358	7.31502	9.83816	10.6549	9.86878	14.2616	11.9646	10.4249	-4.74469	-1.96691	-1.87533	0.394461	0.349486	0.0499837	0.131126	0.272124	0.205803	0.08511	0.581272	0.10894	0.0521251	0.121802	0.0953776	0.133879	0.0900324	0.051457	0.0352643	0.0130803	-0.763415	4.9776	4.75107	7.68298	7.4935	9.45312	10.8549	9.89704	14.1571	11.949	10.8259	-4.85125	-2.4099	-1.96528	-2.31239	5.36171	4.94428	7.66761	7.79541	9.37627	10.1687	9.15219	14.7133	11.4786	10.721	-4.50419	-2.03352	-2.04416	-1.93156	5.40806	5.02925	8.39838	8.40883	9.54302	11.106	9.63145	14.7561	12.1293	10.0362	-5.30239	-1.95042	-1.35942	-0.00854105	5.55011	4.673	7.93766	7.93498	9.97418	10.8921	9.71118	14.6087	12.1695	10.6849	-4.60024	-1.96893	-1.9482	-2.04892	5.21224	5.15263	7.84925	7.58676	9.07629	11.4768	9.65069	14.2609	11.9033	10.1138	-5.21862	-2.30119	-1.38557	-1.595	5.03479	4.80697	8.04669	7.93818	9.62437	10.701	9.65085	13.8661	11.7348	10.4287	-4.45281	-1.9351	-1.64969	-1.57623	5.37124	4.95168	7.93554	7.64351	10.0668	10.6412	10.3535	14.4048	11.8693	10.6009	-4.59236	-1.85726	-1.64648	-1.14214	5.24481	4.83479	8.15708	8.10283	9.75008	10.2421	9.1159	14.4712	11.6403	9.80771	-4.4807	-2.05065	-2.08179	-3.530114e+01	7.951854e+01	4.421740e+01
480	-1.97335	5.78066	4.96445	7.78296	7.87874	10.1659	11.1018	10.2756	14.6344	11.6001	9.9636	-5.88555	-2.00375	-1.78897	6.21056	0.122699	0.090237	0.0533238	0.0475751	0.129363	0.095948	0.119302	0.13816	0.0874126	0.0710029	0.171989	0.0767566	0.121615	0.0327395	0.0419567	0.0146252	-1.02988	5.48181	5.05372	7.72833	7.44757	9.91046	11.1267	10.0623	14.3605	11.9042	10.1296	-5.88763	-2.17081	-1.93233	-1.88351	5.29833	5.0115	7.90855	7.89249	9.70391	11.0511	10.068	14.4533	11.7022	10.0506	-5.71979	-2.12314	-1.77599	-2.39323	5.78464	5.22619	7.84633	7.7711	9.4721	11.0231	10.0338	14.2531	11.6754	9.3636	-5.94817	-1.88034	-1.50234	-0.0210912	5.70321	4.61938	7.77004	8.06365	9.82498	10.4472	9.98534	14.5069	11.6722	9.655	-5.70393	-1.81398	-2.20746	-2.37779	5.64946	5.43285	7.9823	7.89994	10.0829	11.5432	10.3072	14.6939	11.3488	9.82383	-5.5125	-1.89739	-1.55196	-1.68207	5.30176	5.00844	8.14299	7.87299	10.0164	11.4017	10.0264	14.5398	12.1421	9.75589	-5.41966	-2.11792	-1.55505	-1.48724	5.66282	4.96963	7.62284	7.6349	10.3062	11.023	9.57437	14.9864	12.1214	9.68513	-5.52292	-1.58341	-1.88589	-0.827172	5.44138	5.08938	8.06156	7.93458	10.2795	11.006	10.073	14.8508	12.0144	9.7149	-5.43317	-2.12626	-1.90122	-1.049750e+01	9.300673e+01	8.250923e+01
560	-1.2247	5.75935	4.9487	7.77342	8.0317	10.185	11.2784	9.83983	14.7494	10.5052	10.0732	-5.43717	-1.99803	-1.85616	0.819889	0.110693	0.11792	0.114466	0.0847135	0.111868	0.176403	0.194436	0.130556	0.116538	0.064272	0.169697	0.0714901	0.0988854	0.0319693	0.0451031	0.0130631	-0.736075	5.3712	5.01645	7.78227	7.69139	10.1641	11.499	9.60952	14.7396	10.6534	10.1584	-5.74913	-2.27487	-2.03828	-1.87232	5.39244	4.9588	7.75001	7.74896	9.95272	10.8529	9.87941	14.9383	10.265	10.2256	-5.4265	-2.18974	-1.84809	-2.1831	5.88282	5.24205	7.67998	7.61084	9.54632	11.2029	10.1174	14.6979	10.2904	10.2454	-5.03739	-2.09677	-1.5509	-0.0348344	5.38676	4.38353	7.85429	8.07048	10.4046	11.0736	9.73318	14.24	10.8208	10.4096	-5.50794	-1.83372	-2.16479	-2.06948	5.73847	5.44769	7.97134	7.77437	10.4815	11.8779	9.78386	14.7436	10.6043	10.0323	-5.23375	-2.2167	-1.4882	-1.69408	5.38003	4.99717	7.83881	7.61316	10.1194	12.0176	9.67199	14.5442	10.4702	10.076	-4.93695	-1.81977	-1.66562	-1.84734	5.30718	4.84362	7.71689	7.60762	10.1356	10.5608	9.50861	14.8834	10.4298	9.87442	-5.09593	-1.70703	-1.72197	-0.709476	5.09115	4.9167	8.04483	7.84091	10.0074	11.1661	9.90946	14.6825	10.6315	9.77427	-5.73584	-2.23535	-1.85532	-1.013754e+01	9.478315e+01	8.464561e+01
640	-1.70842	5.74824	5.05139	7.66714	7.71819	10.0462	11.0825	10.1082	14.3293	10.4485	9.63748	-5.75611	-2.10053	-1.93718	1.80776	0.0743437	0.092167	0.142458	0.0616965	0.0636507	0.0981678	1.01962	0.0972766	0.76343	0.0908003	0.0826869	0.0453054	0.0877228	0.0370688	0.0524105	0.0141112	-0.850133	5.56992	5.16374	8.19547	8.01126	10.1093	11.0752	10.0623	14.5154	8.95836	9.17432	-5.6967	-2.27398	-2.0896	-1.34836	5.61408	5.25406	7.76285	7.80442	9.96624	11.3745	9.63718	14.6312	10.6449	9.28617	-5.7062	-1.94675	-1.8502	-2.28623	5.99738	5.27983	7.65875	7.47052	9.82861	11.2252	8.99847	14.0154	11.1378	9.83088	-5.6559	-2.06152	-1.5283	-0.0292668	5.75518	4.73375	7.85874	8.06928	10.1113	10.8633	9.90533	14.2678	10.5769	9.80169	-5.67641	-1.92346	-2.15425	-2.38776	5.74315	5.41394	7.94245	7.8451	9.56654	11.1089	10.387	14.18	10.4633	9.62004	-5.81259	-2.07073	-1.52832	-2.1402	5.32442	4.88132	7.65294	7.6246	10.0458	11.0543	9.86083	14.0503	9.73118	9.57903	-5.67958	-2.02813	-1.79276	-1.35101	5.51298	5.11369	7.82739	7.60527	9.83434	11.7528	10.2877	14.2154	10.0837	9.47584	-5.79975	-1.82377	-1.61926	-2.43247	5.8529	5.15699	8.23011	8.0643	10.2412	10.5141	9.36422	13.6111	10.0734	9.66179	-4.90995	-1.91091	-2.05402	-2.243797e+01	8.224901e+01	5.981104e+01
720	-1.42633	5.79599	5.23591	7.63374	7.93625	9.63946	10.8274	9.88461	14.8526	9.48305	10.4842	-5.88753	-1.9228	-1.82247	1.5708	0.174939	0.0564038	0.206196	0.0831346	0.138448	0.149466	0.690124	0.0878088	0.134641	0.0682281	0.154645	0.0529217	0.0957758	0.0283986	0.0479917	0.0132859	-0.837185	5.92897	5.58405	8.38098	8.1351	9.49517	10.8253	10.3479	14.5802	9.59141	10.2214	-5.83804	-2.34648	-2.02767	-2.27283	5.66076	5.1308	7.67954	7.86436	9.77315	10.7017	9.41001	14.8769	9.22719	10.1371	-5.49089	-2.01997	-2.02329	-2.38055	6.07644	5.43192	8.08036	7.8936	9.68035	10.8825	9.85105	14.6733	10.331	10.127	-5.71807	-2.18068	-1.35203	-0.0654279	5.72787	4.72556	7.95948	8.17475	10.0067	10.5449	9.32251	14.721	9.59872	10.1763	-5.88424	-1.64525	-2.0908	-2.30747	6.01786	5.49739	7.6611	7.72986	9.3928	10.7907	9.27979	14.3754	9.75999	10.7734	-5.84233	-1.73441	-1.81461	-1.17131	5.71413	5.2523	7.62399	7.55265	8.97408	11.0747	10.3957	14.4929	9.57621	10.4883	-5.57403	-1.88982	-1.65782	-1.77918	5.66324	5.26039	7.90502	7.8212	9.79564	10.883	9.92391	14.7038	9.50008	10.2758	-5.9893	-1.77405	-1.63453	-1.14336	5.92545	5.02182	7.93347	8.18086	9.72651	10.1533	10.4166	14.9702	9.51433	10.6063	-5.65643	-2.03204	-2.33956	-1.363267e+01	8.858812e+01	7.495545e+01
