iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_VmaxC(1)	M_lnVmax_AG(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_VmaxC(1)	Var_lnVmax_AG(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_VmaxC(1.1)	lnVmax_AG(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_VmaxC(1.2)	lnVmax_AG(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_VmaxC(1.3)	lnVmax_AG(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_VmaxC(1.4)	lnVmax_AG(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_VmaxC(1.5)	lnVmax_AG(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_VmaxC(1.6)	lnVmax_AG(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_VmaxC(1.7)	lnVmax_AG(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_VmaxC(1.8)	lnVmax_AG(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.12118	7.0845	3.40867	4.50219	11.4089	11.8968	7.65026	7.96902	-0.963453	-0.758452	0.702597	0.211563	0.126968	0.280769	0.23162	0.103977	0.0788326	0.256722	0.0990155	0.127266	0.189993	0.102408	0.459766	0.0977289	0.200453	-1.19506	6.96797	3.32852	4.48198	11.3145	11.6984	6.70195	7.4994	-1.11909	-0.390834	0.71656	-0.547441	7.20843	3.30398	4.38341	11.7536	11.9205	6.98294	8.07739	-1.28659	-0.46448	0.34139	-1.08478	6.73743	3.25389	4.24509	11.388	12.4804	7.47199	8.10033	-0.672268	-0.521552	0.479549	-0.832541	6.81082	2.80402	4.28395	11.4017	11.849	8.59526	7.6141	-0.967106	-1.11476	0.514967	-1.13202	6.65468	3.84073	3.5828	11.363	12.2098	6.69657	7.81101	-0.429217	-0.28688	0.755085	-1.36616	6.9666	3.75552	4.24071	11.1797	11.9018	7.2815	7.68901	-1.32905	-0.510643	0.836245	-0.855231	6.77333	3.48124	4.5141	11.3986	   12	8.21881	8.25972	-0.863145	-0.374594	0.863923	-1.37116	6.62792	3.51728	4.64745	10.9702	11.8332	7.81774	8.06115	-0.804988	-0.66743	0.490022	-2.784638e+01	-2.267250e+04	-2.270035e+04
160	-1.02696	5.72022	5.00815	8.73183	10.8259	12.6387	8.60108	7.73433	-4.10342	-2.12288	-1.7882	0.684234	0.115738	0.050013	0.0825508	0.0848891	0.14509	0.60689	0.403431	0.382243	0.156998	0.0976847	0.0999135	0.0473293	0.0263639	-0.512114	5.42271	4.98769	8.54492	10.5699	12.4993	7.89203	7.29172	-4.55138	-2.49229	-2.09312	-1.65252	5.73222	5.28977	8.83494	10.8244	12.6025	7.5892	7.4313	-4.35764	-2.16418	-1.75849	-1.69722	5.59215	4.96201	8.66904	10.6261	13.1381	8.99039	8.01178	-3.89304	-1.98516	-1.67845	-0.494268	6.16735	4.81988	8.30496	10.3091	11.6256	8.41104	8.12713	-2.76277	-2.12814	-2.2749	-1.68633	5.73696	5.41785	8.57938	11.111	12.9515	8.23359	8.51207	-5.40921	-2.00749	-1.48799	-1.66054	5.52295	5.23916	8.39441	10.8698	12.4616	9.72918	7.7787	-3.69437	-2.06417	-1.52973	-1.90678	5.83952	5.25056	8.39676	10.4684	12.5295	8.42624	7.31348	-3.64547	-1.79686	-1.73204	-0.487576	5.60363	5.31131	8.70417	10.9061	13.4255	8.98125	7.46453	-5.31127	-2.12039	-1.9613	-4.574282e+01	3.731122e+01	-8.431600e+00
320	-0.861712	5.75241	5.3204	8.72529	11.1548	12.2959	10.3425	8.35232	-5.90401	-1.84331	-1.80084	0.370711	0.151308	0.128826	0.0669956	0.364938	0.327355	0.0889543	0.171462	0.14714	0.0516634	0.115029	0.0577551	0.0517384	0.0194672	-0.822437	5.3039	4.8651	8.59659	10.7107	11.3745	10.0712	8.33948	-5.83356	-2.2108	-2.04944	-1.04064	6.07532	5.56496	8.8528	10.6995	12.9472	9.99781	7.91551	-5.62401	-2.0019	-1.96346	-1.22043	5.97247	5.29225	8.71828	11.0712	12.7523	10.1825	8.04766	-5.867	-1.94633	-1.62994	-0.457191	5.83046	4.65827	8.84387	9.74051	11.7671	10.0951	8.20105	-5.4103	-1.66526	-2.24154	-1.22658	5.71324	5.4346	8.59869	11.0611	13.0149	10.8258	8.02965	-5.81941	-2.03777	-1.55786	-1.45296	6.0365	5.4446	8.63563	10.782	12.8413	10.1187	7.89892	-5.28547	-1.756	-1.80689	-0.68227	5.29706	4.80489	8.50653	11.2918	12.6001	10.5388	8.22683	-5.96636	-1.61761	-1.71021	-0.607373	5.96203	5.11196	8.67863	10.4395	12.4897	10.7234	7.98489	-5.48201	-1.94361	-2.28418	-2.283436e+01	5.012676e+01	2.729240e+01
480	-1.11012	5.76951	5.07063	8.64707	10.6946	13.493	11.4327	8.55985	-5.43627	-1.87893	-1.86017	0.131693	0.0664319	0.0304886	0.113427	0.565518	0.802361	0.418104	0.0666396	0.099219	0.0583036	0.0376134	0.0883841	0.0304492	0.0180224	-0.681285	5.89683	5.33939	8.74804	10.5093	12.5163	11.2617	8.44314	-5.78749	-2.19744	-2.20328	-1.20466	5.84192	5.15476	8.91193	10.5236	13.9283	10.5492	8.86811	-5.28515	-1.91833	-2.12936	-1.23491	5.69883	5.04735	8.71664	11.1448	13.6101	11.5487	8.31702	-5.16196	-2.1637	-1.67712	-0.456736	5.92761	4.98983	9.01439	9.17989	11.0972	11.4675	8.29739	-5.52127	-1.766	-2.13277	-1.05808	5.77081	5.39499	8.56723	11.3227	14.895	11.3933	8.67936	-5.29696	-1.96028	-1.73257	-1.16365	5.91729	5.33752	8.51255	10.8126	14.4802	12.2267	8.57073	-5.50478	-1.99692	-1.75905	-1.13997	5.53906	5.10585	8.45986	10.3074	13.5003	10.7169	8.85426	-4.72044	-1.79866	-1.59214	-0.547078	5.80125	5.20207	8.58183	10.4438	12.4356	10.4032	8.26153	-5.47372	-1.94361	-2.12487	-3.370043e+01	6.423574e+01	3.053530e+01
640	-0.6332	5.78935	5.11582	8.33314	10.515	12.6303	11.9517	10.456	-5.42195	-1.95124	-2.05244	0.137589	0.190979	0.104155	0.0503105	0.0799432	0.768316	0.212369	0.559504	0.150138	0.0476806	0.0930212	0.0900567	0.0431206	0.0146246	-0.514537	5.39371	5.00698	8.66132	10.5629	12.6718	12.4379	9.42886	-4.69259	-2.21824	-2.1005	-1.05489	5.38508	4.95132	8.84012	10.5185	13.6831	12.288	9.238	-5.06489	-2.01848	-1.93684	-1.14789	5.9442	5.3329	8.60944	10.9272	14.6376	12.3437	10.6235	-5.25292	-2.21688	-1.61951	-0.461349	5.64695	4.44383	8.82048	9.64734	11.8161	11.9698	10.282	-5.104	-1.69843	-2.27599	-1.16733	6.00445	5.47529	8.69205	10.8055	13.0504	11.3898	9.97425	-5.6636	-1.9607	-1.78125	-1.25368	5.85437	5.3937	8.62881	10.3321	12.5381	11.8981	10.3883	-5.48054	-1.96132	-1.70856	-0.613125	5.72376	5.17586	8.51856	10.7019	13.9115	11.6787	10.8429	-5.3183	-1.75202	-1.64802	-0.827294	6.09297	5.05463	8.46775	10.3553	12.6829	12.0549	10.6722	-5.24745	-1.96187	-2.15941	-4.097143e+01	5.955433e+01	1.858291e+01
800	-0.693934	5.94112	5.15206	8.72846	10.7305	13.4034	10.9262	10.7149	-5.42611	-1.84737	-2.13156	0.116421	0.124889	0.0657374	0.043072	0.242788	0.28012	0.160743	0.0719962	0.137472	0.0414788	0.115515	0.0684323	0.0444277	0.0237684	-0.568509	5.49183	5.03746	8.68159	10.5923	14.1142	10.268	10.7543	-5.88193	-2.1841	-2.24996	-0.984596	5.78703	5.19326	8.84215	10.7846	13.1226	10.9007	10.1311	-5.08446	-2.04667	-1.98904	-1.2581	5.98676	5.47096	8.70657	11.1124	12.8099	10.5816	10.5962	-5.05539	-2.02546	-1.52928	-0.460032	6.1006	4.88113	8.89229	9.41643	11.4209	10.5566	10.3609	-4.96379	-1.67448	-2.20309	-0.920675	5.73815	5.42354	8.7213	11.3587	12.9956	10.9212	10.5654	-5.43751	-2.09868	-1.62263	-1.24789	6.409	5.7017	8.51994	11.2244	14.1025	11.5909	10.9022	-5.77873	-1.9048	-1.80527	-0.811067	5.94034	5.23187	8.74725	10.1247	13.1125	11.2494	10.5471	-5.98137	-1.67957	-1.87838	-0.665772	5.92915	4.96118	8.64467	10.6474	12.9705	10.8635	10.8591	-5.22597	-2.01448	-2.27633	-2.725532e+01	6.391100e+01	3.665568e+01
960	-1.36303	6.22363	5.44025	8.58996	10.4134	13.2836	10.7163	10.899	-5.82562	-2.01933	-2.01561	0.201767	0.0947197	0.306314	0.084154	0.179709	0.675833	0.175662	0.128933	0.798849	0.0904259	0.066237	0.0766079	0.0340182	0.0188497	-0.864581	6.06894	5.51928	8.64919	10.255	13.0418	11.0429	10.7479	-5.2828	-2.22329	-2.15292	-1.15719	5.99876	5.5253	8.87592	10.4932	14.143	11.2407	11.5347	-4.66909	-2.07351	-1.98013	-1.39142	6.14967	5.48125	8.63863	10.9718	12.7743	10.9775	11.1225	-5.69227	-2.15361	-1.57894	-0.462237	6.23946	5.23933	8.85961	9.49237	10.9547	11.1683	11.3091	-5.82078	-1.76034	-2.14854	-1.76664	6.31337	5.64912	8.70571	10.6933	13.3137	10.0636	10.7528	-5.28845	-1.81975	-1.8603	-0.850136	6.46926	5.77656	8.80001	10.9051	13.7793	10.2329	11.326	-4.8936	-1.68842	-1.91938	-1.49589	6.19309	5.3593	8.51658	10.3802	12.5951	10.1886	11.2529	-5.28766	-1.6876	-1.82134	-0.561629	6.09998	5.12161	8.66595	10.3521	13.3168	11.0255	10.7603	-5.00353	-1.98087	-2.28596	-3.749596e+01	6.965343e+01	3.215747e+01
1120	-0.982273	6.52258	5.65084	8.6989	10.3723	12.3089	12.0781	9.75939	-5.09334	-1.82767	-1.96328	0.154812	0.132271	0.158086	0.0955272	0.161892	0.314221	0.179124	0.0957728	0.118154	0.0552793	0.120824	0.048647	0.0355013	0.0142871	-0.503519	6.0814	5.65252	8.59337	10.6025	12.4558	12.2766	10.4166	-5.63778	-2.29202	-2.10778	-1.1698	5.75831	5.32246	8.86517	10.4418	12.3978	12.5709	9.57713	-4.69087	-2.00758	-2.00037	-1.20269	6.51521	5.76614	8.80329	10.7606	12.7361	11.1996	10.1048	-5.09328	-1.88634	-1.6549	-0.511471	6.99983	5.59225	8.93234	9.37072	11.8373	11.36	9.99305	-4.83957	-1.6388	-2.48465	-1.22078	6.21803	5.70673	8.66493	10.9476	12.6489	12.3337	10.1597	-4.63325	-2.12371	-1.76722	-1.47982	6.3844	5.61161	8.58234	10.5814	13.6973	12.0937	9.94158	-5.37842	-1.83761	-1.84614	-1.09438	6.17073	5.50867	8.55889	10.5476	12.7423	12.2727	9.50052	-5.41449	-1.80429	-1.76618	-0.69554	6.43691	5.32669	8.61216	10.3446	12.038	12.9012	9.52074	-5.36994	-1.94069	-2.35165	-2.727518e+01	6.705305e+01	3.977787e+01
1280	-0.944759	6.50873	5.58049	8.81756	10.3822	12.3385	12.4783	9.27951	-5.5575	-1.92424	-2.01226	0.415342	0.106834	0.0687679	0.0499459	0.266745	0.119529	0.102281	0.231622	0.158402	0.0603873	0.145058	0.0801103	0.0306164	0.0171467	-0.629282	6.21423	5.82709	8.67681	10.6244	12.1999	12.0284	9.13223	-5.6546	-2.16427	-2.17878	-1.60698	6.5459	5.81722	8.7535	10.4434	12.3938	12.558	8.9467	-5.14393	-1.85356	-2.0391	-1.53759	6.15238	5.57496	8.7304	10.802	12.2813	12.3997	9.44212	-5.35287	-2.13111	-1.59974	-0.463202	6.47826	5.08652	8.927	9.30772	11.6765	12.1635	9.93101	-4.89535	-1.71083	-2.31586	-1.50785	6.27565	5.6848	8.78757	10.699	13.0015	12.8845	9.45917	-5.47685	-1.83964	-1.89632	-1.65435	6.20079	5.5214	8.71817	10.5499	12.2911	11.9721	9.51751	-5.57052	-1.66489	-1.97457	-1.05694	6.14904	5.48514	8.68401	10.2107	11.6659	12.2397	9.11984	-5.87194	-1.68752	-1.79826	-0.496827	6.86925	5.54843	8.63939	10.3918	12.1733	12.4615	9.45615	-5.08096	-2.0029	-2.37408	-1.666640e+01	6.267303e+01	4.600663e+01
1440	-0.922099	6.40343	5.71704	8.66179	10.6145	12.6978	11.4973	10.7331	-5.37116	-2.01656	-1.85323	0.176887	0.0873399	0.111353	0.0873472	0.602155	0.2463	0.0951195	0.353225	0.188516	0.0577873	0.106555	0.0702105	0.0632016	0.0233859	-0.632735	6.25182	5.94182	8.48053	10.5911	11.7629	11.6148	10.3411	-5.4169	-2.19122	-1.96013	-0.983722	6.53137	5.85588	8.68705	11.5736	12.9283	11.9205	10.0661	-5.55679	-2.11417	-1.93133	-1.40053	6.47753	5.82039	8.41719	11.1252	12.7522	11.6631	10.6834	-5.40153	-1.91239	-1.48207	-0.488907	6.56516	5.33122	8.91219	9.66912	11.3244	11.441	11.2176	-5.27354	-1.78514	-2.2932	-1.51356	6.58774	5.90427	8.60579	10.929	13.1153	11.5887	10.3597	-5.1731	-1.91525	-1.81567	-1.41054	6.26416	5.67255	8.49546	10.921	13.2637	10.8435	10.749	-5.34472	-1.91611	-1.76801	-1.35306	6.18602	5.53766	8.46022	10.7386	13.4508	11.2451	11.3153	-5.39982	-1.79106	-1.69243	-0.482247	6.33791	5.28658	8.69402	10.6282	12.7948	11.6911	11.0764	-5.33276	-2.05916	-2.28679	-2.568594e+01	5.310938e+01	2.742344e+01
