iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.44452	5.43303	12.494	8.11371	4.7153	9.74166	9.72311	10.1403	10.9552	4.91804	3.46426	-0.745261	-1.59536	-2.28229	0.347948	0.151067	0.098066	0.212545	0.10789	0.125644	0.124127	0.13662	0.063906	0.222604	0.121785	0.107214	0.155972	0.131875	0.0201238	0.0546194	0.0201499	-1.20881	5.10913	12.1783	8.14733	4.91006	9.78731	9.98858	9.97823	10.8299	4.71936	3.26434	-0.80743	-2.16371	-2.29519	-0.665905	5.10221	12.9828	8.4928	4.77116	9.75605	9.88092	10.1541	11.0215	5.54926	3.25107	-0.962303	-1.21192	-2.27524	-1.69466	5.43302	12.236	8.69436	4.48596	10.1661	9.8153	10.1761	11.0711	5.14276	3.11012	-0.520979	-1.32182	-3.00623	-1.54978	5.95906	12.6948	8.35647	5.00351	10.1667	9.62531	10.1333	10.8182	4.97118	3.5095	-0.53447	-1.82382	-2.79317	-0.345237	5.21094	12.2211	7.89341	4.40042	9.66858	9.04897	9.93537	11.1986	4.17353	3.31912	-0.598339	-2.00748	-2.39544	-1.7338	5.25647	12.0969	8.42898	4.37805	10.3176	9.98687	10.1744	11.0105	5.06958	4.42133	-0.99896	-2.01115	-2.18492	-1.78624	5.38673	12.5134	7.63427	4.58003	9.58895	10.0004	9.90652	10.9099	4.85015	3.32395	-1.27105	-1.57483	-2.37136	-2.02218	5.60158	12.194	8.19333	4.11252	9.7691	9.6957	9.76995	10.6228	4.91525	3.21195	-1.08218	-1.63814	-1.72492	-2.183760e+01	-3.338624e+04	-3.340807e+04
80	-1.94682	6.11532	12.7537	7.62515	7.37386	10.0431	12.1237	10.1109	13.1607	8.60576	4.24795	-2.82217	-2.2567	-2.08436	0.973382	0.811129	1.81109	0.0495154	0.202755	0.105512	0.219103	0.0890486	0.0379267	0.230596	0.640094	0.125006	0.113086	0.0976985	0.069398	0.0482679	0.482415	-0.788312	4.95965	13.6335	7.65543	7.33666	10.2665	11.8394	10.2443	12.7244	8.37517	3.4131	-3.32749	-2.35464	-2.5297	-1.40063	5.13223	11.3694	7.69016	7.53288	9.9932	12.1144	10.0773	13.1775	8.72321	5.21923	-3.18369	-2.20203	-1.74869	-2.13413	5.52903	13.9058	7.73265	7.34635	9.73276	11.898	10.4244	13.2517	9.07807	5.84327	-3.75431	-2.66005	-1.87795	-0.0102721	6.4139	13.4471	7.71236	7.39874	10.147	11.8088	10.1249	13.1978	7.54691	4.78737	-2.46255	-2.22061	-2.07139	-1.63718	5.76146	12.4562	7.62677	7.19565	9.54192	12.8126	9.64889	13.0834	8.3462	5.5904	-2.84814	-2.23309	-2.03177	-1.87532	6.58344	13.651	7.66851	7.15891	10.102	12.0887	10.099	12.9466	8.83372	5.39084	-2.84401	-2.19798	-2.19383	-1.83565	6.78556	11.5745	7.61496	6.8891	10.4139	12.1526	10.0124	12.9858	8.76484	5.29241	-2.58461	-2.29297	-1.76179	-0.862584	7.44504	13.4505	7.71175	7.20967	9.94929	11.4349	10.2503	13.2413	9.68381	6.40576	-2.98567	-2.36079	-1.92226	-6.627220e+01	-9.223152e+01	-1.585037e+02
160	-1.5871	5.19792	13.0183	7.70695	7.5699	10.0166	11.7796	9.59434	13.4633	9.22789	5.71968	-3.66417	-2.39131	-1.44648	0.297203	0.213137	0.160124	0.0785694	0.0592924	0.108048	0.173913	0.128602	0.220933	0.506605	0.500027	0.0625701	0.0908698	0.146198	0.098003	0.0532799	0.483633	-0.823973	5.03476	12.7846	7.91808	7.3917	10.1994	11.5588	9.73902	13.5481	9.21782	4.0266	-3.52139	-2.66171	-1.9522	-1.19189	5.27823	13.0118	7.66125	7.54365	10.0237	11.6648	10.1075	 13.4	10.2947	5.37215	-3.65943	-2.1495	-1.29142	-2.04996	5.07788	13.3166	7.63842	7.4011	9.87409	11.7448	9.69724	13.4304	8.69756	5.75139	-3.62775	-2.35157	-1.70773	-0.0020282	6.35021	13.2691	7.80319	7.42035	10.0592	11.3576	9.73228	13.9382	8.77526	5.44739	-3.66329	-2.12819	-1.51246	-1.42229	4.87639	13.6313	8.27995	7.8358	9.70548	12.301	10.3604	13.482	9.52964	5.66333	-3.70387	-2.18156	-1.68008	-1.67294	4.73784	12.5257	7.7246	7.19937	10.1421	12.0006	9.9389	12.881	9.45165	5.81022	-3.73132	-2.22621	-1.59314	-1.37306	6.21091	13.1683	7.83097	7.5587	10.4937	11.385	9.38541	13.7827	9.30554	5.59941	-3.93537	-1.79991	-1.68664	-0.618067	5.52937	12.3289	7.61125	7.36632	10.2337	11.5324	9.19118	13.6124	10.5522	6.91462	-4.08388	-2.34448	-1.75774	-4.792463e+01	-8.974508e+01	-1.376697e+02
240	-0.712496	5.25276	14.1206	7.68196	7.2259	9.80328	12.0797	10.3281	14.9443	9.56543	5.27021	-5.21911	-2.26012	-1.20183	0.252682	0.5664	0.379863	0.0459792	0.157077	0.299423	0.0898746	0.102519	0.456068	0.30508	0.411115	0.376671	0.153657	0.241459	0.103208	0.0309119	0.367925	-0.740888	4.72787	14.1523	7.66734	7.30985	10.5118	11.7389	10.1335	14.6471	9.04099	4.02772	-5.40772	-2.43912	-1.67534	-0.667592	5.10113	13.6748	7.68009	7.76199	9.98065	12.0404	10.2573	14.0933	9.11358	5.39408	-5.66012	-2.11507	-1.40266	-1.49558	5.55493	14.2542	7.6544	7.47427	9.82309	12.0216	10.0952	14.7923	10.0888	5.76621	-5.59187	-2.09409	-1.8979	-0.0290946	5.81223	14.1825	7.66816	7.24412	10.0371	12.2238	10.2856	14.5356	9.79496	5.84469	-5.05108	-2.35763	-1.1737	-1.42118	5.56714	14.2274	7.87474	7.79604	9.7326	12.2406	10.2407	13.7732	10.2359	5.74287	-4.50085	-1.964	-1.40244	-1.04567	6.30118	13.9669	7.7092	7.62047	9.71743	11.9963	10.4097	14.9894	9.35856	5.68022	-5.44302	-1.81298	-1.87241	-1.06339	5.7329	13.9898	7.61039	7.10048	10.0175	11.9638	10.1905	14.2196	8.78442	6.08097	-4.8033	-1.96299	-1.25158	-0.879972	6.12048	13.8719	7.64734	7.28345	9.91995	11.8896	10.4609	14.6049	9.77166	7.06598	-4.8108	-2.19844	-1.68908	-4.941800e+01	-7.737248e+01	-1.267905e+02
320	-1.45745	5.96977	13.9646	7.64889	7.51969	10.4209	11.4374	10.1092	14.3839	10.0623	5.65324	-5.29766	-2.23764	-1.58571	0.325277	0.114773	0.155289	0.0811865	0.0356386	0.25067	0.116568	0.553127	0.123573	0.105946	0.360773	0.169889	0.146021	0.132803	0.0694853	0.0290702	0.42754	-0.59962	6.07603	13.9082	7.84401	7.59737	10.4238	11.7915	9.95679	14.8319	9.77551	3.98323	-5.57606	-2.27044	-1.80135	-1.4483	5.21461	14.2333	7.74628	7.61783	10.166	11.9602	10.3226	14.2519	10.198	5.54454	-5.04077	-2.22149	-1.51233	-2.0016	5.69928	13.2563	7.70669	7.64352	9.92192	11.6685	9.75935	13.4053	9.61909	5.44527	-5.70966	-1.75701	-2.12516	-0.0154157	5.76524	14.3457	7.97812	7.69841	9.74649	11.1568	10.3747	14.319	9.56408	5.77904	-5.21778	-2.23602	-1.41361	-1.27652	5.97687	14.4372	7.72378	7.56099	9.46516	11.9731	10.0922	14.21	10.4113	5.86064	-4.68394	-2.02849	-1.75987	-1.96897	6.59987	14.179	8.12519	7.84037	10.0325	11.3216	10.1782	13.8353	9.95273	5.84481	-5.83504	-1.99653	-1.60563	-1.67515	5.55516	13.322	7.90741	7.73147	9.84819	10.6444	9.54122	14.6616	9.91378	5.51809	-5.64984	-1.70994	-1.57964	-0.947573	6.49292	14.1823	7.71229	7.61719	9.95385	10.9811	10.1542	14.0626	9.55571	7.04467	-5.15001	-2.24412	-1.57781	-4.805503e+01	-6.858627e+01	-1.166413e+02
400	-1.12339	6.22682	13.781	7.63149	7.67525	9.94543	11.8727	10.095	14.2133	11.7042	5.16718	-5.74339	-1.96937	-1.52455	0.299136	0.104523	0.0825222	0.0385336	0.0365308	0.183493	0.132639	1.32941	0.329708	0.637936	0.704154	0.204322	0.120088	0.288233	0.0787439	0.0295819	0.46023	-0.474588	6.67359	14.1434	7.83422	7.79032	10.0312	11.2473	9.71819	13.1766	12.7202	3.57007	-5.86833	-2.06991	-1.97179	-0.869806	5.66874	13.5601	7.68003	7.75838	9.93149	12.098	9.01847	14.9877	12.5503	5.35328	-5.78677	-1.99309	-1.53308	-1.62153	6.2524	14.1265	7.71505	7.68003	10.0987	11.7367	10.3283	14.5741	12.2837	5.02321	-5.14904	-1.76272	-1.95648	-0.127999	6.76218	13.5065	7.88019	7.54742	10.1264	11.5519	9.7133	14.381	12.5717	5.50783	-5.05638	-2.05257	-1.93967	-1.25474	6.0482	13.6569	7.77005	7.52165	9.8405	12.6993	9.89752	14.9121	11.6897	5.9047	-5.74438	-1.88465	-1.57977	-1.95785	5.95428	13.9951	7.66478	7.61123	10.2607	11.6649	9.47196	13.656	12.6975	5.54811	-5.29638	-1.725	-1.93325	-0.910086	6.20263	14.0849	7.78934	7.50091	10.3221	11.5208	9.0188	14.6444	10.4382	5.96386	-5.50235	-1.86853	-1.42377	-0.851501	6.68642	13.7896	7.6721	7.46924	10.3252	11.6494	9.85088	14.3428	11.4197	7.03181	-5.99432	-2.28761	-1.93128	-5.365922e+01	-7.675903e+01	-1.304183e+02
480	-1.8631	6.73763	13.0909	7.6636	7.55488	10.2894	11.2162	9.72049	14.2563	11.3231	5.49129	-5.27876	-2.00799	-1.68949	1.627	0.156394	0.530403	0.15746	0.0695166	0.248489	0.251198	0.170794	0.181027	0.151887	0.363744	0.0957099	0.0701182	0.139993	0.0779898	0.0618763	0.437956	-1.2292	6.79891	12.5595	7.64101	7.28798	10.2332	11.3721	10.3497	14.9265	11.5158	3.91422	-4.92333	-2.22576	-1.96901	-1.0286	6.47413	12.1739	7.65313	7.69725	9.33133	10.9892	10.2546	13.8508	11.6925	5.13428	-5.03684	-2.0725	-1.93307	-1.77156	7.27803	11.7595	7.80622	7.61027	10.1079	11.7872	10.2389	14.7066	11.7276	5.68595	-5.31109	-2.19767	-1.37806	-0.131887	6.99778	13.705	7.62721	7.69643	10.295	11.4005	9.82178	14.8181	11.1925	5.27563	-5.01638	-1.75741	-1.30319	-0.912588	6.64301	13.3359	7.73577	7.87738	8.72625	11.5435	10.0313	14.1718	11.4878	5.50013	-5.56045	-1.76421	-2.0239	-2.40457	6.94308	12.8632	8.22771	7.72302	10.4247	11.9247	9.34536	14.5471	11.5297	6.04335	-5.22133	-2.04996	-1.62577	-1.18392	7.26597	14.0736	7.89812	7.56795	9.55833	11.2813	9.07672	14.1213	11.1736	5.93715	-5.05259	-1.9988	-1.47861	-1.56362	7.21159	13.3563	7.63179	7.65365	9.99062	10.7493	9.75253	14.1361	11.013	6.15542	-5.33899	-1.94259	-1.88293	-5.243867e+01	-9.027083e+01	-1.427095e+02
560	-1.40403	6.86515	12.9058	7.76998	7.57812	9.84136	11.4631	9.649	14.5945	11.9187	6.19517	-4.99074	-2.17246	-1.70063	0.327943	0.499086	0.247347	0.161085	0.04925	0.23907	0.0891014	0.446144	0.120705	0.142038	0.861472	0.0745308	0.0408187	0.143787	0.0920842	0.0333487	0.323186	-1.08073	7.54023	13.1193	7.89873	7.6825	10.3668	11.4653	9.64761	14.0488	12.1643	3.87257	-4.7145	-2.20706	-1.66364	-1.14256	5.90334	12.9141	7.73537	7.70242	9.8077	11.4762	9.58525	14.6919	11.5288	5.40747	-5.00219	-2.07679	-1.90227	-1.7473	5.87529	13.669	7.79899	7.4995	9.5067	11.6426	9.718	14.9988	12.3596	5.74219	-4.58391	-2.11246	-1.61653	-0.0162535	7.2812	12.5787	7.71624	7.44899	10.242	11.5964	9.59357	14.1211	11.3572	5.72868	-5.36258	-2.10422	-1.06621	-1.54876	5.56002	12.8062	7.85117	7.53571	9.5554	12.079	9.68221	14.6407	11.9088	5.85878	-4.7964	-2.02517	-1.66479	-1.75932	6.9226	13.1549	7.97372	7.48843	9.6755	11.3806	9.05465	14.9726	11.8016	5.94659	-4.85217	-2.11004	-1.21389	-1.57389	5.07661	13.1928	7.8326	7.39529	9.6739	11.6171	9.73353	14.6934	12.3078	5.96441	-5.03672	-1.96135	-1.44453	-0.445375	7.24281	12.9694	7.71851	7.51531	9.79504	11.6024	9.51278	14.3846	11.5555	6.79894	-4.63831	-2.14115	-1.92191	-4.434653e+01	-7.539815e+01	-1.197447e+02
640	-1.22224	6.06659	13.3951	7.78057	7.7791	9.95543	11.3484	9.79663	14.8231	9.94124	5.2455	-5.80965	-1.97897	-1.88922	0.614565	0.619164	0.179584	0.079456	0.184117	0.137373	0.113767	0.0738318	0.0837286	0.225157	0.806461	0.0781934	0.0759639	0.102402	0.0732029	0.0280922	0.488846	-0.653924	6.54457	13.1934	7.60389	7.50622	10.4777	11.3397	9.99382	14.8645	9.73856	3.67476	-5.81902	-2.25942	-2.19875	-1.07522	7.90084	13.4296	7.80563	8.06465	10.1009	11.5455	9.20687	14.4909	10.4267	5.06546	-5.54564	-2.00992	-1.78364	-2.05459	5.61018	13.4007	7.63751	7.69138	10.474	11.9027	9.93664	14.7982	10.7796	5.36186	-5.8734	-1.85332	-2.0719	-0.00081071	6.36779	14.0787	7.81029	7.44446	9.70669	11.4576	9.88234	14.0242	10.2711	5.56824	-5.1323	-1.96871	-1.91516	-2.09047	5.81721	12.8572	7.61283	7.42346	9.97591	11.7235	9.99999	14.8539	10.5032	5.92411	-5.67608	-2.07832	-1.71244	-1.54695	5.8312	12.88	7.88244	7.80346	9.75959	11.3136	9.43722	14.7274	9.47867	5.66065	-5.934	-1.74964	-1.94422	-1.43522	5.82782	13.5674	7.65311	7.68525	10.4347	10.9594	9.69318	14.9117	9.90804	5.51452	-5.8789	-1.67883	-1.63871	-0.732644	7.54803	12.8153	7.69627	7.6886	9.75084	10.6964	9.47078	14.5321	10.9659	6.77455	-5.87925	-2.09703	-1.93405	-4.465633e+01	-6.944538e+01	-1.141017e+02
720	-1.14806	6.54607	14.4062	7.69807	7.52759	9.77512	10.9935	9.93226	14.6873	10.2521	5.82207	-5.00769	-2.22562	-1.82431	0.277707	0.13191	0.0644965	0.107692	0.121256	0.148039	0.199298	0.171175	0.0892317	0.549792	0.426253	0.130545	0.131699	0.110562	0.0727594	0.0335134	0.445525	-1.18603	6.58992	14.0592	7.92147	7.78226	10.2696	11.2779	9.31208	14.6241	10.8889	3.67819	-5.12855	-2.08513	-2.01262	-1.436	6.17876	13.9837	7.67892	7.97738	10.1546	10.9896	10.2101	14.2484	10.5051	4.70786	-4.91697	-1.83475	-2.02958	-1.54189	6.16178	14.4856	7.76426	7.8653	9.40689	11.4677	10.1239	14.5524	10.1474	5.2461	-4.99847	-1.76739	-1.86427	-0.00372652	6.82253	14.0935	7.75105	7.27427	9.23478	11.286	10.0872	14.6815	9.46736	5.68372	-5.32996	-2.18072	-1.1999	-1.26181	6.04971	14.2813	7.69781	7.46303	9.6446	12.1073	10.3328	14.5529	11.2895	5.91876	-5.31454	-2.13926	-1.51907	-1.25196	7.26114	14.4931	7.76715	7.65546	9.77798	11.5659	9.44608	14.6833	11.2906	5.65627	-4.72619	-1.79286	-2.21985	-1.28067	6.43455	14.3681	7.71534	7.5672	9.82203	10.7436	9.74499	14.4423	9.71275	5.80416	-4.85241	-1.79481	-1.71595	-0.435568	6.26512	14.2392	7.82703	7.73813	9.53209	10.9607	9.58446	14.7839	10.3098	6.61342	-5.23182	-2.00333	-2.06728	-3.961028e+01	-7.650436e+01	-1.161146e+02
