iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_VmaxC(1)	M_lnVmax_AG(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_VmaxC(1)	Var_lnVmax_AG(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_VmaxC(1.1)	lnVmax_AG(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_VmaxC(1.2)	lnVmax_AG(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_VmaxC(1.3)	lnVmax_AG(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_VmaxC(1.4)	lnVmax_AG(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_VmaxC(1.5)	lnVmax_AG(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_VmaxC(1.6)	lnVmax_AG(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_VmaxC(1.7)	lnVmax_AG(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_VmaxC(1.8)	lnVmax_AG(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.34891	6.61074	11.6879	12.9164	9.88762	11.1887	12.1461	0.205753	-5.94888	-0.820478	-5.77924	0.102571	0.843293	0.181955	0.0739338	0.0780979	0.46224	0.118892	0.226572	0.094836	0.802777	0.127643	0.0258591	0.203844	0.0202807	-1.51135	5.80811	11.3856	12.9126	9.98373	10.6332	12.4872	0.212139	-5.46919	-2.66578	-5.98288	-1.69732	7.82909	11.8517	12.6471	9.75636	10.3661	12.0263	0.0560024	-5.49663	-1.75489	-5.76427	-1.61175	7.85968	11.813	12.84	9.64044	11.6107	11.2485	1.08101	-5.80986	-1.49637	-5.4967	-0.850284	7.86184	12.0165	13.1361	10.0881	9.70458	11.9222	0.180431	-5.6335	-1.02562	-5.77158	-1.05038	6.65148	12.2124	13.2314	9.58963	11.8358	12.9874	0.562076	-5.73799	-0.81951	-5.80994	-1.34574	7.12549	11.8456	12.8364	9.77552	11.3553	11.8724	0.335939	-5.65195	-0.873891	-5.33232	-1.37731	6.86309	11.4405	12.4824	10.3159	11.1997	11.5138	0.804327	-5.99037	-0.786022	-5.8026	-1.06349	5.82051	11.615	13.1175	9.64356	11.0098	12.0907	0.288183	-5.70947	0.924882	-5.86387	-4.281101e+01	-9.415965e+04	-9.420246e+04
160	-0.913803	7.2807	6.36394	8.93324	11.0292	14.5941	9.39321	7.25486	-5.39723	-1.91113	-2.09102	0.0803173	0.15371	0.0910726	0.0608472	0.28811	0.154366	0.131966	0.137062	0.715729	0.0493859	0.0736437	0.0879805	0.0363632	0.170851	-0.561014	6.8905	6.20257	8.82325	10.1588	14.6217	9.51906	7.47776	-5.01663	-2.07385	-2.33413	-0.616797	7.41322	6.49558	8.95224	10.7185	14.4972	9.48498	7.7159	-5.35602	-1.92688	-2.20648	-0.801153	7.82843	6.88492	8.7921	11.3572	14.2335	10.0274	7.54947	-4.11613	-1.96102	-2.25565	-0.473743	7.62629	6.0435	8.97168	9.44255	14.9671	9.20811	7.47882	-5.63172	-1.69882	-2.30068	-0.724653	7.26411	6.71412	9.05266	11.3751	14.5235	8.77498	7.78654	-5.42114	-1.67609	-1.82008	-0.936171	7.41924	6.62816	8.74923	10.8903	14.3717	9.39464	7.03016	-4.76345	-1.72313	-1.99513	-1.09158	6.70049	6.17362	8.71772	10.1527	14.5514	9.31573	6.93704	-5.89541	-1.63477	-1.83258	-0.944524	7.44297	6.01425	8.91979	10.4442	14.5755	9.1882	6.97978	-5.58676	-1.93065	-2.58973	-2.487553e+01	1.397771e+00	-2.347776e+01
320	-1.00563	7.36937	6.54237	8.96176	10.3842	14.2202	9.19153	10.3158	-5.87933	-1.61144	-2.05508	0.138771	0.0854612	0.349532	0.0352492	0.211174	2.41896	0.0544413	0.193918	0.0528391	0.05678	0.104193	0.0610468	0.0424461	0.0145131	-0.496624	7.85258	7.31848	8.56361	11.0256	13.2447	9.39885	9.58153	-5.94886	-2.1746	-2.0927	-1.13265	7.00157	6.26985	9.13024	10.0011	14.1658	8.86863	9.34522	-5.90892	-2.0036	-2.18533	-1.34425	7.44147	6.50645	8.77211	11.0058	13.7893	9.29233	9.75386	-5.88387	-1.87587	-1.78843	-0.463697	7.34346	5.94972	9.08829	9.47877	11.7546	9.00058	10.4079	-5.77704	-1.62542	-2.44726	-1.2984	7.14947	6.34225	8.90214	10.5802	14.6395	9.67212	10.3857	-5.88971	-1.80677	-2.00551	-1.03464	7.4018	6.55761	8.71505	10.7136	14.7014	8.97347	10.7594	-5.94118	-1.66242	-1.94324	-0.684797	7.47323	6.55501	8.80087	10.4482	13.8359	8.7285	10.2951	-5.75371	-1.65808	-1.94402	-0.535068	7.45749	5.88253	8.99612	10.2483	12.9829	9.43528	10.0175	-5.71305	-1.80106	-2.75139	-3.603523e+01	6.800909e+01	3.197386e+01
480	-1.30894	7.23519	6.60506	8.65744	10.5922	12.3927	10.7224	11.3397	-5.64727	-1.84292	-2.01815	0.128154	0.150276	0.170982	0.037932	0.255853	0.287051	0.0911111	0.429002	0.0927394	0.0577991	0.137256	0.0856034	0.0298341	0.0145435	-0.871921	6.93061	6.44012	8.75819	10.1358	12.0508	10.8176	11.399	-5.2408	-2.18554	-2.14679	-1.15422	7.10661	6.42917	8.84489	10.6613	12.2739	11.0002	10.6643	-5.89818	-1.99976	-1.97092	-1.60178	7.45288	6.56457	8.86303	10.4554	12.2447	11.0627	11.3319	-5.81343	-1.93193	-1.88188	-0.515166	7.3229	5.89349	8.78849	9.63961	11.6688	10.9475	11.0697	-5.77908	-1.62835	-2.34986	-1.36366	6.66884	6.08388	8.82071	10.7857	13.1345	10.8367	11.8799	-5.97168	-1.98111	-1.84383	-0.610841	7.57875	6.89481	8.68894	11.2529	12.6334	10.763	11.2257	-5.25705	-1.83648	-1.74342	-1.12694	7.05938	6.30935	8.59133	10.2448	12.9477	10.9414	11.2165	-5.40804	-1.65867	-1.77713	-0.960217	7.75902	6.02824	8.63472	10.1044	12.2905	10.713	11.4368	-4.78828	-1.90644	-2.68705	-2.870431e+01	6.859965e+01	3.989533e+01
640	-0.63636	7.14136	6.24271	8.97131	10.4094	13.0417	11.0485	11.6695	-5.6192	-1.89549	-1.8635	0.279674	0.069022	0.197414	0.0667332	0.325764	0.13619	0.0778197	0.17771	0.202656	0.0596458	0.157923	0.0676425	0.0378907	0.0192593	-0.61649	7.08299	6.47425	8.78607	10.7021	12.4155	10.8887	11.7152	-4.88036	-2.05475	-2.34379	-0.874917	7.10946	6.50093	9.05357	10.4755	12.5799	10.8419	11.8034	-5.87157	-1.8886	-2.07592	-1.47872	7.11437	6.12652	8.71144	10.9261	12.9661	11.4384	12.1228	-5.30706	-2.12688	-1.70516	-0.462523	7.10789	5.671	9.00931	9.32625	11.9448	10.9855	11.7323	-5.24909	-1.62134	-2.51415	-1.2608	6.95838	6.34912	8.75521	11.111	13.3567	11.2031	11.6883	-5.31937	-1.92522	-1.85797	-1.17982	7.31902	6.62165	8.63958	10.7414	12.4087	10.9236	12.3604	-5.45094	-1.91113	-1.78299	-1.18153	6.83952	5.91721	8.806	10.2968	13.3457	11.1914	12.175	-5.20998	-1.70118	-1.99776	-0.623984	7.47885	5.79278	8.76993	10.356	13.4435	10.899	11.3433	-5.62919	-1.9927	-2.64471	-2.469198e+01	6.482074e+01	4.012877e+01
800	-1.22102	7.3945	6.37622	8.82738	10.3929	12.3703	11.8307	12.5226	-5.77446	-1.92628	-2.12561	0.234654	0.115583	0.16999	0.130338	0.173021	1.86347	0.27693	0.638002	0.0850954	0.182223	0.114687	0.0851645	0.0384013	0.0134532	-0.68111	7.42797	6.99056	8.56399	10.5689	12.0141	11.4725	12.6861	-5.61333	-2.32732	-2.07412	-1.3001	7.4916	6.67005	8.94628	10.8046	13.7122	12.8398	12.0875	-5.46144	-1.88946	-2.14897	-1.23947	7.34446	6.50969	8.91067	10.6542	12.9139	11.7668	11.7363	-5.80426	-1.63955	-1.7977	-0.462654	6.94785	5.75177	9.02077	9.41178	11.2168	10.7067	12.007	-5.91516	-1.574	-2.30543	-1.30171	7.28781	6.57254	8.6927	10.8255	13.7118	11.9351	12.7534	-5.8373	-1.88388	-1.75302	-1.44293	7.2446	6.37649	8.75441	10.5083	12.6917	11.3005	11.8085	-5.43044	-1.66529	-1.92057	-1.56536	7.09897	6.11995	8.64985	10.1851	11.7173	12.4342	12.1902	-5.73754	-1.60917	-1.93266	-1.23955	7.61252	5.84568	8.70571	10.0114	14.1648	12.3614	12.8133	-5.88019	-1.89669	-2.7071	-4.493925e+01	7.411521e+01	2.917595e+01
960	-0.931994	7.6933	6.43212	8.8469	10.4318	12.5412	11.6929	11.9948	-5.87963	-1.71352	-2.17159	0.325274	0.159704	0.0714561	0.0670178	0.315824	0.4991	0.254614	0.095015	0.170122	0.133977	0.094552	0.054334	0.0277797	0.018908	-0.498228	7.34932	6.86234	8.73288	10.4933	12.9572	11.209	11.6856	-5.20208	-2.19665	-2.22647	-1.08343	7.59668	6.75887	9.02233	10.2296	14.2937	11.6413	11.7037	-5.46195	-1.97542	-2.25435	-1.36446	7.41877	6.58637	8.65015	10.9076	12.7692	12.1654	12.7866	-5.59747	-2.22271	-1.67671	-0.460186	7.67576	6.27743	9.08663	9.23221	11.5573	11.5961	12.047	-5.45858	-1.6896	-2.52163	-1.47661	7.31503	6.57929	8.79889	10.7493	12.8226	11.038	11.4942	-5.906	-1.90619	-1.8717	-1.34322	7.40813	6.52772	8.71633	10.7865	12.3715	12.166	12.2429	-5.24093	-1.77919	-1.99332	-1.25558	7.30931	6.24047	8.80493	10.04	12.2511	11.7905	11.835	-5.71551	-1.55931	-2.05822	-1.31421	7.44068	5.80211	8.7742	9.70354	12.894	12.0842	11.6664	-5.79416	-1.93535	-2.65548	-3.443455e+01	7.465119e+01	4.021664e+01
1120	-1.11686	7.18948	6.52107	8.76432	10.7803	13.0058	12.0413	12.5502	-4.39286	-1.93926	-2.04932	0.156561	0.0917468	0.147238	0.0727843	0.779142	0.253556	0.103016	0.106375	0.177111	0.0736321	0.122059	0.0586999	0.0357071	0.0155147	-0.490541	7.30437	6.75836	8.49597	10.7618	13.2391	12.099	11.6935	-4.90411	-2.19974	-2.10964	-0.765351	7.00798	6.37873	8.81968	11.1482	13.2343	12.0086	12.3624	-4.52515	-2.13836	-2.00612	-1.1799	6.94425	6.30191	8.60122	11.2414	13.0457	11.7133	12.7138	-4.36095	-2.01534	-1.60121	-0.463636	7.72633	6.39819	8.84723	9.48551	11.4736	12.1975	12.6453	-4.57989	-1.67522	-2.28324	-0.806489	7.06867	6.49404	8.61933	11.5892	14.4613	11.9284	12.615	-4.32866	-1.98954	-1.74114	-1.40446	7.47193	6.67013	8.63664	10.9147	13.6014	11.9182	12.7535	-4.86414	-1.84144	-1.94162	-1.74526	7.1507	6.07782	8.67663	10.226	13.2357	11.9745	12.9793	-5.11253	-1.60785	-2.00811	-0.787329	7.56382	5.80503	8.70616	10.2143	12.4206	12.3491	12.3507	-4.35125	-1.9051	-2.76452	-3.380660e+01	7.257899e+01	3.877240e+01
1280	-1.13464	7.21101	6.23647	8.77311	10.5282	12.1919	12.6195	12.7213	-4.78826	-1.87415	-2.11648	0.14082	0.0654023	0.0924714	0.09617	0.217596	0.0519835	0.460264	0.377787	0.111111	0.144988	0.11166	0.0762466	0.0298367	0.0148823	-1.00037	6.99213	6.40575	8.58161	10.2429	12.1927	12.0312	12.0803	-4.95282	-2.12047	-2.21033	-1.41253	7.02333	6.21804	8.87152	10.2184	12.3333	11.9136	12.1623	-3.87781	-2.06045	-2.11398	-1.47463	7.38009	6.52134	8.84847	10.7052	12.1811	11.8956	11.2565	-5.15668	-1.90572	-1.8011	-0.456608	7.49012	5.86179	8.78764	9.42924	12.3764	11.2909	12.7833	-4.45499	-1.69017	-2.4958	-1.45419	6.96802	6.49768	8.64352	10.8474	12.2534	12.1416	12.5789	-4.67365	-2.05334	-1.73333	-1.45136	7.63668	6.6626	8.62851	10.553	11.9935	11.7072	12.3724	-4.70814	-1.94834	-2.0241	-1.22368	7.14482	6.26895	8.53579	10.5288	12.2316	12.2502	12.9244	-5.21139	-1.65852	-1.85389	-0.754557	7.59402	5.97517	8.74218	10.1083	12.3881	12.2017	11.8862	-5.07764	-1.84048	-2.57949	-2.356260e+01	6.252172e+01	3.895912e+01
1440	-1.00971	7.5864	6.42931	8.71483	10.3011	12.1098	11.9261	10.4743	-5.0078	-1.80411	-1.90562	0.158089	0.291369	0.192311	0.0711219	0.209209	0.267669	0.339682	0.510867	0.0932283	0.103687	0.260666	0.0510052	0.0310809	0.0160928	-0.762562	6.80268	6.17764	8.45264	10.6642	12.6064	11.7883	9.44101	-4.59168	-2.14742	-2.12705	-1.57833	7.27017	6.39115	8.88901	10.3435	12.5052	11.8532	11.1244	-4.94626	-1.99985	-2.21129	-1.33617	7.61834	6.66455	8.5882	10.8896	12.3391	11.8627	10.1947	-4.85348	-2.12539	-1.75898	-0.542785	7.02653	5.83242	8.92185	9.26127	11.1314	12.0087	11.3019	-5.61887	-1.62927	-2.18746	-1.37466	6.74519	6.1224	8.85623	10.6726	13.0096	12.0544	11.4048	-4.48705	-1.94532	-2.00671	-1.07236	7.4663	6.59764	8.70578	10.6143	12.4162	12.4219	10.7489	-5.48857	-1.78429	-1.90982	-0.761474	7.52608	6.79915	8.64483	10.8566	12.8545	12.272	11.0203	-4.87614	-1.80917	-1.79315	-1.31578	7.90449	6.09564	8.7276	9.93313	12.3695	11.0513	9.45827	-5.02321	-1.87856	-2.76871	-4.570758e+01	5.997955e+01	1.427197e+01
