iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_VmaxC(1)	M_lnVmax_AG(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_VmaxC(1)	Var_lnVmax_AG(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_VmaxC(1.1)	lnVmax_AG(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_VmaxC(1.2)	lnVmax_AG(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_VmaxC(1.3)	lnVmax_AG(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_VmaxC(1.4)	lnVmax_AG(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_VmaxC(1.5)	lnVmax_AG(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_VmaxC(1.6)	lnVmax_AG(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_VmaxC(1.7)	lnVmax_AG(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_VmaxC(1.8)	lnVmax_AG(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.97637	6.54848	13.0861	8.15687	11.0115	12.9477	3.96762	6.8506	-0.589494	-1.62271	0.156348	0.123296	0.0873831	0.206986	0.072596	0.126077	0.307421	0.203776	0.0773584	0.125122	0.311253	0.333645	0.0125932	0.101206	0.475006	-1.87488	6.76089	12.8028	8.45409	11.1586	12.9354	4.35326	6.53516	-1.03304	-1.88381	-0.325361	-1.66023	6.01895	12.6738	8.17506	11.5757	13.8745	3.81583	6.6088	-0.639372	-0.693704	-0.215961	-2.37127	6.51009	13.6494	8.13074	11.2782	13.2775	4.13395	6.65396	-0.65288	-2.06613	0.856137	-1.5168	6.54807	12.9372	7.99899	10.7168	11.7202	3.82965	6.78465	-0.676021	-1.10452	-0.42191	-1.84489	6.23576	12.5404	7.69566	11.1286	13.2176	3.31093	7.09604	-0.67537	-1.04708	-0.150396	-1.86091	6.64563	12.7458	8.58009	10.8661	11.9923	3.91539	6.28165	-0.169577	-1.52792	0.296204	-2.38115	6.91219	13.3427	7.90477	11.3289	13.379	3.42175	6.74069	0.0805924	-2.15842	-0.176813	-2.15436	6.46229	12.599	8.29993	11.7954	13.6511	4.69355	7.29652	-0.450611	-1.98552	0.0412133	-4.251288e+01	-1.071126e+05	-1.071552e+05
160	-0.580335	4.29433	12.8971	8.29153	10.8623	14.7683	9.58283	5.30909	-3.69254	-2.26557	-1.59255	0.219797	0.219858	0.492128	0.108665	0.184645	0.125617	0.0760551	0.483373	0.221909	0.0451266	0.136198	0.0900993	0.0445377	0.372649	-0.640532	4.42523	13.1089	8.4892	10.4722	14.2605	9.59824	3.86769	-4.14006	-2.40091	-2.20273	-0.677786	4.75785	12.6404	8.52548	11.4188	14.9246	9.05475	5.51503	-4.1676	-2.21538	-1.81541	-1.21694	4.77335	13.0325	8.59105	11.1971	14.6103	10.1571	5.63322	-4.94887	-1.93548	-1.71823	-0.548954	4.25154	13.0735	8.01732	10.7535	14.6472	9.40153	5.31595	-2.9503	-2.34991	-1.88883	-1.19476	4.60904	12.8591	8.3148	11.2279	14.9553	9.5278	5.84757	-4.06173	-2.28089	-1.2421	-2.1426	4.32101	13.0394	8.32941	10.6632	14.8001	9.22064	5.46971	-3.23298	-2.04122	-2.03168	-0.654357	4.36918	13.0297	8.22139	11.1386	14.5781	9.43052	5.8109	-3.4257	-1.98317	-1.3198	-0.684881	4.7369	12.6614	8.31787	10.7764	14.0211	9.65935	6.84314	-3.83914	-2.23969	-1.59253	-3.929033e+01	-1.012571e+02	-1.405474e+02
320	-0.710066	4.88034	12.9253	8.64935	10.9738	13.2772	10.9056	5.44732	-5.88062	-2.29316	-1.56439	0.0594312	0.20753	0.0346031	0.0666347	0.283965	0.112641	0.143627	0.720647	0.0446643	0.146833	0.151164	0.110941	0.0347064	0.428499	-0.764647	5.06403	12.8306	8.40335	10.5185	13.3824	10.9302	3.95347	-5.70457	-2.27484	-2.11069	-0.900844	5.83703	12.9722	8.4985	11.3154	13.2653	11.1729	5.52669	-5.6759	-2.17958	-1.95976	-1.11876	5.94387	13.3069	8.53941	11.2529	13.6905	10.3414	5.5161	-5.67965	-1.96372	-1.82976	-0.520487	5.53057	12.8367	8.75825	9.45559	14.013	11.5501	5.07643	-5.628	-1.71276	-2.04403	-1.14144	5.87642	12.8097	8.38707	11.7872	13.5837	11.1152	5.91582	-5.67449	-2.00258	-1.39338	-0.817398	4.45767	12.7778	8.4727	11.346	13.2832	11.4981	5.72923	-5.69718	-1.8199	-2.28051	-0.746627	4.8706	12.9717	8.5404	10.7035	13.0579	10.796	5.78907	-5.69277	-1.81283	-1.29775	-0.555718	5.20047	12.6411	8.492	10.5478	12.6775	10.4282	6.78596	-5.58738	-2.0506	-1.90297	-4.347409e+01	-8.460063e+01	-1.280747e+02
480	-0.863118	4.4642	10.8051	8.65779	10.1453	14.3665	11.3767	5.47723	-5.31665	-1.92422	-1.8369	0.310463	0.193924	0.215264	0.0401812	0.373208	0.204867	0.111607	0.28339	0.513159	0.119229	0.0907822	0.153194	0.0404455	0.430998	-0.499373	4.59701	9.76405	8.61545	10.5589	14.0616	11.7079	3.84193	-5.82793	-2.11673	-1.89047	-1.02668	4.71153	10.7247	8.73513	11.1043	14.8573	11.4686	5.31904	-4.81618	-2.16159	-2.01407	-1.14916	4.63506	10.5378	8.57383	11.4358	14.8474	11.2202	5.72303	-4.92616	-2.01837	-1.94023	-0.599069	4.74265	10.668	8.78899	9.48203	14.3843	11.2013	4.96632	-5.01051	-1.74826	-1.59472	-1.28578	4.47192	10.959	8.48145	11.2408	14.2307	10.7809	5.703	-5.15505	-2.17677	-1.77556	-1.10553	4.63918	11.24	8.58779	10.6243	14.2722	11.0457	5.60337	-5.64015	-1.67904	-2.21482	-1.10126	5.20301	10.876	8.56165	9.8823	14.7315	11.0733	5.58594	-5.51271	-1.6516	-1.76965	-0.548867	4.72212	11.3294	8.47365	10.4581	13.2253	11.1123	6.81946	-5.58398	-2.14589	-1.67697	-4.369545e+01	-9.385401e+01	-1.375495e+02
640	-0.393889	5.71956	11.3526	8.67921	10.8754	14.7642	12.9838	4.9301	-4.89245	-1.884	-1.69863	0.110802	0.220027	0.489544	0.0396459	0.378843	0.256725	0.125514	1.07093	0.131786	0.0606175	0.0815057	0.0841777	0.0444199	0.430266	-0.654646	5.3483	11.844	8.43252	10.3549	14.125	12.9019	4.03404	-5.02943	-2.25108	-2.03298	-0.897908	5.52614	11.5366	8.73018	10.8613	14.4192	12.2202	5.18143	-4.31226	-2.03934	-1.89597	-0.92227	5.03958	11.2344	8.51355	11.0163	14.1113	12.4532	5.43908	-4.96021	-2.01245	-1.84983	-0.46151	5.71263	10.4589	8.95501	9.27151	14.7528	12.9973	4.79715	-4.88106	-1.6821	-2.00471	-0.49893	4.75218	11.2521	8.59823	11.5578	14.8698	12.9206	5.80839	-5.16747	-1.88053	-1.67506	-0.74981	5.64864	12.0611	8.58279	11.6199	14.5432	12.9037	5.33148	-4.43936	-1.9039	-2.17204	-0.715422	5.70439	10.4944	8.34383	10.8002	14.9681	12.5272	5.97175	-4.13565	-1.93261	-1.40906	-0.925467	5.60694	11.916	8.53183	10.2081	14.6133	12.8398	6.69631	-4.76404	-2.19616	-1.9167	-4.161619e+01	-9.117933e+01	-1.327955e+02
800	-1.0687	6.24433	6.20236	8.5848	10.4285	14.2141	11.2677	7.30148	-5.47845	-2.16527	-1.52532	0.17149	0.135401	0.16759	0.0568098	0.218375	0.0872695	0.768767	1.58783	0.0407113	0.0549258	0.116113	0.0876304	0.0285773	0.0310123	-0.783585	7.07018	6.56225	8.63919	10.5655	13.9526	11.4869	7.51044	-5.66147	-2.22081	-2.24549	-1.16695	6.65482	5.90011	8.83942	10.6388	14.2183	11.2572	7.62465	-5.13276	-2.07996	-2.14048	-2.01557	5.85763	5.8469	8.74138	10.5977	14.4326	12.5846	6.64021	-5.20478	-2.20077	-1.34038	-0.480121	6.4033	6.12942	8.9235	9.38808	13.8243	12.0852	5.54728	-5.44235	-1.66017	-1.90059	-1.11686	6.00309	5.63636	8.70585	11.0648	14.5584	11.8533	9.69197	-5.44518	-1.95772	-1.72288	-1.11903	6.39559	6.73991	8.3981	10.8585	14.4594	10.5131	6.74751	-5.74439	-2.153	-1.29828	-0.84499	6.47044	6.25447	8.49699	10.2118	13.8767	9.52231	7.01457	-5.45646	-1.82007	-1.53798	-0.492676	6.02014	6.30978	8.55745	10.2409	14.1633	11.4739	7.04303	-5.16273	-2.07068	-1.80511	-4.935518e+01	3.578706e+01	-1.356812e+01
960	-1.37914	6.45794	6.00958	8.47798	10.6426	13.2062	12.8067	7.00807	-5.16241	-1.89865	-1.91334	0.340235	0.0507933	0.0824174	0.0886195	0.297413	0.4033	0.146271	1.10686	0.68455	0.0745716	0.0735089	0.0607411	0.0395105	0.0117157	-0.660813	6.6875	6.27996	8.60684	10.6092	12.9621	12.4123	6.23446	-5.00246	-2.39771	-2.07052	-1.07169	6.84885	6.48539	8.52796	11.6847	13.1633	12.7967	7.05435	-5.95516	-2.1619	-1.68592	-1.46625	6.46761	5.62498	8.75528	11.0512	12.9821	12.3769	8.12308	-4.33606	-1.93676	-1.82673	-0.518923	6.64059	5.95042	9.04418	9.43839	12.2496	12.2024	5.54305	-5.64448	-1.68258	-2.19121	-1.59751	6.61417	6.0595	8.83361	10.5942	13.1367	11.9111	8.14642	-5.63767	-1.84373	-1.86004	-1.88159	6.5026	6.40793	8.24924	10.7618	13.163	12.1732	7.25596	-4.79778	-2.00086	-1.42149	-1.08416	6.48923	5.75501	8.67986	10.245	14.5164	12.2742	7.29839	-4.8453	-1.67697	-1.8627	-0.460278	6.60756	6.09129	8.68552	10.3982	13.797	12.7253	7.00658	-4.43085	-2.03329	-2.23669	-5.035324e+01	5.775637e+01	7.403127e+00
1120	-1.34228	6.29522	6.03309	8.64179	10.2892	12.2697	12.3322	7.73472	-5.57305	-2.01937	-1.84666	1.32968	0.116857	0.0681515	0.0544359	0.128037	0.135549	0.186241	1.88295	0.144301	0.086274	0.0471438	0.0730602	0.0542785	0.0146194	-0.609096	6.79001	6.3369	8.57679	10.5093	12.2802	12.0705	7.13221	-5.95817	-2.2039	-2.09442	-1.25856	6.6977	6.25382	8.70902	10.2363	11.7953	12.4485	8.48287	-5.8103	-2.2192	-1.73337	-1.34964	6.24123	5.55569	8.65003	11.0716	12.5313	12.9038	9.05284	-5.80089	-2.20462	-1.56101	-0.474098	5.90897	5.61165	8.82311	9.56051	11.7014	12.1294	5.7298	-5.91658	-1.763	-1.84456	-1.48964	6.47427	5.9908	8.63725	10.6523	12.5763	12.9506	9.31094	-5.58853	-2.00817	-1.76985	-1.805	6.69185	6.12982	8.45532	10.793	12.6707	12.4646	8.87827	-5.45008	-2.05207	-1.6731	-1.08103	6.37053	5.74225	8.4459	10.449	12.5856	12.7247	7.81039	-5.4457	-1.7775	-1.6776	-0.500627	5.89887	5.88419	8.59325	10.3172	12.2138	12.5134	7.27394	-5.17561	-2.00137	-1.89236	-3.447599e+01	6.650347e+01	3.202748e+01
1280	-1.20452	6.54979	6.34853	8.87989	10.4752	12.696	10.9314	7.16805	-5.41791	-1.86882	-1.90715	0.405455	0.0933247	0.104827	0.0684181	0.135429	0.484235	0.110638	0.723948	0.219541	0.0506903	0.191532	0.068837	0.0377296	0.0117909	-0.778233	6.84697	6.32948	8.59859	10.4788	12.063	10.6205	8.2909	-4.93904	-2.13284	-2.17326	-1.07478	6.68711	6.06424	8.87503	10.3145	12.3667	10.4095	8.50718	-4.97586	-1.93303	-2.01815	-1.25815	6.8641	6.03922	8.59201	10.9751	13.5915	11.4795	9.2223	-5.78766	-1.96785	-1.54911	-0.55755	6.28194	5.84917	9.04951	9.35415	11.6799	11.1424	5.59077	-5.69853	-1.59774	-2.12095	-1.6771	6.47053	5.81019	8.77896	10.5279	13.4537	10.8643	8.19105	-5.25334	-1.9431	-1.88264	-1.25551	7.12597	6.53491	8.48735	10.9772	12.3735	11.2733	7.79051	-5.38328	-1.87522	-1.65497	-1.28702	6.26551	6.14706	8.25233	10.5035	12.8145	11.3228	7.23226	-5.61805	-2.07128	-1.37627	-0.635612	6.75407	6.85249	8.61292	10.4461	12.8289	10.82	6.94388	-5.21657	-1.92412	-1.94331	-4.707312e+01	6.402153e+01	1.694841e+01
1440	-0.668431	6.77385	6.23498	8.81647	10.2695	12.574	12.7246	7.57951	-5.87009	-2.06472	-1.8985	0.650002	0.105427	0.09134	0.14407	0.144448	1.64536	0.109162	0.761991	0.150986	0.0927091	0.0664625	0.075531	0.0309852	0.0119168	-0.894287	6.9031	6.29706	8.68315	10.2975	11.8156	12.5835	8.52431	-5.56851	-2.07268	-2.19649	-1.0225	6.62175	6.0992	8.82572	10.6128	12.4658	12.8261	8.07795	-5.89325	-1.95238	-1.89814	-1.30703	6.35709	5.957	8.93096	10.8345	12.7498	12.655	7.61127	-5.96189	-1.85098	-1.56643	-0.464727	6.62045	6.00018	8.84704	9.45968	11.4734	12.9189	5.90239	-5.89477	-1.73668	-1.98755	-1.41486	6.63261	5.94663	8.69707	10.61	13.6538	12.2106	8.66994	-5.67431	-1.97281	-1.90898	-1.59108	6.99587	6.28922	8.62758	10.4394	12.6088	12.6977	7.4697	-5.80905	-1.9265	-1.87997	-1.29851	6.66924	6.02906	8.70862	9.80426	14.5122	12.7827	7.12525	-5.96579	-1.57423	-1.89528	-0.565	6.80993	6.5711	8.48199	10.6397	12.9987	12.1849	7.11606	-5.99015	-2.16575	-1.85462	-3.174160e+01	7.057894e+01	3.883734e+01
