iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	M_lnQCC(1)	M_lnBP_APAP(1)	M_lnPF_APAP(1)	M_lnPL_APAP(1)	M_lnPM_APAP(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Var_lnQCC(1)	Var_lnBP_APAP(1)	Var_lnPF_APAP(1)	Var_lnPL_APAP(1)	Var_lnPM_APAP(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnQCC(1.1)	lnBP_APAP(1.1)	lnPF_APAP(1.1)	lnPL_APAP(1.1)	lnPM_APAP(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnQCC(1.2)	lnBP_APAP(1.2)	lnPF_APAP(1.2)	lnPL_APAP(1.2)	lnPM_APAP(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnQCC(1.3)	lnBP_APAP(1.3)	lnPF_APAP(1.3)	lnPL_APAP(1.3)	lnPM_APAP(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnQCC(1.4)	lnBP_APAP(1.4)	lnPF_APAP(1.4)	lnPL_APAP(1.4)	lnPM_APAP(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnQCC(1.5)	lnBP_APAP(1.5)	lnPF_APAP(1.5)	lnPL_APAP(1.5)	lnPM_APAP(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnQCC(1.6)	lnBP_APAP(1.6)	lnPF_APAP(1.6)	lnPL_APAP(1.6)	lnPM_APAP(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnQCC(1.7)	lnBP_APAP(1.7)	lnPF_APAP(1.7)	lnPL_APAP(1.7)	lnPM_APAP(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	lnQCC(1.8)	lnBP_APAP(1.8)	lnPF_APAP(1.8)	lnPL_APAP(1.8)	lnPM_APAP(1.8)	LnPrior	LnData	LnPosterior
0	-1.38228	5.17091	0.123356	8.48839	0.790843	9.68091	7.90413	9.62304	8.87813	9.38743	6.60597	-2.43489	-0.279352	-4.06839	2.75944	-0.442539	-0.850737	-0.137386	-0.873696	0.235234	0.0779928	0.46665	0.190737	0.101624	0.277072	0.116553	0.083513	0.0842639	0.147418	0.112518	0.179506	0.186354	0.0774872	0.0857214	0.104264	0.209359	0.179363	0.100015	0.0979416	0.0152243	0.17453	-1.70392	4.9108	0.359468	9.38319	0.298701	9.5067	7.86565	9.28336	8.65893	10.1041	6.2438	-2.52088	-0.0491338	-4.68815	2.88432	-0.256738	-0.434826	-0.268114	-0.919433	-1.08186	4.98489	0.0938364	8.28869	1.0831	9.39558	7.15806	9.14175	9.37108	9.09747	6.50571	-2.337	-0.445667	-3.99789	2.693	-0.510525	-0.73651	0.261892	-0.383034	-2.18857	4.92381	0.0829358	8.13058	1.03068	9.05348	8.48071	9.7769	8.78078	9.56003	6.92203	-1.89439	-0.315431	-3.99413	3.02775	-0.485557	-1.63411	-0.123158	-0.769156	-0.948526	4.82256	0.548644	7.99158	0.988756	9.78239	8.81378	9.47869	8.74938	9.92218	6.59049	-2.73846	-0.460011	-4.3875	3.16021	-0.586061	-1.21402	-0.202533	-0.7352	-1.09507	5.11368	0.0553826	8.80666	0.642852	9.57866	7.97834	9.44703	9.02296	9.47551	6.49014	-2.83188	0.3456	-4.17403	2.3992	-0.534673	-0.871456	-0.293147	-0.659868	-0.676066	4.93176	0.0867122	7.97232	0.88319	10.4646	7.90376	9.8715	8.62713	9.36991	6.37581	-3.16362	-0.715397	-3.79664	2.53271	-0.83516	-0.199673	-0.0238646	-1.04308	-1.53917	4.90473	0.296283	8.20133	0.734618	10.3982	8.5014	9.36788	8.96274	9.34125	6.55347	-3.35196	-0.0150101	-3.8943	2.86735	-0.339356	-0.93641	-0.877765	-0.957905	-1.31449	5.20554	1.59344	8.76391	0.661739	9.51959	8.07922	9.42715	8.51746	9.40692	6.85536	-2.63795	-0.564033	-3.83305	3.01241	-0.613748	-0.371147	-0.442646	-0.80583	-3.854856e+01	-2.010989e+05	-2.011374e+05
160	-0.725194	5.49014	3.26217	7.63154	5.87692	9.8045	9.90888	10.0769	13.3488	11.4619	7.9596	-0.34445	-2.52017	-2.34008	1.88717	-1.55483	-0.344408	0.618815	0.426409	0.315547	0.146463	0.247812	0.0865347	0.13505	0.103753	0.110064	0.252946	0.886614	0.597294	0.167895	0.170101	0.11128	0.145219	0.363979	0.155242	0.137349	0.213341	0.0758997	0.496114	0.028367	0.0144579	-0.131922	5.28135	2.9333	7.77088	6.07422	9.5397	9.40552	10.3916	12.5812	10.8526	8.08122	-0.407263	-2.11226	-2.36583	2.87465	-1.69152	-0.018037	0.610653	0.605418	-0.884829	4.85935	3.01828	7.7566	5.29059	9.70703	10.2927	9.99554	12.7902	9.85028	8.2184	-0.496881	-2.92267	-2.325	1.79266	-1.32718	-0.417633	0.547174	0.226369	-0.983148	5.75644	2.78479	7.84214	5.65755	9.87495	10.1697	9.14664	12.8853	12.3073	7.65019	-0.266345	-2.4582	-2.39426	2.09372	-1.75659	-0.227126	0.328409	0.466298	-0.0203494	4.99347	2.48165	7.87539	5.85735	9.84204	9.86949	10.3737	12.2346	11.2818	8.30844	-0.625604	-2.68521	-2.59839	2.64303	-1.18848	-0.109088	0.429363	0.513248	-0.731598	5.44756	2.93836	8.00832	6.10371	9.54117	9.71838	9.32641	13.7206	11.4952	8.41533	-0.277505	-2.44018	-2.65635	1.8571	-2.08524	-0.00852427	-0.529713	0.607431	-1.37503	5.11499	3.3368	8.15196	6.16318	10.0886	10.1602	9.84847	12.9695	11.0465	7.67439	-0.889705	-2.47693	-2.2942	1.89476	-1.34735	-0.40398	-0.0355208	0.541184	-1.25439	5.4759	3.0975	7.8633	5.21191	9.58189	9.70078	9.82521	13.7934	11.7067	7.63492	-0.660452	-2.49784	-2.33	2.02313	-1.57789	-0.0335432	0.454155	0.526938	-0.189439	6.60717	3.77441	7.85873	6.24681	10.0468	10.4106	9.11207	12.8546	11.6749	7.91684	-0.498489	-2.69106	-3.0394	3.02684	-1.52783	0.0739536	0.249246	0.480483	-5.543866e+01	1.398315e+01	-4.145552e+01
320	-0.744279	5.17654	2.86364	7.73052	6.52057	10.294	10.0968	9.9588	13.9378	12.1348	7.70176	-0.498712	-2.17699	-2.57318	2.40207	-1.74877	0.0755269	0.242803	0.554136	0.169278	0.290233	0.232453	0.0769034	0.163608	0.147615	0.0708375	0.16661	0.130874	0.136129	0.423924	0.0756137	0.035999	0.0561432	0.428504	0.098881	0.0746928	0.201917	0.113471	0.476175	0.0197052	0.0126076	-0.280443	5.44962	3.16187	7.70788	6.24528	10.1743	10.3968	9.84166	14.0982	12.2094	7.44921	-0.703056	-2.09888	-2.54887	3.02997	-1.38143	-0.407873	0.53626	0.116953	-1.02201	4.79071	2.95311	7.68842	6.19581	9.93338	9.70128	9.88968	13.835	12.0586	8.25245	-0.626289	-2.30694	-2.39706	2.09349	-1.32487	-0.168168	0.199398	0.445629	-1.26502	5.29293	2.6377	8.14729	6.12326	9.94259	9.80201	9.69899	14.1776	12.7077	7.52164	-0.135335	-1.99654	-2.31364	2.26421	-1.89638	0.0594831	0.487284	0.595643	-0.0334965	5.06462	3.00278	7.7625	6.68009	9.67281	10.2876	10.2726	13.7868	11.8501	8.56572	-0.823219	-2.10684	-2.54976	3.66495	-1.04529	0.139861	0.107619	0.36258	-1.38656	5.61958	3.13675	7.96741	5.94429	10.1527	10.2765	10.0823	13.9626	12.0996	7.76025	-0.117399	-2.43996	-2.71688	2.25497	-1.92788	0.08149	-0.00693702	0.370749	-1.05487	5.43389	3.51644	7.80521	6.21462	9.73641	9.78663	10.202	13.8317	11.8471	8.03468	-0.966394	-2.19806	-2.31717	2.01427	-1.13531	-0.0540148	0.277157	0.241021	-1.40263	5.41169	2.97529	7.93757	5.6248	10.4043	10.0425	10.1896	14.4971	11.4566	8.6832	-0.515056	-2.21985	-2.50582	1.99481	-1.66355	0.168085	0.34069	0.542213	-0.106288	6.28544	3.81531	7.72103	6.60026	10.0316	10.2775	9.53943	13.8341	12.3235	8.54841	-0.569971	-2.41508	-3.18121	2.92073	-1.35318	-0.0662746	0.045788	0.305661	-3.487703e+01	3.684900e+01	1.971977e+00
480	-0.757706	5.77141	3.08202	7.81465	6.51291	10.0628	9.81583	9.81861	14.886	12.1933	7.20735	-0.686424	-2.29633	-2.74923	3.0509	-1.64591	0.102221	0.233825	0.623977	0.171047	0.0645479	0.0939925	0.0566404	0.149123	0.10891	0.258374	1.05959	0.0528917	0.0723556	0.0517904	0.0483459	0.0779536	0.259241	0.647404	0.12339	0.155944	0.180176	0.157053	0.359228	0.025951	0.0107774	-0.650486	 5.67	3.72042	7.70378	6.78104	9.58381	9.5791	9.24113	14.9153	11.8151	7.53701	-0.91895	-1.8757	-2.50563	3.60212	-1.3163	-0.0761132	0.274854	0.336596	-0.808576	5.9235	3.2109	7.77717	6.02442	10.1108	9.81051	9.76533	14.6492	12.1617	7.12938	-0.579133	-1.97987	-2.518	2.19422	-1.59605	-0.335893	0.438946	0.596535	-0.767066	6.14817	3.28306	7.61249	6.30033	9.69797	9.84639	10.3558	14.8636	11.9068	7.70835	-0.594058	-1.77092	-2.29535	2.34642	-1.61724	-0.173426	0.292004	0.453854	-0.0109855	5.81295	3.06129	8.10817	6.44036	9.76951	10.3506	9.18972	14.5834	12.035	7.44537	-0.811204	-2.30546	-2.64188	3.61752	-1.07326	-0.417378	0.606793	0.433229	-1.37202	5.98401	3.27423	7.64822	5.85232	10.2956	9.82109	9.91574	14.9043	11.8892	7.15303	-0.447261	-1.84305	-2.68747	2.16958	-1.75325	-0.0400394	0.299444	-0.0235046	-1.32623	5.7263	3.62334	7.85141	6.14115	10.0261	10.3142	9.5592	14.831	12.3176	7.04743	-0.701609	-2.2824	-2.35124	2.36997	-1.48025	-0.0783306	0.0796974	0.468009	-0.911989	5.84494	3.20317	7.89058	5.94434	9.75746	9.77919	9.74174	14.5983	12.6913	7.05008	-0.432659	-2.28854	-2.73273	2.21618	-1.63161	-0.0639864	-0.0121015	0.566599	-1.0611	5.9144	3.45572	7.84559	6.65064	9.9533	9.67475	9.47615	14.8505	12.0828	7.19572	-0.611362	-2.36397	-3.11733	3.08137	-1.64936	0.156507	-0.11126	0.573739	-1.722237e+01	2.841180e+01	1.118943e+01
640	-0.718818	5.85747	3.48456	7.63051	6.56138	10.2158	9.89625	9.69644	13.1947	11.3893	7.05343	-0.661534	-2.11219	-2.3271	2.38664	-1.11582	-0.290562	0.376474	0.42003	0.735023	0.0975439	0.124874	0.175849	0.158932	0.126136	0.280945	0.202951	0.0930891	0.19098	0.0652179	0.0269857	0.1194	0.158314	0.437815	0.0942603	0.16478	0.18279	0.161616	0.401348	0.0151848	0.0115042	-0.017218	5.63648	3.62584	7.9633	6.85485	10.0752	10.1246	10.1483	12.9315	11.6269	7.09958	-0.921657	-1.92073	-2.266	2.66716	-1.36312	-0.365636	0.379866	0.509885	-0.95966	5.73499	3.20305	7.61298	5.86791	9.93742	9.49652	9.13022	13.1153	11.8736	7.04081	-0.633202	-2.02638	-2.56184	1.81753	-1.41066	-1.06609	0.517568	0.614159	-0.750441	6.30026	3.57971	8.00812	6.42545	10.1563	10.4575	9.89657	13.0954	10.982	6.99609	-0.687596	-1.96	-2.36855	2.03491	-1.51048	-0.0426746	0.115857	0.570277	-0.232631	5.78775	3.38353	7.63743	6.18061	9.98503	10.6873	9.63621	13.8392	11.9735	7.4062	-0.924874	-2.51663	-2.63392	3.74061	-0.712709	-0.0280218	0.584089	0.371471	-1.15415	5.42363	3.59109	7.76855	6.49745	10.1244	10.2914	9.43457	13.8041	12.2674	7.19588	-0.558952	-2.22179	-2.37433	2.48665	-1.58101	-0.222186	-0.297058	0.564142	-1.58931	5.82195	3.69766	8.09815	6.27109	9.4674	9.87929	9.50988	13.0069	10.6414	7.17763	-0.906009	-2.28554	-2.27454	2.34659	-1.47525	0.030602	-0.0300996	0.246099	-0.976381	5.79503	3.47458	8.02639	6.30659	10.4093	10.3918	9.93329	13.3619	12.0035	7.05256	-0.602879	-2.18589	-2.59841	2.43167	-1.45235	0.000858728	-0.0169276	0.570305	-0.756585	5.91416	3.80932	7.64425	6.82075	10.1366	10.3301	9.14207	13.4626	12.2396	7.20365	-0.719214	-2.37851	-3.07286	3.28784	-1.34331	-0.174627	-0.275252	0.604449	-3.877309e+01	5.245674e+01	1.368365e+01
800	-0.0196128	5.68499	3.83236	7.64449	6.4249	9.78228	10.558	10.169	13.8066	11.5508	7.47649	-0.866386	-2.23084	-2.21764	2.12242	-1.02123	-0.0472844	0.349476	0.565953	0.145162	0.178021	0.153431	0.0794377	0.120425	0.116995	0.182237	0.187636	0.401881	0.223867	0.205731	0.0655232	0.0593409	0.0863727	0.370203	0.157138	0.235736	0.0895541	0.0468925	0.150235	0.0231915	0.0116989	-0.116053	5.55016	3.72162	7.60267	6.53961	9.56069	9.56089	10.247	12.7267	11.6882	7.8488	-0.987776	-1.96074	-2.18822	2.9386	-1.43216	-0.343436	0.215085	0.469384	-0.563122	5.28684	3.34181	7.83247	6.11583	9.78955	10.0255	9.9327	13.6689	10.9664	6.96301	-0.814327	-2.25411	-2.12504	2.21167	-1.2113	0.116378	0.56277	0.510322	-0.505543	6.13904	3.81017	7.80298	6.29924	10.0998	10.9593	9.45466	14.8082	10.8296	7.64888	-1.08066	-2.25368	-2.16029	1.85071	-0.908165	0.0127713	0.396074	0.438284	-0.0281362	5.73489	3.75553	7.69955	6.3616	9.66061	10.6748	10.1535	13.8117	12.2132	7.91744	-1.24903	-2.34831	-2.3576	3.65734	-0.599467	-0.156977	0.507506	0.363423	-0.64149	6.14208	3.93738	7.98707	6.16984	9.67373	10.6396	10.1735	14.4823	11.3748	7.61869	-0.409114	-2.49531	-2.38237	2.2033	-1.38916	0.186474	0.242419	0.594378	-0.416964	5.60211	3.86801	8.11414	6.76349	9.88814	10.2942	10.1798	13.4816	11.9042	8.10673	-1.00777	-2.1435	-2.20089	2.15329	-0.939053	0.130222	0.227925	0.392374	-0.715449	6.11323	3.84554	7.79648	6.15818	9.59099	9.9744	10.3228	14.3928	11.57	7.5856	-0.689074	-2.36219	-2.56925	2.66093	-1.22143	-0.810452	0.0394373	0.55848	-0.0247824	6.12742	4.13345	7.80738	6.68397	10.1729	10.5825	9.40525	14.7056	10.7481	8.06948	-1.18921	-2.32494	-2.65003	2.50263	-1.04904	0.144527	-0.0556814	0.39305	-2.608414e+01	6.586373e+01	3.977959e+01
960	-0.112664	5.87937	4.22204	7.70453	6.61881	9.65522	10.1088	10.0156	13.9822	12.3138	8.24235	-1.01918	-2.18488	-2.11491	2.82217	-1.11313	-0.179853	0.146467	0.556288	0.0786377	0.0876177	0.0569693	0.0433362	0.0678309	0.0489928	0.202862	0.18606	0.335348	0.220823	0.0873576	0.134352	0.0620284	0.0531742	0.898913	0.0551295	0.147741	0.0745637	0.0725334	0.0871817	0.0215686	0.0215559	-0.0992502	5.92338	4.0235	7.61416	6.56897	9.73119	9.78872	10.2487	13.4347	12.4357	8.10324	-1.15959	-2.05359	-2.36113	2.37598	-1.07121	0.122295	0.290586	0.417808	-0.532804	6.07584	3.85298	7.73607	6.46406	9.89931	9.94408	9.99305	13.8203	11.3042	8.49875	-0.934105	-2.0715	-2.40745	2.20029	-1.053	-0.15514	0.454758	0.429958	-0.456302	6.13241	4.08005	7.70725	6.52051	9.102	9.73883	10.2156	13.6386	12.4164	8.31516	-1.1562	-2.08056	-1.80679	2.29769	-1.0272	-0.286593	0.365659	0.584958	-0.0187562	6.1842	3.96089	7.77538	6.55672	9.57723	10.1878	10.1991	14.2679	11.9103	8.2215	-1.28452	-2.13092	-2.32302	3.53014	-0.677346	-0.335719	0.469909	0.240014	-0.286803	5.56829	4.13349	7.83994	6.66919	9.80232	11.0463	9.81802	14.1256	11.5214	8.23305	-1.15308	-2.14184	-1.91062	2.18707	-0.913079	-0.224517	0.124796	0.572468	-0.454945	5.73369	4.06029	7.60102	6.54079	9.64283	10.2406	9.98966	12.8647	12.2802	8.10222	-1.4103	-1.90403	-2.08488	2.30563	-0.892211	-0.821971	0.169567	0.61172	-0.0870565	6.08831	4.15295	8.12852	6.71916	9.76442	10.4514	9.90738	13.2461	12.6459	8.79704	-0.816277	 -2.2	-2.31301	2.26691	-1.10679	0.10856	-0.0630728	0.623537	-0.109936	5.9853	4.10425	7.6144	6.48931	9.7247	10.4894	10.3363	14.9527	12.5178	8.40257	-1.02795	-2.18422	-2.48049	3.5777	-1.02633	0.0424594	0.607066	0.62212	-2.731309e+00	8.294857e+01	8.021726e+01
1120	-0.0900617	6.14246	4.3608	7.64223	6.90883	9.62403	10.3094	10.0459	14.7265	10.5731	9.65224	-1.97519	-1.71283	-2.01349	2.52232	-0.613987	-0.679223	0.47241	0.539934	0.0800773	0.104735	0.209132	0.0946508	0.147345	0.0961311	0.154504	0.158852	0.0915626	0.164767	0.0433058	0.0995684	0.109668	0.0895306	0.31302	0.072382	0.358879	0.271951	0.0377897	0.0286021	0.0212626	0.0125189	-0.0198047	6.06082	4.56677	7.68739	7.06544	10.1403	10.2658	9.99369	14.664	10.485	9.762	-1.91821	-1.65813	-2.0129	2.87378	-0.885552	-0.731743	0.407959	0.411385	-0.0974308	5.95964	4.59183	7.69504	6.87746	9.75512	10.4045	9.44301	14.8488	9.92503	9.5498	-1.98843	-2.04881	-1.89309	2.30121	-0.599318	-0.100773	0.520507	0.56121	-0.17044	6.02505	4.36658	7.67049	6.64942	9.51478	10.4328	9.56315	14.7623	10.3347	9.48981	-1.98836	-1.65421	-1.56663	2.01414	-0.743891	-0.281054	0.495032	0.567838	-0.0157191	6.00602	4.25373	7.8646	6.96719	9.02747	10.1341	9.61794	14.4286	11.0186	9.74669	-2.18033	-2.104	-2.12144	3.72893	-0.234908	-0.529878	0.566186	0.526891	-0.407845	6.03344	4.9774	7.69921	6.89291	9.55801	10.9946	10.114	14.9798	10.1613	9.7506	-1.89035	-2.0122	-1.64163	2.63559	-0.59289	-1.24175	0.337984	0.560888	-0.58162	6.36447	4.64656	7.64917	6.53173	9.29847	10.4412	9.69873	14.7872	10.4748	9.04006	-1.68837	-1.8833	-2.02943	2.58051	-0.668722	-1.14772	0.486945	0.573356	-0.0628665	6.02753	4.30071	8.25346	6.9072	9.82039	10.9122	10.4057	14.9245	10.3631	9.8258	-1.20804	-2.18444	-2.09346	2.28259	-0.781113	-0.129606	0.110058	0.613518	-0.0395261	6.18196	4.63708	7.77778	7.05482	9.65246	9.95442	9.71614	14.7402	10.5554	9.32741	-2.07491	-1.92311	-2.20221	2.73625	-0.590123	-0.397196	0.455403	0.582245	-2.023289e+00	1.413348e+02	1.393115e+02
1280	-0.528699	5.98618	4.4156	7.77152	6.95142	9.65392	10.0223	9.78246	13.5572	9.46422	10.3649	-1.95248	-1.69775	-1.63515	2.77099	-0.833503	-0.27381	0.515709	0.603777	0.0981263	0.0632259	0.139941	0.11239	0.0476446	1.0815	0.185843	1.17826	0.0571503	0.0614058	0.098512	0.292888	0.0940796	0.0869817	0.281257	0.178735	0.301094	0.216764	0.0560614	0.0222719	0.0235868	0.0163714	-0.225003	6.12093	4.57573	7.69807	6.88486	9.92093	10.3065	10.2236	13.2192	9.34175	10.3456	-2.19607	-1.77393	-2.06459	3.21326	-0.767936	-0.263592	0.591519	0.310668	-0.406737	5.79376	4.49061	7.63687	7.30448	9.49465	9.8519	10.3613	13.5678	9.34608	10.0023	-1.89041	-1.72256	-1.93071	2.74255	-0.678615	-0.374856	0.32865	0.618634	-0.390857	6.14197	4.6286	7.64133	6.99435	9.27923	9.99412	9.14533	13.3985	9.68088	10.6543	-2.51632	-1.51208	-1.46382	2.45436	-0.779509	-0.148177	0.304457	0.620747	-0.0213986	5.6459	4.19679	7.83763	6.99245	10.0015	11.0069	10.4498	13.2008	9.6287	10.949	-2.52002	-2.07776	-1.79936	3.69521	-0.210511	-0.247765	0.534483	0.447745	-0.540653	6.32029	5.30956	7.78804	7.1591	9.07118	10.4797	9.32686	13.3102	9.45359	10.0765	-2.51831	-1.98098	-1.75259	2.46338	-0.360511	-0.0996225	0.188151	0.130326	-0.891414	6.22335	4.8601	8.13082	7.06963	8.96425	10.6226	9.65904	13.442	9.75093	10.4617	-2.05798	-1.84367	-1.68741	3.24312	-0.591059	-0.726383	0.348338	0.406502	-0.619973	5.70536	4.39633	7.91029	6.97349	9.5607	9.6168	9.88864	12.9599	9.54581	10.5713	-1.90899	-1.73281	-1.78335	2.62105	-0.568926	-0.205451	0.482092	0.608503	-0.38366	6.15283	4.73069	7.81912	6.7721	10.0772	10.6485	9.89528	14.0974	9.4461	10.0119	-2.00388	-2.18163	-1.82563	3.0985	-0.639556	0.188818	0.513378	0.57755	-3.032267e+01	1.431910e+02	1.128683e+02
1440	-0.568169	6.27333	5.13675	7.95352	7.2108	9.86769	10.4465	9.81741	14.6747	11.0227	9.49654	-2.45689	-1.78032	-1.76209	2.8027	-0.385146	-0.0700875	0.534583	0.275571	0.158781	0.055467	0.0634213	0.0879592	0.124364	0.315706	0.140894	0.167402	0.292158	0.386048	0.271974	0.115652	0.0786694	0.0648765	0.377227	0.118055	0.0695964	0.039676	0.134579	0.0136182	0.0209874	0.0169933	-0.0987881	6.27485	4.9856	7.99906	7.44562	10.3501	10.7331	10.0154	14.9519	11.2507	9.42976	-2.38506	-1.85316	-1.88553	3.19976	-0.778979	0.0933309	0.437133	0.0582475	-0.189868	5.82433	4.69334	7.90435	7.38971	10.1186	10.5137	9.73428	13.8479	10.688	9.82351	-2.474	-1.76438	-1.72139	2.49697	-0.618769	-0.101409	0.608111	0.442325	-0.52052	6.98581	4.88961	7.69617	6.94461	9.79434	10.5146	9.79366	14.7939	11.6626	9.7232	-2.55648	-1.53783	-1.71154	2.42381	-0.698376	0.0390991	0.580938	0.501371	-0.0497681	6.32577	4.97088	8.07961	7.13087	9.25101	10.5552	10.4711	13.293	11.477	10.0036	-2.80655	-2.07594	-1.77164	3.74128	-0.143434	-0.0475422	0.382891	0.143693	-0.499123	6.23156	5.31145	7.84067	7.4416	9.29613	10.3356	10.0237	14.0437	10.8529	9.13009	-2.81762	-1.78513	-1.45487	2.69173	-0.477633	-0.0170683	0.186142	-0.0462858	-0.907547	5.91515	5.01987	7.77723	7.11572	8.78453	9.96527	9.8252	14.6761	11.1016	9.27666	-3.05322	-1.73345	-1.39356	3.05132	-0.451131	0.146159	0.323595	0.204852	-0.514774	6.32491	4.88292	7.69968	6.70148	9.99427	10.3905	9.64352	14.9053	11.1336	9.57272	-2.39442	-1.78764	-1.92933	2.16619	-0.316039	-0.402312	0.269556	-0.154596	-0.511603	6.38733	4.8339	7.70348	6.92836	10.0102	10.4687	10.062	14.6954	11.9419	10.3029	-2.46641	-1.93953	-2.13778	3.05028	-0.499811	-0.269149	0.465651	0.555255	-2.112688e+01	1.414565e+02	1.203296e+02
